白糖糕,bai'tang'gao
避风塘兴记,bi'feng'tang'xing'ji
菠萝包,bo'luo'bao
砵仔糕,bo'zai'gao
茶粿,cha'hua
叉烧,cha'shao
炒栗子,chao'li'zi
车仔面,che'zai'mian
池记云吞,chi'ji'yun'tun
虫草鸽,chong'cao'ge
臭豆腐,chou'dou'fu
翠华餐厅,cui'hua'can'ting
脆皮鲜虾肠,cui'pi'xian'xia'chang
大菜糕,da'cai'gao
大食代,da'shi'dai
蛋牛治,dan'niu'zhi
蛋散,dan'san
蛋挞,dan'ta
稻香餐厅,dao'xiang'can'ting
德发牛肉丸,de'fa'niu'rou'wan
豆腐花,dou'fu'hua
粉果,fen'guo
凤爪,feng'zhao
凤爪饭,feng'zhao'fan
富豪软雪糕,fu'hao'ruan'xue'gao
咖喱牛腩,ga'li'niu'nan
咖喱鱿鱼,ga'li'you'yu
咖喱鱼蛋,ga'li'yu'dan
港式奶茶,gang'shi'nai'cha
格仔饼,ge'zai'bing
恭和堂,gong'he'tang
狗仔粉,gou'zai'fen
龟苓膏,gui'ling'gao
花生糖,hua'sheng'tang
激冰冰激凌,ji'bing'bing'ji'ling
鸡蛋仔,ji'dan'zai
煎酿三宝,jian'niang'san'bao
九记牛腩,jiu'ji'niu'nan
客家茶果,ke'jia'cha'guo
辣鱼蛋,la'yu'dan
老婆饼,lao'po'bing
鲤鱼门,li'yu'men
凉茶,liang'cha
龙须糖,long'xu'tang
鹿儿岛猪软骨面,lu'er'dao'zhu'ruan'gu'mian
卤味,lu'wei
麻蓉包,ma'rong'bao
马仔,ma'zai
麦芽糖夹饼,mai'ya'tang'jia'bing
芒果班戟,mang'guo'ban'ji
芒果西米露,mang'guo'xi'mi'lu
棉花糖,mian'hua'tang
牛腩,niu'nan
牛肉火锅,niu'rou'huo'guo
牛肉丸,niu'rou'wan
牛杂,niu'za
皮蛋酥,pi'dan'su
热粟米,re'su'mi
热蔗汁,re'zhe'zhi
沙爹牛肉包,sha'die'niu'rou'bao
砂糖夹饼,sha'tang'jia'bing
沙翁,sha'weng
烧腊卤水鹅掌,shao'la'lu'shui'e'zhang
烧卖,shao'mai
烧鸭汤河粉,shao'ya'tang'he'fen
生菜鱼肉,sheng'cai'yu'rou
生菜鱼肉汤,sheng'cai'yu'rou'tang
食点心,shi'dian'xin
丝袜奶茶,si'wa'nai'cha
酥皮焗叉烧包,su'pi'ju'cha'shao'bao
酸木瓜,suan'mu'gua
糖不甩,tang'bu'shuai
糖葱饼,tang'cong'bing
糖水,tang'shui
碗仔翅,wan'zai'chi
旺顺,wang'shun
煨番薯,wei'fan'shu
煨鱿鱼,wei'you'yu
五香熟花生,wu'xiang'shu'hua'sheng
西多士,xi'duo'shi
鲜虾云吞面,xian'xia'yun'tun'mian
香蕉糕,xiang'jiao'gao
校長多士,xiao'chang'duo'shi
新贵香,xin'gui'xiang
杏仁饼,xing'ren'bing
盐焗鹌鹑蛋,yan'ju'an'chun'dan
杨枝甘露,yang'zhi'gan'lu
一乐烧鹅,yi'le'shao'e
饮茶,yin'cha
油炸鬼,you'zha'gui
油渣面,you'zha'mian
油炸粽,you'zha'zong
鱼蛋粉,yu'dan'fen
鱼肉烧卖王,yu'rou'shao'mai'wang
鱼肉丸子,yu'rou'wan'zi
鱼丸,yu'wan
玉叶甜品,yu'ye'tian'pin
云吞面,yun'tun'mian
炸两,zha'liang
炸酥盒,zha'su'he
炸鱿鱼须,zha'you'yu'xu
斋卤味,zhai'lu'wei
沾面,zhan'mian
珍宝海鲜画舫,zhen'bao'hai'xian'hua'fang
芝麻卷,zhi'ma'juan
芝士塔,zhi'shi'ta
猪肠粉,zhu'chang'fen
猪大肠,zhu'da'chang
猪皮萝卜,zhu'pi'luo'bo
猪手面,zhu'shou'mian
猪油渣面,zhu'you'zha'mian
