案内役妖怪,an'nei'yi'yao'guai
安元洋贵,an'yuan'yang'gui
八坂,ba'ban
八原的怪人,ba'yuan'de'guai'ren
斑大人,ban'da'ren
伴随各种邂逅,ban'sui'ge'zhong'xie'hou
帮助了迷路的我,bang'zhu'le'mi'lu'de'wo
北本,bei'ben
北本笃史,bei'ben'du'shi
被夺走的友人帐,bei'duo'zou'de'you'ren'zhang
被壶封印的猴面,bei'hu'feng'yin'de'hou'mian
被抓走的夏目,bei'zhua'zou'de'xia'mu
鼻长面妖怪,bi'chang'mian'yao'guai
滨田贤二,bin'tian'xian'er
玻璃的另一面,bo'li'de'ling'yi'mian
不可呼唤,bu'ke'hu'huan
不如你所愿,bu'ru'ni'suo'yuan
不死的心愿,bu'si'de'xin'yuan
不想和人类结怨,bu'xiang'he'ren'lei'jie'yuan
不月神,bu'yue'shen
苍井三世子,cang'jing'san'shi'zi
藏于仓库之物,cang'yu'cang'ku'zhi'wu
柴刀妖,chai'dao'yao
柴田克己,chai'tian'ke'ji
长耳的妖怪,chang'er'de'yao'guai
辰未,chen'wei
澄江,cheng'jiang
赤城进,chi'cheng'jin
尺海阳子,chi'hai'yang'zi
雏鸟孵化,chu'niao'fu'hua
除妖人,chu'yao'ren
除妖师,chu'yao'shi
垂申,chui'shen
槌子妖怪,chui'zi'yao'guai
春地藏,chun'di'zang
村井贞之,cun'jing'zhen'zhi
村崎,cun'qi
大浦冬华,da'pu'dong'hua
大森贵弘,da'sen'gui'hong
代答,dai'da
蛋蛋,dan'dan
的场,de'chang
的场静司,de'chang'jing'si
的场一族,de'chang'yi'zu
第四季,di'si'ji
东地宏树,dong'di'hong'shu
东方之森,dong'fang'zhi'sen
渡边美佐,du'bian'mei'zuo
渡辺美佐,du'dao'mei'zuo
独眼面具,du'yan'mian'ju
对不起我太显眼了,dui'bu'qi'wo'tai'xian'yan'le
多轨,duo'gui
多轨的爷爷,duo'gui'de'ye'ye
多轨慎一郎,duo'gui'shen'yi'lang
多轨透,duo'gui'tou
髪长一目妖怪,fa'chang'yi'mu'yao'guai
肥猫,fei'mao
非人之物,fei'ren'zhi'wu
废屋的少年,fei'wu'de'shao'nian
奋力一搏,fen'li'yi'bo
