安泽县,an'ze'xian
保德县,bao'de'xian
长治,chang'zhi
长治县,chang'zhi'xian
城区,cheng'qu
大宁县,da'ning'xian
大同,da'tong
大同县,da'tong'xian
代县,dai'xian
定襄县,ding'xiang'xian
繁峙县,fan'shi'xian
方山县,fang'shan'xian
汾西县,fen'xi'xian
汾阳市,fen'yang'shi
浮山县,fu'shan'xian
高平市,gao'ping'shi
古交市,gu'jiao'shi
古县,gu'xian
广灵县,guang'ling'xian
河津市,he'jin'shi
河曲县,he'qu'xian
和顺县,he'shun'xian
洪洞县,hong'tong'xian
候马,hou'ma
侯马市,hou'ma'shi
壶关县,hu'guan'xian
怀仁县,huai'ren'xian
浑源县,hun'yuan'xian
霍州市,huo'zhou'shi
稷山县,ji'shan'xian
吉县,ji'xian
尖草坪区,jian'cao'ping'qu
绛县,jiang'xian
交城县,jiao'cheng'xian
交口县,jiao'kou'xian
郊区,jiao'qu
介休市,jie'xiu'shi
晋城,jin'cheng
晋源区,jin'yuan'qu
晋中,jin'zhong
静乐县,jing'le'xian
岢岚县,ke'lan'xian
矿区,kuang'qu
岚县,lan'xian
黎城县,li'cheng'xian
离石区,li'shi'qu
临汾,lin'fen
临县,lin'xian
临猗县,lin'yi'xian
陵川县,ling'chuan'xian
灵丘县,ling'qiu'xian
灵石县,ling'shi'xian
刘家堡,liu'jia'bu
柳林县,liu'lin'xian
娄烦县,lou'fan'xian
潞城市,lu'cheng'shi
吕梁,lv'liang
孟县,meng'xian
南郊区,nan'jiao'qu
宁武县,ning'wu'xian
偏关县,pian'guan'xian
平定县,ping'ding'xian
平鲁区,ping'lu'qu
平陆县,ping'lu'xian
平顺县,ping'shun'xian
平遥县,ping'yao'xian
蒲县,pu'xian
祁县,qi'xian
沁水县,qin'shui'xian
沁县,qin'xian
沁源县,qin'yuan'xian
清徐县,qing'xu'xian
曲沃县,qu'wo'xian
芮城县,rui'cheng'xian
山阴县,shan'yin'xian
神池县,shen'chi'xian
石楼县,shi'lou'xian
寿阳县,shou'yang'xian
朔城区,shuo'cheng'qu
朔州,shuo'zhou
太谷县,tai'gu'xian
太原,tai'yuan
天镇县,tian'zhen'xian
屯留县,tun'liu'xian
万柏林区,wan'bo'lin'qu
万荣县,wan'rong'xian
文水县,wen'shui'xian
闻喜县,wen'xi'xian
五台县,wu'tai'xian
武乡县,wu'xiang'xian
五寨县,wu'zhai'xian
隰县,xi'xian
昔阳县,xi'yang'xian
夏县,xia'xian
襄汾县,xiang'fen'xian
乡宁县,xiang'ning'xian
向阳店,xiang'yang'dian
襄垣县,xiang'yuan'xian
小店区,xiao'dian'qu
孝义市,xiao'yi'shi
忻府区,xin'fu'qu
新绛县,xin'jiang'xian
新荣区,xin'rong'qu
忻州,xin'zhou
杏花岭区,xing'hua'ling'qu
兴县,xing'xian
盐湖区,yan'hu'qu
阳城县,yang'cheng'xian
阳高县,yang'gao'xian
阳曲县,yang'qu'xian
阳泉,yang'quan
尧都区,yao'du'qu
翼城县,yi'cheng'xian
应县,ying'xian
迎泽区,ying'ze'qu
永和县,yong'he'xian
永剂,yong'ji
永济市,yong'ji'shi
右玉县,you'yu'xian
榆次区,yu'ci'qu
榆社县,yu'she'xian
盂县,yu'xian
原平市,yuan'ping'shi
垣曲县,yuan'qu'xian
运城,yun'cheng
泽州县,ze'zhou'xian
长子县,zhang'zi'xian
中阳县,zhong'yang'xian
左权县,zuo'quan'xian
左云县,zuo'yun'xian
