阿,a
阿碧,a'bi
阿二,a'er
阿凡提,a'fan'ti
阿凡提妻,a'fan'ti'qi
阿根,a'gen
阿洪,a'hong
阿济赤,a'ji'chi
阿九,a'jiu
阿里,a'li
阿曼,a'man
阿三,a'san
阿胜,a'sheng
阿朱,a'zhu
阿紫,a'zi
矮老者,ai'lao'zhe
安大娘,an'da'niang
安奉日,an'feng'ri
安国,an'guo
安健刚,an'jian'gang
安剑清,an'jian'qing
安提督,an'ti'du
安小慧,an'xiao'hui
鳌拜,ao'bai
敖彪,ao'biao
巴郎星,ba'lang'xing
巴泰,ba'tai
巴天石,ba'tian'shi
巴颜法师,ba'yan'fa'shi
白阿绣,bai'a'xiu
百草仙,bai'cao'xian
白二,bai'er
白龟寿,bai'gui'shou
白寒枫,bai'han'feng
白寒松,bai'han'song
白脸人,bai'lian'ren
白马啸西风,bai'ma'xiao'xi'feng
白世镜,bai'shi'jing
白万剑,bai'wan'jian
白熊,bai'xiong
白振,bai'zhen
白自在,bai'zi'zai
班淑娴,ban'shu'xian
包不同,bao'bu'tong
鲍承先,bao'cheng'xian
鲍大楚,bao'da'chu
鲍千灵,bao'qian'ling
宝树,bao'shu
包惜弱,bao'xi'ruo
宝象和尚,bao'xiang'he'shang
贝海石,bei'hai'shi
贝锦仪,bei'jin'yi
贝人龙,bei'ren'long
本参,ben'can
本观,ben'guan
本相,ben'xiang
本因,ben'yin
彼得,bi'de
笔贴式,bi'tie'shi
碧血剑,bi'xue'jian
博尔忽,bo'er'hu
博尔术,bo'er'shu
波罗星,bo'luo'xing
拨速台,bo'su'tai
卜沉,bu'chen
补锅匠,bu'guo'jiang
不戒和尚,bu'jie'he'shang
不平道人,bu'ping'dao'ren
卜泰,bu'tai
卜垣,bu'yuan
蔡德忠,cai'de'zhong
蔡威,cai'wei
藏边大丑,cang'bian'da'chou
藏边二丑,cang'bian'er'chou
藏边三丑,cang'bian'san'chou
藏边四丑,cang'bian'si'chou
藏边五丑,cang'bian'wu'chou
曹化淳,cao'hua'chun
曹猛,cao'meng
曹能,cao'neng
曹司朋,cao'si'peng
曹云奇,cao'yun'qi
岑其斯,cen'qi'si
曾柔,ceng'rou
曾铁鸥,ceng'tie'ou
曾图南,ceng'tu'nan
察尔珠,cha'er'zhu
察罕特穆尔,cha'han'te'mu'er
察合台,cha'he'tai
查继左,cha'ji'zuo
常伯志,chang'bo'zhi
常长风,chang'chang'feng
常赫志,chang'he'zhi
常金鹏,chang'jin'peng
常敬之,chang'jing'zhi
昌齐,chang'qi
长青子,chang'qing'zi
常胜宝树王,chang'sheng'bao'shu'wang
常遇春,chang'yu'chun
车,che
车尔库,che'er'ku
车夫,che'fu
陈冲之,chen'chong'zhi
陈大方,chen'da'fang
陈达海,chen'da'hai
陈高波,chen'gao'bo
陈孤雁,chen'gu'yan
陈家洛,chen'jia'luo
陈近南,chen'jin'nan
陈珂,chen'ke
陈老丐,chen'lao'gai
陈七,chen'qi
陈歪嘴,chen'wai'zui
