哀溺文,ai'ni'wen
矮坐头,ai'zuo'tou
安期生与东海黄公,an'qi'sheng'yu'dong'hai'huang'gong
鳌与蚂蚁,ao'yu'ma'yi
白龙上诉,bai'long'shang'su
白马过关,bai'ma'guo'guan
白雁,bai'yan
鲍氏之子,bao'shi'zhi'zi
北楚任侠者,bei'chu'ren'xia'zhe
杯弓蛇影,bei'gong'she'ying
北宫殖碎珠,bei'gong'zhi'sui'zhu
北人食菱,bei'ren'shi'ling
壁虎与蝎,bi'hu'yu'xie
蝙蝠,bian'fu
辨伏神文,bian'fu'shen'wen
鞭贾,bian'jia
扁鹊见蔡桓公,bian'que'jian'cai'huan'gong
扁鹊见秦武王,bian'que'jian'qin'wu'wang
鳖渡桥,bie'du'qiao
鳖厮踢,bie'si'ti
宾卑聚自杀,bin'bei'ju'zi'sha
病女覆药,bing'nv'fu'yao
饼钱,bing'qian
并我五也,bing'wo'wu'ye
病瘿,bing'ying
伯乐遇骥,bo'le'yu'ji
駮马,bo'ma
卜妻为袴,bo'qi'wei'ku
卜妻饮鳖,bo'qi'yin'bie
僰人养猴,bo'ren'yang'hou
卜食,bo'shi
伯牙破琴,bo'ya'po'qin
伯乐教相踶马,bo'yue'jiao'xiang'chi'ma
泊镇王某,bo'zhen'wang'mou
不卜则生,bu'bo'ze'sheng
不材之木,bu'cai'zhi'mu
捕狗蝇蚂蚁蚤蜰蚊虻第三,bu'gou'ying'ma'yi'zao'fei'wen'meng'di'san
不龟手之药,bu'gui'shou'zhi'yao
不嫁与不宦,bu'jia'yu'bu'huan
不满叱髑髅,bu'man'chi'du'lou
不磨墨,bu'mo'mo
捕蛇者说,bu'she'zhe'shuo
不死之道,bu'si'zhi'dao
不死之药,bu'si'zhi'yao
捕熊罴鸱鸮豺狼第二,bu'xiong'pi'chi'xiao'chai'lang'di'er
捕蜮第一,bu'yu'di'yi
采药,cai'yao
藏契者,cang'qi'zhe
藏虱,cang'shi
曹商使秦,cao'shang'shi'qin
操舟若神,cao'zhou'ruo'shen
槎喀喻,cha'ka'yu
虿祝,chai'zhu
蟾蜍与蚵蚾,chan'chu'yu'ke'bo
长人和短人,chang'ren'he'duan'ren
唱善若出一口,chang'shan'ruo'chu'yi'kou
长梧封人,chang'wu'feng'ren
常羊学射,chang'yang'xue'she
车翻豆复,che'fan'dou'fu
掣肘,che'zhou
澄子亡缁衣,cheng'zi'wang'zi'yi
瘈狗,chi'gou
吃人不吐骨头,chi'ren'bu'tu'gu'tou
赤水元珠,chi'shui'yuan'zhu
齿鞋匠与乐工,chi'xie'jiang'yu'yue'gong
持烛钻火,chi'zhu'zuan'huo
畜豺,chu'chai
楚富者,chu'fu'zhe
刍甿戒骑,chu'mang'jie'qi
楚佞鬼,chu'ning'gui
楚丘先生,chu'qiu'xian'sheng
楚人患狐,chu'ren'huan'hu
楚人患眚,chu'ren'huan'sheng
楚人有两妻,chu'ren'you'liang'qi
楚王击鼓,chu'wang'ji'gu
楚王索珠,chu'wang'suo'zhu
捶钩者,chui'gou'zhe
次非刺蛟,ci'fei'ci'jiao
粗月,cu'yue
翠鸟移巢,cui'niao'yi'chao
错死了人,cuo'si'le'ren
打是不打,da'shi'bu'da
大鼠,da'shu
大言,da'yan
大驵郦氏,da'zang'li'shi
戴东原言,dai'dong'yuan'yan
呆尉,dai'wei
翢翢,dao'dao
岛人食蛇,dao'ren'shi'she
道士救虎,dao'shi'jiu'hu
蹈水之道,dao'shui'zhi'dao
道之所在,dao'zhi'suo'zai
得车轭者,de'che'e'zhe
觝牛鸣马,di'niu'ming'ma
雕传,diao'chuan
钓鳏鱼,diao'guan'yu
雕鸟与猫,diao'niao'yu'mao
钓鱼记,diao'yu'ji
钉铰为业者,ding'jiao'wei'ye'zhe
丁氏穿井,ding'shi'chuan'jing
东方智士说,dong'fang'zhi'shi'shuo
东海若,dong'hai'ruo
东海之鸟,dong'hai'zhi'niao
东门吴,dong'men'wu
东食西宿,dong'shi'xi'su
东野稷驾车,dong'ye'ji'jia'che
东野丈人,dong'ye'zhang'ren
斗子般,dou'zi'ban
蠹化,du'hua
髑髅,du'lou
蠹鱼,du'yu
对牛弹琴,dui'niu'tan'qin
鹗执狐记,e'zhi'hu'ji
罚人猪肉,fa'ren'zhu'rou
饭车,fan'che
墦间乞食,fan'jian'qi'shi
反裘负薪,fan'qiu'fu'xin
方蛇,fang'she
放生,fang'sheng
方舟济河,fang'zhou'ji'he
焚鼠毁庐,fen'shu'hui'lu
丰狐文豹,feng'hu'wen'bao
媍蝂传,fu'ban'chuan
赴火虫,fu'huo'chong
傅马栈最难,fu'ma'zhan'zui'nan
傅显,fu'xian
负暄献曝,fu'xuan'xian'pu
匄者贱儒,gai'zhe'jian'ru
干净刀,gan'jing'dao
绀羽之鹊,gan'yu'zhi'que
告荒,gao'huang
高听,gao'ting
割股,ge'gu
割肉相啖,ge'rou'xiang'dan
格物,ge'wu
弓矢相济,gong'shi'xiang'ji
公输刻凤,gong'shu'ke'feng
公孙龙见赵文王,gong'sun'long'jian'zhao'wen'wang
公仪休嗜鱼,gong'yi'xiu'shi'yu
工之侨献琴,gong'zhi'qiao'xian'qin
狗,gou
狗吠杨布,gou'fei'yang'bu
狗溺井,gou'ni'jing
贾人重财,gu'ren'zhong'cai
鼓与牛,gu'yu'niu
观捕鱼记,guan'bu'yu'ji
鹳鸟迁巢,guan'niao'qian'chao
观鱼说,guan'yu'shuo
鬼怕恶人,gui'pa'e'ren
鬼误,gui'wu
国马与骏马,guo'ma'yu'jun'ma
虾蟆蛙蝇与晨鸡,ha'ma'wa'ying'yu'chen'ji
海大鱼,hai'da'yu
邯郸学步,han'dan'xue'bu
韩君择鹑,han'jun'ze'chun
韩生料秦王,han'sheng'liao'qin'wang
汉阴丈人,han'yin'zhang'ren
