挨根儿,ai'gen'er
挨斤帮谱,ai'jin'bang'pu
把姑娘,ba'gu'niang
罢脚子,ba'jiao'zi
白脖子,bai'bo'zi
白水饭,bai'shui'fan
半不拉子,ban'bu'la'zi
绊脚索,ban'jiao'suo
半子,ban'zi
包弹,bao'dan
包谷糁儿,bao'gu'shen'er
包园儿,bao'yuan'er
保佐,bao'zuo
背生子儿,bei'sheng'zi'er
贬忌,bian'ji
不爱见,bu'ai'jian
布袋,bu'dai
不惯相,bu'guan'xiang
步老盖儿,bu'lao'gai'er
菜脚子,cai'jiao'zi
菜气,cai'qi
踩水,cai'shui
草猪,cao'zhu
抄手儿,chao'shou'er
炒现饭,chao'xian'fan
扯谎白,che'huang'bai
扯鸡吧蛋,che'ji'ba'dan
扯皮拉筋,che'pi'la'jin
承头儿,cheng'tou'er
吃场子,chi'chang'zi
吃接茶,chi'jie'cha
吃体已儿,chi'ti'yi'er
吃燥,chi'zao
床头起,chuang'tou'qi
磁实,ci'shi
攒体己,cuan'ti'ji
打测,da'ce
打得罗儿,da'de'luo'er
打儿呵呵,da'er'he'he
打发,da'fa
打男,da'nan
大事,da'shi
刀菜,dao'cai
登科儿,deng'ke'er
颠兑,dian'dui
电麻木,dian'ma'mu
吊儿胯,diao'er'kua
丢亥时,diu'hai'shi
肚带绳,du'dai'sheng
笃底儿,du'di'er
饿羊,e'yang
儿娲子,er'wa'zi
犯恶素,fan'e'su
反敲,fan'qiao
翻烧,fan'shao
放黑快,fang'hei'kuai
富态,fu'tai
浮头,fu'tou
感受,gan'shou
干哕,gan'yue
疙瘩,ge'da
胳夹窝,ge'jia'wo
跟圈,gen'quan
轱辘磙儿,gu'lu'gun'er
乖超啊,guai'chao'a
惯事,guan'shi
过嫁妆,guo'jia'zhuang
锅盔,guo'kui
过期,guo'qi
憨水,han'shui
红白,hong'bai
后儿的,hou'er'de
猴羊,hou'yang
后座儿,hou'zuo'er
糊饽,hu'bo
糊辣汤,hu'la'tang
花哨,hua'shao
欢窜,huan'cuan
欢喜团儿,huan'xi'tuan'er
黄花苗,huang'hua'miao
会儿的,hui'er'de
毁老,hui'lao
活儿,huo'er
活疾作儿,huo'ji'zuo'er
活水园子,huo'shui'yuan'zi
鸡蒙眼,ji'meng'yan
鸡杂儿,ji'za'er
犍子,jian'zi
犟筋,jiang'jin
犟作物儿,jiang'zuo'wu'er
叫春,jiao'chun
绞毫,jiao'hao
嚼舌,jiao'she
酵子,jiao'zi
节儿,jie'er
节令,jie'ling
接媳妇,jie'xi'fu
今儿的,jin'er'de
紧高头,jin'gao'tou
紧里头,jin'li'tou
今年个儿,jin'nian'ge'er
静办,jing'ban
敬老爷,jing'lao'ye
旧年个儿,jiu'nian'ge'er
烤红火,kao'hong'huo
靠靠唧唧,kao'kao'ji'ji
克不克,ke'bu'ke
扣碗子,kou'wan'zi
胯子,kua'zi
快麻点儿,kuai'ma'dian'er
辣坏味,la'huai'wei
郎色,lang'se
捞欠,lao'qian
劳慰,lao'wei
冷不疼儿,leng'bu'teng'er
冷不疼儿的,leng'bu'teng'er'de
冷不吞儿,leng'bu'tun'er
楞儿,leng'er
俩娃儿,lia'wa'er
连不连,lian'bu'lian
撂天地儿,liao'tian'di'er
流里蛋,liu'li'dan
溜漫沿,liu'man'yan
笼哄,long'hong
摞重叠,luo'chong'die
麻风雨,ma'feng'yu
妈妈儿,ma'ma'er
麻麻亮儿,ma'ma'liang'er
麦仁糊子,mai'ren'hu'zi
卖野眼儿,mai'ye'yan'er
漫群,man'qun
冒打张儿,mao'da'zhang'er
冒估堆儿,mao'gu'dui'er
没哒,mei'da
迷信,mi'xin
明儿的,ming'er'de
明年个儿,ming'nian'ge'er
末脑笃儿,mo'nao'du'er
磨子,mo'zi
那儿嗨儿,na'er'hai'er
哪儿嗨儿,na'er'hai'er
那音儿,na'yin'er
能不忒儿,neng'bu'tei'er
农事,nong'shi
暖郎酒,nuan'lang'jiu
挪窝儿,nuo'wo'er
扒手,pa'shou
泡茶,pao'cha
跑羔,pao'gao
泡和,pao'he
痞脸,pi'lian
飘泼桶倒,piao'po'tong'dao
叵实,po'shi
泼实,po'shi
破五,po'wu
铺塌稞儿,pu'ta'ke'er
起课,qi'ke
前儿的,qian'er'de
牵亲奶奶儿,qian'qin'nai'nai'er
悭头儿,qian'tou'er
潜养,qian'yang
抢犯,qiang'fan
墙根,qiang'gen
轻神包,qing'shen'bao
清汤,qing'tang
黢溜摸黑儿,qu'liu'mo'hei'er
人品,ren'pin
认生,ren'sheng
撒欢子,sa'huan'zi
三不支儿,san'bu'zhi'er
臊胡,sao'hu
色气,se'qi
晒老爷儿,shai'lao'ye'er
闪竿子,shan'gan'zi
潲水脏水,shao'shui'zang'shui
时间,shi'jian
守不恭,shou'bu'gong
瘦筋拉枯,shou'jin'la'ku
刷挂,shua'gua
水煎包子,shui'jian'bao'zi
水羊,shui'yang
撕翻,si'fan
死纥,si'he
酸浆面,suan'jiang'mian
摊煎饼,tan'jian'bing
烫饭,tang'fan
糖炸馍鸡头包,tang'zha'mo'ji'tou'bao
踢拉板儿,ti'la'ban'er
天道,tian'dao
填还人,tian'hai'ren
添箱,tian'xiang
头起,tou'qi
土克拉,tu'ke'la
臀肩肉,tun'jian'rou
外后儿的,wai'hou'er'de
玩艺儿,wan'yi'er
往音儿,wang'yin'er
卫护,wei'hu
窝子面,wo'zi'mian
五月鲜儿,wu'yue'xian'er
无足,wu'zu
稀巴烂贱,xi'ba'lan'jian
稀溜会儿,xi'liu'hui'er
洗三,xi'san
瞎巴子扯,xia'ba'zi'che
下罩子,xia'zhao'zi
鲜凡,xian'fan
鲜净,xian'jing
相赢,xiang'ying
小鸡鸪儿,xiao'ji'gu'er
消夜,xiao'ye
蝎呼,xie'hu
新姑娘儿,xin'gu'niang'er
新郎官儿,xin'lang'guan'er
心理,xin'li
行为,xing'wei
叙团,xu'tuan
旋磨风,xuan'mo'feng
血乎里拉,xue'hu'li'la
血幌,xue'huang
寻短见,xun'duan'jian
丫不清儿,ya'bu'qing'er
牙猪,ya'zhu
眼气不忿儿,yan'qi'bu'fen'er
野唬,ye'hu
一顺色儿,yi'shun'se'er
一所,yi'suo
一弯就弯,yi'wan'jiu'wan
臆症,yi'zheng
呓怔,yi'zheng
荫凉坡儿,yin'liang'po'er
有筋色,you'jin'se
由意儿,you'yi'er
有依实,you'yi'shi
油子,you'zi
月黑头,yue'hei'tou
咋法儿,za'fa'er
咋番儿,za'fan'er
遭孽,zao'nie
糟肉,zao'rou
遭爷,zao'ye
炸馍,zha'mo
渣子,zha'zi
这儿嗨儿,zhe'er'hai'er
摺油馍,zhe'you'mo
正儿,zheng'er
种植,zhong'zhi
猪下水,zhu'xia'shui
抓周儿,zhua'zhou'er
装歪,zhuang'wai
坐席,zuo'xi
