阿部丰,a'bu'feng
阿笠博士,a'li'bo'shi
爱德华克洛,ai'de'hua'ke'luo
爱内里菜,ai'nei'li'cai
暗夜公爵,an'ye'gong'jue
八重子,ba'zhong'zi
白马探,bai'ma'tan
白鸟任三郎,bai'niao'ren'san'lang
坂井泉水,ban'jing'quan'shui
贝尔摩得,bei'er'mo'de
本堂瑛海,ben'tang'ying'hai
本堂瑛佑,ben'tang'ying'you
仓木麻衣,cang'mu'ma'yi
茶风林,cha'feng'lin
茶木神太郎,cha'mu'shen'tai'lang
长岛茂雄,chang'dao'mao'xiong
池波静华,chi'bo'jing'hua
赤井秀一,chi'jing'xiu'yi
赤木英雄,chi'mu'ying'xiong
池田秀一,chi'tian'xiu'yi
冲矢昴,chong'shi'mao
冲田一,chong'tian'yi
冲野洋子,chong'ye'yang'zi
大谷育江,da'gu'yu'jiang
大泷警官,da'long'jing'guan
大鹰和洋,da'ying'he'yang
岛本须美,dao'ben'xu'mei
荻原,di'yuan
杜松子酒,du'song'zi'jiu
二阶堂,er'jie'tang
妃英理,fei'ying'li
峰莉亚,feng'li'ya
服部静华,fu'bu'jing'hua
服部平藏,fu'bu'ping'cang
服部平次,fu'bu'ping'ci
芙莎绘,fu'sha'hui
伏特加,fu'te'jia
高岛雅罗,gao'dao'ya'luo
高木涉,gao'mu'she
高山南,gao'shan'nan
根岸正树,gen'an'zheng'shu
宫本由美,gong'ben'you'mei
宫村优子,gong'cun'you'zi
工藤新一,gong'teng'xin'yi
工藤有希子,gong'teng'you'xi'zi
工藤优作,gong'teng'you'zuo
宫野爱琳娜,gong'ye'ai'lin'na
宫野明美,gong'ye'ming'mei
宫野志保,gong'ye'zhi'bao
谷川登志夫,gu'chuan'deng'zhi'fu
怪盗基德,guai'dao'ji'de
广田雅美,guang'tian'ya'mei
桧山修之,gui'shan'xiu'zhi
鬼丸,gui'wan
黑羽盗一,hei'yu'dao'yi
黑羽快斗,hei'yu'kuai'dou
横沟参悟,heng'gou'can'wu
横沟重悟,heng'gou'zhong'wu
灰原哀,hui'yuan'ai
吉田步美,ji'tian'bu'mei
江户川柯南,jiang'hu'chuan'ke'nan
京极真,jing'ji'zhen
井上和彦,jing'shang'he'yan
崛川亮,jue'chuan'liang
克里斯,ke'li'si
苦艾酒,ku'ai'jiu
堀秀行,ku'xiu'xing
堀之纪,ku'zhi'ji
立川千鹤,li'chuan'qian'he
立木文彦,li'mu'wen'yan
林原惠美,lin'yuan'hui'mei
铃木绫子,ling'mu'ling'zi
铃木朋子,ling'mu'peng'zi
铃木史郎,ling'mu'shi'lang
铃木园子,ling'mu'yuan'zi
六田,liu'tian
龙舌兰,long'she'lan
鹿野修二,lu'ye'xiu'er
鹭沼升,lu'zhao'sheng
麻生圭二,ma'sheng'gui'er
毛利兰,mao'li'lan
毛利小五郎,mao'li'xiao'wu'lang
目暮绿,mu'mu'lv
目暮十三,mu'mu'shi'san
内田麻美,nei'tian'ma'mei
匹斯可,pi'si'ke
片桐枫,pian'tong'feng
七尾,qi'wei
前田聪,qian'tian'cong
千叶一伸,qian'ye'yi'shen
枪田郁美,qiang'tian'yu'mei
琴酒,qin'jiu
青山刚昌,qing'shan'gang'chang
三船,san'chuan
三泽,san'ze
三枝夕夏,san'zhi'xi'xia
森谷帝二,sen'gu'di'er
莎朗,sha'lang
山岸荣,shan'an'rong
杉本优,shan'ben'you
山村刑事,shan'cun'xing'shi
山口胜平,shan'kou'sheng'ping
山崎和佳奈,shan'qi'he'jia'nai
上木彩矢,shang'mu'cai'shi
神谷明,shen'gu'ming
神鸟蝶子,shen'niao'die'zi
枡山宪三,sheng'shan'xian'san
声优,sheng'you
水无伶奈,shui'wu'ling'nai
四井,si'jing
松本清长,song'ben'qing'chang
松本小百合,song'ben'xiao'bai'he
松井菜樱子,song'jing'cai'ying'zi
松田阵平,song'tian'zhen'ping
汤屋墩子,tang'wu'dun'zi
藤峰有希子,teng'feng'you'xi'zi
鹈泽恒夫,ti'ze'heng'fu
田中秀幸,tian'zhong'xiu'xing
铁剑十郎,tie'jian'shi'lang
铁刃,tie'ren
丸传次郎,wan'chuan'ci'lang
五条,wu'tiao
西村警部,xi'cun'jing'bu
下川美娜,xia'chuan'mei'na
小岛元太,xiao'dao'yuan'tai
小泉红子,xiao'quan'hong'zi
小山茉美,xiao'shan'mo'mei
小松未步,xiao'song'wei'bu
新出智明,xin'chu'zhi'ming
新名香保里,xin'ming'xiang'bao'li
绪方贤一,xu'fang'xian'yi
岩居由希子,yan'ju'you'xi'zi
盐泽兼人,yan'ze'jian'ren
一条成优子,yi'tiao'cheng'you'zi
一枝,yi'zhi
伊织,yi'zhi
樱庭佑司,ying'ting'you'si
猿渡秀朗,yuan'du'xiu'lang
圆谷光彦,yuan'gu'guang'yan
远山和叶,yuan'shan'he'ye
远山警官,yuan'shan'jing'guan
詹姆斯布莱克,zhan'mu'si'bu'lai'ke
沼渊已一郎,zhao'yuan'yi'yi'lang
中森青子,zhong'sen'qing'zi
中森银三,zhong'sen'yin'san
重松明男,zhong'song'ming'nan
猪保满雄,zhu'bao'man'xiong
茱蒂圣提米利翁,zhu'di'sheng'ti'mi'li'weng
佐山明子,zuo'shan'ming'zi
佐藤美和子,zuo'teng'mei'he'zi
