矮瓜,ai'gua
嗌交,ai'jiao
嗌我,ai'wo
爱锡,ai'xi
矮细,ai'xi
捱夜,ai'ye
凹凹凸凸,ao'ao'tu'tu
巴闭,ba'bi
把心唔定,ba'xin'wu'ding
白晒晒,bai'shai'shai
白雪雪,bai'xue'xue
崩口人忌崩口碗,beng'kou'ren'ji'beng'kou'wan
畀面,bi'mian
畀你,bi'ni
俾钱,bi'qian
畀钱,bi'qian
俾钱你,bi'qian'ni
畀唔畀,bi'wu'bi
闭翳,bi'yi
擘大口,bo'da'kou
搏命,bo'ming
卜卜脆,bu'bu'cui
不溜,bu'liu
不特止,bu'te'zhi
擦鞋,ca'xie
嘈住嗮,cao'zhu'sai
差池,cha'chi
查实,cha'shi
差唔多,cha'wu'duo
长拉拉,chang'la'la
炒鱿鱼,chao'you'yu
扯猫尾,che'mao'wei
车衫,che'shan
痴缠,chi'chan
匙羹,chi'geng
黐孖筋,chi'ma'jin
黐线,chi'xian
冲凉房,chong'liang'fang
舂瘟鸡,chong'wen'ji
仇口,chou'kou
出粮,chu'liang
吹胀,chui'zhang
唇膏,chun'gao
凑啱,cou'yan
措措埋埋,cuo'cuo'mai'mai
大笨象,da'ben'xiang
打赤脚,da'chi'jiao
大出血,da'chu'xue
打大赤肋,da'da'chi'lei
打底,da'di
打掂,da'dian
打横,da'heng
大蕉,da'jiao
打交,da'jiao
大褛,da'lv
单单打打,dan'dan'da'da
呾啖先,dan'dan'xian
沊低个头,dan'di'ge'tou
沊高个头,dan'gao'ge'tou
氹氹转,dang'dang'zhuan
得个吉,de'ge'ji
嘚啦,de'la
得戚,de'qi
得人惊,de'ren'jing
的式,de'shi
得闲,de'xian
啲咖妹几正喔,di'ka'mei'ji'zheng'wo
底裤,di'ku
睇嚟,di'li
底衫,di'shan
睇衰,di'shuai
啲衰嘢,di'shuai'ye
睇水,di'shui
地拖,di'tuo
啲嘢唔攞得嘎,di'ye'wu'luo'de'ga
电发,dian'fa
点解,dian'jie
电心,dian'xin
屌唥你吖,diao'lang'ni'a
叼你,diao'ni
屌閪,diao'se
跌落地都要楋翻揸沙,die'luo'di'dou'yao'la'fan'zha'sha
跌眼镜,die'yan'jing
定过抬油,ding'guo'tai'you
定嘞,ding'le
啶係,ding'xi
啶系,ding'xi
唞气,dou'qi
笃背脊,du'bei'ji
呃鬼,e'gui
呃鬼食豆腐,e'gui'shi'dou'fu
屙尿,e'niao
呃人,e'ren
屙屎,e'shi
呃我,e'wo
摁口,en'kou
奀瘦,en'shou
发姣,fa'jiao
发嬲,fa'niao
饭铲头,fan'chan'tou
反叼,fan'diao
返工,fan'gong
番枧,fan'jian
番茄,fan'qie
番薯,fan'shu
放飞机,fang'fei'ji
非常之,fei'chang'zhi
飞发,fei'fa
飞鼠,fei'shu
瞓觉,fen'jiao
瞓覺,fen'jue
逢喺,feng'xi
奉旨,feng'zhi
咖喱,ga'li
咁串,gan'chuan
咁劲,gan'jin
贛居佬,gan'ju'lao
咁咖你,gan'ka'ni
咁靓,gan'liang
咁样,gan'yang
戆阄,gang'jiu
戆居,gang'ju
戆居居,gang'ju'ju
戆闙阄,gang'qi'jiu
搞掂,gao'dian
搞弯,gao'wan
高争鞋,gao'zheng'xie
个啲,ge'di
嗰啲,ge'di
嗰啲嘢,ge'di'ye
各花入各眼,ge'hua'ru'ge'yan
隔篱,ge'li
梗系啦,geng'xi'la
狗公,gou'gong
狗乸,gou'na
古灵精怪,gu'ling'jing'guai
谷气,gu'qi
固然之,gu'ran'zhi
固之然,gu'zhi'ran
寡佬,gua'lao
挂住,gua'zhu
掴佢一巴掌,guai'qu'yi'ba'zhang
光灿灿,guang'can'can
光棍佬遇着冇皮柴,guang'gun'lao'yu'zhe'mao'pi'chai
光猛,guang'meng
光脱脱,guang'tuo'tuo
光鲜,guang'xian
鬼打鬼,gui'da'gui
鬼咁,gui'gan
攰死人咩,gui'si'ren'mie
鬼五马六,gui'wu'ma'liu
滚水,gun'shui
喊苦喊忽,han'ku'han'hu
撖头埋墙,han'tou'mai'qiang
好嘅,hao'ge
好攰,hao'gui
好鬼嘈,hao'gui'cao
好夹,hao'jia
好啉,hao'lin
好人好姐,hao'ren'hao'jie
好閪搞笑,hao'se'gao'xiao
好心着雷劈,hao'xin'zhe'lei'pi
好野,hao'ye
好在,hao'zai
荷包,he'bao
黑古勒特,hei'gu'le'te
黑麻麻,hei'ma'ma
红当荡,hong'dang'dang
红粉绯绯,hong'fen'fei'fei
后底乸,hou'di'na
后生女,hou'sheng'nv
后生仔,hou'sheng'zai
花哩花碌,hua'li'hua'lu
花洒,hua'sa
话头醒尾,hua'tou'xing'wei
花樽,hua'zun
欢喜,huan'xi
鲩鱼,huan'yu
黄禽禽,huang'qin'qin
慌失失,huang'shi'shi
昏酡酡,hun'tuo'tuo
火滚,huo'gun
火起,huo'qi
火水,huo'shui
鸡春咁密都会哺出仔,ji'chun'gan'mi'dou'hui'bu'chu'zai
鸡公,ji'gong
即管,ji'guan
基老,ji'lao
鸡乸,ji'na
激气,ji'qi
挤拥,ji'yong
极之,ji'zhi
架世,jia'shi
夹手夹脚,jia'shou'jia'jiao
傢俬,jia'si
夹万,jia'wan
拣靓衫,jian'liang'shan
拣饮择吃,jian'yin'ze'chi
讲的啱,jiang'de'yan
将啲,jiang'di
讲乜嘢咖,jiang'mie'ye'ka
讲笑,jiang'xiao
交关,jiao'guan
