阿贝尔,a'bei'er
切线角,qie'xian'jiao
亲和数,qin'he'shu
倾斜角,qing'xie'jiao
穷竭法,qiong'jie'fa
求导法则,qiu'dao'fa'ze
求导公式,qiu'dao'gong'shi
求根公式,qiu'gen'gong'shi
球冠,qiu'guan
球面,qiu'mian
球体,qiu'ti
求作,qiu'zuo
曲边梯形,qu'bian'ti'xing
曲边梯形的面积,qu'bian'ti'xing'de'mian'ji
区间,qu'jian
曲线,qu'xian
曲线的方程,qu'xian'de'fang'cheng
曲线与方程,qu'xian'yu'fang'cheng
取样,qu'yang
区域,qu'yu
取值范围,qu'zhi'fan'wei
全称量词,quan'cheng'liang'ci
全等三角形,quan'deng'san'jiao'xing
全集,quan'ji
全排列,quan'pai'lie
权数,quan'shu
确定性,que'ding'xing
群论,qun'lun
人教版,ren'jiao'ban
任意参数,ren'yi'can'shu
任意常数,ren'yi'chang'shu
任意角,ren'yi'jiao
任意小,ren'yi'xiao
容斥原理,rong'chi'yuan'li
容量,rong'liang
入射角,ru'she'jiao
锐角,rui'jiao
锐角三角形,rui'jiao'san'jiao'xing
三垂线定理,san'chui'xian'ding'li
三次方程,san'ci'fang'cheng
三次曲线,san'ci'qu'xian
三等分,san'deng'fen
三等分角,san'deng'fen'jiao
三点共面,san'dian'gong'mian
三点共线,san'dian'gong'xian
散点图,san'dian'tu
三段论,san'duan'lun
三角,san'jiao
三角函数,san'jiao'han'shu
三角函数线,san'jiao'han'shu'xian
三角形,san'jiao'xing
三角形法则,san'jiao'xing'fa'ze
三角学,san'jiao'xue
三棱柱,san'leng'zhu
三体问题,san'ti'wen'ti
三维空间,san'wei'kong'jian
三维目标,san'wei'mu'biao
三线共点,san'xian'gong'dian
三叶形,san'ye'xing
三元一次不定方程,san'yuan'yi'ci'bu'ding'fang'cheng
三元一次方程,san'yuan'yi'ci'fang'cheng
三元一次方程组,san'yuan'yi'ci'fang'cheng'zu
扇形,shan'xing
上半平面,shang'ban'ping'mian
上底,shang'di
上底面,shang'di'mian
上下伸缩,shang'xia'shen'suo
舍入误差,she'ru'wu'cha
射线,she'xian
射影,she'ying
射影定理,she'ying'ding'li
射影几何,she'ying'ji'he
射影几何学,she'ying'ji'he'xue
射影中心,she'ying'zhong'xin
伸缩,shen'suo
伸缩变换,shen'suo'bian'huan
升幂,sheng'mi
升幂公式,sheng'mi'gong'shi
升幂排序,sheng'mi'pai'xu
剩余,sheng'yu
始边,shi'bian
实部,shi'bu
始点,shi'dian
十二边形,shi'er'bian'xing
十二进制,shi'er'jin'zhi
十二面体,shi'er'mian'ti
十分位,shi'fen'wei
十个,shi'ge
实根,shi'gen
事件,shi'jian
事件概率,shi'jian'gai'lv
十进制,shi'jin'zhi
十进制小数,shi'jin'zhi'xiao'shu
矢量,shi'liang
十六进制,shi'liu'jin'zhi
十米,shi'mi
实数,shi'shu
实数根,shi'shu'gen
实数集,shi'shu'ji
实数系,shi'shu'xi
实数域,shi'shu'yu
视图,shi'tu
实线,shi'xian
试验,shi'yan
实验,shi'yan
实轴,shi'zhou
首项,shou'xiang
首项系数,shou'xiang'xi'shu
数集,shu'ji
数据,shu'ju
数据处理,shu'ju'chu'li
数据结构,shu'ju'jie'gou
数理逻辑,shu'li'luo'ji
数理统计,shu'li'tong'ji
数量关系,shu'liang'guan'xi
数列,shu'lie
数论,shu'lun
数系,shu'xi
树形图,shu'xing'tu
数学,shu'xue
数学分析,shu'xue'fen'xi
数学公式,shu'xue'gong'shi
数学归纳法,shu'xue'gui'na'fa
数学基础,shu'xue'ji'chu
数学家,shu'xue'jia
属于,shu'yu
数域,shu'yu
数值,shu'zhi
数轴,shu'zhou
树状图,shu'zhuang'tu
数字,shu'zi
双曲线,shuang'qu'xian
双曲线的标准方程,shuang'qu'xian'de'biao'zhun'fang'cheng
双曲线的中心,shuang'qu'xian'de'zhong'xin
水平,shui'ping
水平分量,shui'ping'fen'liang
瞬时变化率,shun'shi'bian'hua'lv
瞬时速度,shun'shi'su'du
顺时针,shun'shi'zhen
顺时针方向,shun'shi'zhen'fang'xiang
顺时针旋转,shun'shi'zhen'xuan'zhuan
四边形,si'bian'xing
四次方,si'ci'fang
四次方程,si'ci'fang'cheng
四次方根,si'ci'fang'gen
四次曲线,si'ci'qu'xian
四点共圆,si'dian'gong'yuan
四分之一,si'fen'zhi'yi
四棱柱,si'leng'zhu
四面体,si'mian'ti
四舍五人,si'she'wu'ren
四维时空,si'wei'shi'kong
四元数,si'yuan'shu
四则运算,si'ze'yun'suan
苏教版,su'jiao'ban
素数,su'shu
算法,suan'fa
算法语言,suan'fa'yu'yan
算盘,suan'pan
算术根,suan'shu'gen
算术平方根,suan'shu'ping'fang'gen
算术平均,suan'shu'ping'jun
算子,suan'zi
随机,sui'ji
随机变量,sui'ji'bian'liang
随机事件,sui'ji'shi'jian
随机试验,sui'ji'shi'yan
随机误差,sui'ji'wu'cha
随机现象,sui'ji'xian'xiang
随机性,sui'ji'xing
随机样本,sui'ji'yang'ben
孙子剩余定理,sun'zi'sheng'yu'ding'li
台体,tai'ti
特称命题,te'cheng'ming'ti
特解,te'jie
特征,te'zheng
特征方程,te'zheng'fang'cheng
体积,ti'ji
体积单位,ti'ji'dan'wei
体积公式,ti'ji'gong'shi
梯形,ti'xing
条件,tiao'jian
条件概率,tiao'jian'gai'lv
条形统计图,tiao'xing'tong'ji'tu
条形图,tiao'xing'tu
统筹法,tong'chou'fa
通分,tong'fen
统计,tong'ji
统计表,tong'ji'biao
统计调查,tong'ji'diao'cha
统计假设,tong'ji'jia'she
统计误差,tong'ji'wu'cha
统计学,tong'ji'xue
同角三角函数,tong'jiao'san'jiao'han'shu
通径,tong'jing
同名三角函数,tong'ming'san'jiao'han'shu
通项,tong'xiang
通项公式,tong'xiang'gong'shi
同心圆,tong'xin'yuan
同余法,tong'yu'fa
同余方程,tong'yu'fang'cheng
透视,tou'shi
透视法,tou'shi'fa
投影,tou'ying
投影中心,tou'ying'zhong'xin
图论,tu'lun
图象法,tu'xiang'fa
图象平移,tu'xiang'ping'yi
图形,tu'xing
图形面积,tu'xing'mian'ji
推出,tui'chu
推导,tui'dao
推广,tui'guang
推论,tui'lun
拓扑,tuo'pu
椭圆,tuo'yuan
椭圆的标准方程,tuo'yuan'de'biao'zhun'fang'cheng
椭圆的中心,tuo'yuan'de'zhong'xin
外摆线,wai'bai'xian
外部,wai'bu
外角,wai'jiao
外角平分线,wai'jiao'ping'fen'xian
外接,wai'jie
外接球,wai'jie'qiu
外接圆,wai'jie'yuan
外接圆半径,wai'jie'yuan'ban'jing
外离,wai'li
外面,wai'mian
外心,wai'xin
万能公式,wan'neng'gong'shi
完全,wan'quan
完全平方,wan'quan'ping'fang
完全平方公式,wan'quan'ping'fang'gong'shi
完全平方数,wan'quan'ping'fang'shu
微分,wei'fen
微积分,wei'ji'fen
微积分基本定理,wei'ji'fen'ji'ben'ding'li
位数,wei'shu
位移,wei'yi
唯一,wei'yi
唯一解,wei'yi'jie
唯一性,wei'yi'xing
位置,wei'zhi
未知参数,wei'zhi'can'shu
未知量,wei'zhi'liang
未知数,wei'zhi'shu
温度,wen'du
五边形,wu'bian'xing
误差,wu'cha
误差分析,wu'cha'fen'xi
五角星,wu'jiao'xing
五棱柱,wu'leng'zhu
无理方程,wu'li'fang'cheng
无理根,wu'li'gen
无理数,wu'li'shu
无理数指数幂,wu'li'shu'zhi'shu'mi
无偏估计,wu'pian'gu'ji
无穷,wu'qiong
无穷大,wu'qiong'da
无穷小,wu'qiong'xiao
无穷远,wu'qiong'yuan
无穷远点,wu'qiong'yuan'dian
无穷远线,wu'qiong'yuan'xian
无穷远直线,wu'qiong'yuan'zhi'xian
五位数,wu'wei'shu
无限集,wu'xian'ji
无序,wu'xu
希尔伯特,xi'er'bo'te
希腊数字,xi'la'shu'zi
系数,xi'shu
系统,xi'tong
系统抽样,xi'tong'chou'yang
下底,xia'di
下底面,xia'di'mian
现代数学,xian'dai'shu'xue
线段,xian'duan
线面垂直,xian'mian'chui'zhi
线面平行,xian'mian'ping'xing
线速度,xian'su'du
线线垂直,xian'xian'chui'zhi
线线平行,xian'xian'ping'xing
现象,xian'xiang
线性,xian'xing
线性表示,xian'xing'biao'shi
线性代数,xian'xing'dai'shu
线性递归关系,xian'xing'di'gui'guan'xi
线性方程,xian'xing'fang'cheng
线性关系,xian'xing'guan'xi
线性规划,xian'xing'gui'hua
线性回归,xian'xing'hui'gui
线性回归方程,xian'xing'hui'gui'fang'cheng
线性回归模型,xian'xing'hui'gui'mo'xing
线性空间,xian'xing'kong'jian
线性无关,xian'xing'wu'guan
线性相关,xian'xing'xiang'guan
线性组合,xian'xing'zu'he
显著性,xian'zhu'xing
显著性检验,xian'zhu'xing'jian'yan
相等,xiang'deng
相等公里,xiang'deng'gong'li
相对误差,xiang'dui'wu'cha
相对性,xiang'dui'xing
相反向量,xiang'fan'xiang'liang
相关,xiang'guan
相关概念,xiang'guan'gai'nian
相关系数,xiang'guan'xi'shu
相关性,xiang'guan'xing
相关指数,xiang'guan'zhi'shu
相互独立事件,xiang'hu'du'li'shi'jian
相加,xiang'jia
相减,xiang'jian
相交,xiang'jiao
湘教版,xiang'jiao'ban
相交定理,xiang'jiao'ding'li
相交弦定理,xiang'jiao'xian'ding'li
相交于,xiang'jiao'yu
向量,xiang'liang
向量表示,xiang'liang'biao'shi
向量代数,xiang'liang'dai'shu
向量的数乘,xiang'liang'de'shu'cheng
向量和,xiang'liang'he
向量基,xiang'liang'ji
向量加法,xiang'liang'jia'fa
向量减法,xiang'liang'jian'fa
向量模,xiang'liang'mo
相容性,xiang'rong'xing
相似,xiang'si
相似比,xiang'si'bi
相似变换,xiang'si'bian'huan
相似多边形,xiang'si'duo'bian'xing
相似三角形,xiang'si'san'jiao'xing
相似形,xiang'si'xing
相位,xiang'wei
象限,xiang'xian
象形图,xiang'xing'tu
小结,xiao'jie
小前提,xiao'qian'ti
小数部分,xiao'shu'bu'fen
小数点,xiao'shu'dian
小数位,xiao'shu'wei
小于,xiao'yu
小于等于,xiao'yu'deng'yu
小于或等于,xiao'yu'huo'deng'yu
消元法,xiao'yuan'fa
斜边,xie'bian
斜二测画法,xie'er'ce'hua'fa
斜截式,xie'jie'shi
斜棱柱,xie'leng'zhu
斜棱锥,xie'leng'zhui
斜率,xie'lv
斜面,xie'mian
斜三角形,xie'san'jiao'xing
斜轴,xie'zhou
心算,xin'suan
信息论,xin'xi'lun
心脏线,xin'zang'xian
形式逻辑,xing'shi'luo'ji
形式语言,xing'shi'yu'yan
形式主义,xing'shi'zhu'yi
星形,xing'xing
性质,xing'zhi
性质定理,xing'zhi'ding'li
虚部,xu'bu
序对,xu'dui
虚根,xu'gen
序列,xu'lie
虚数,xu'shu
序数,xu'shu
虚数单位,xu'shu'dan'wei
虚轴,xu'zhou
悬链线,xuan'lian'xian
选修,xuan'xiu
选择公理,xuan'ze'gong'li
选择关系,xuan'ze'guan'xi
旋转,xuan'zhuan
旋转角,xuan'zhuan'jiao
旋转中心,xuan'zhuan'zhong'xin
循环,xun'huan
循环变换,xun'huan'bian'huan
循环表示,xun'huan'biao'shi
循环部分,xun'huan'bu'fen
循环小数,xun'huan'xiao'shu
循环证明,xun'huan'zheng'ming
严格递减,yan'ge'di'jian
严格递增,yan'ge'di'zeng
验算,yan'suan
演算,yan'suan
延拓,yan'tuo
演绎,yan'yi
演绎法,yan'yi'fa
演绎推理,yan'yi'tui'li
演绎证明,yan'yi'zheng'ming
验证,yan'zheng
样本,yang'ben
样本标准差,yang'ben'biao'zhun'cha
样本大小,yang'ben'da'xiao
样本点,yang'ben'dian
样本点的中心,yang'ben'dian'de'zhong'xin
样本方差,yang'ben'fang'cha
样本个数,yang'ben'ge'shu
样本均值,yang'ben'jun'zhi
样本空间,yang'ben'kong'jian
样本平均数,yang'ben'ping'jun'shu
样本容量,yang'ben'rong'liang
样本相关系数,yang'ben'xiang'guan'xi'shu
样本协方差,yang'ben'xie'fang'cha
样本值,yang'ben'zhi
样本中心矩,yang'ben'zhong'xin'ju
杨辉三角形,yang'hui'san'jiao'xing
仰角,yang'jiao
曳物线,ye'wu'xian
一般化,yi'ban'hua
一般式,yi'ban'shi
溢出,yi'chu
一次函数,yi'ci'han'shu
一次同余方程,yi'ci'tong'yu'fang'cheng
一打,yi'da
移动,yi'dong
一角一函数,yi'jiao'yi'han'shu
一阶导数,yi'jie'dao'shu
异面直线,yi'mian'zhi'xian
一维空间,yi'wei'kong'jian
一线段,yi'xian'duan
移项,yi'xiang
一一对应,yi'yi'dui'ying
一一映射,yi'yi'ying'she
一圆,yi'yuan
一元二次不等式,yi'yuan'er'ci'bu'deng'shi
一元二次方程,yi'yuan'er'ci'fang'cheng
一元一次不等式,yi'yuan'yi'ci'bu'deng'shi
一元一次不等式组,yi'yuan'yi'ci'bu'deng'shi'zu
一元一次方程,yi'yuan'yi'ci'fang'cheng
已知,yi'zhi
已知数,yi'zhi'shu
因变量,yin'bian'liang
因果关系,yin'guo'guan'xi
隐函数,yin'han'shu
引理,yin'li
因式,yin'shi
因式分解,yin'shi'fen'jie
因式分解定理,yin'shi'fen'jie'ding'li
因数,yin'shu
因数分解,yin'shu'fen'jie
因素,yin'su
因素因子,yin'su'yin'zi
因子,yin'zi
映射,ying'she
应用,ying'yong
应用数学,ying'yong'shu'xue
右闭区间,you'bi'qu'jian
右边,you'bian
游标,you'biao
右乘法,you'cheng'fa
诱导,you'dao
诱导公式,you'dao'gong'shi
优弧,you'hu
优化,you'hua
右焦点,you'jiao'dian
有界性,you'jie'xing
有理分式,you'li'fen'shi
有理分式展开,you'li'fen'shi'zhan'kai
有理根,you'li'gen
有理函数,you'li'han'shu
有理化,you'li'hua
有理化分母,you'li'hua'fen'mu
有理化因子,you'li'hua'yin'zi
有理数,you'li'shu
有限,you'xian
有限部分,you'xian'bu'fen
有限集,you'xian'ji
优先权,you'xian'quan
有向线段,you'xiang'xian'duan
有效,you'xiao
有效数字,you'xiao'shu'zi
有效性,you'xiao'xing
优选法,you'xuan'fa
余割,yu'ge
余割曲线,yu'ge'qu'xian
余角,yu'jiao
语句,yu'ju
余数,yu'shu
余数定理,yu'shu'ding'li
余弦定理,yu'xian'ding'li
余弦曲线,yu'xian'qu'xian
余弦线,yu'xian'xian
语义,yu'yi
圆的标准方程,yuan'de'biao'zhun'fang'cheng
原点,yuan'dian
原函数,yuan'han'shu
圆弧,yuan'hu
原假设,yuan'jia'she
原来变量,yuan'lai'bian'liang
原理,yuan'li
圆面积,yuan'mian'ji
原命题,yuan'ming'ti
圆盘,yuan'pan
原始数据,yuan'shi'shu'ju
原始问题,yuan'shi'wen'ti
元素,yuan'su
原象,yuan'xiang
圆心,yuan'xin
圆心轨迹,yuan'xin'gui'ji
圆心角,yuan'xin'jiao
圆周,yuan'zhou
圆周角,yuan'zhou'jiao
圆周率,yuan'zhou'lv
圆柱,yuan'zhu
圆锥,yuan'zhui
圆锥曲线,yuan'zhui'qu'xian
原子,yuan'zi
约定,yue'ding
约分,yue'fen
约数,yue'shu
约束,yue'shu
约束变量,yue'shu'bian'liang
约束条件,yue'shu'tiao'jian
运筹学,yun'chou'xue
运算,yun'suan
运算法则,yun'suan'fa'ze
增函数,zeng'han'shu
增加,zeng'jia
增量,zeng'liang
增长率,zeng'zhang'lv
侧棱,zhai'leng
侧棱长,zhai'leng'chang
展开,zhan'kai
展开式,zhan'kai'shi
辗转相除法,zhan'zhuan'xiang'chu'fa
折线统计图,zhe'xian'tong'ji'tu
真包含,zhen'bao'han
真包含于,zhen'bao'han'yu
真分数,zhen'fen'shu
振幅,zhen'fu
真假值,zhen'jia'zhi
真假值表,zhen'jia'zhi'biao
真命题,zhen'ming'ti
真值,zhen'zhi
真值表,zhen'zhi'biao
真子集,zhen'zi'ji
正八面体,zheng'ba'mian'ti
正比,zheng'bi
正比例,zheng'bi'li
正比例函数,zheng'bi'li'han'shu
正常数,zheng'chang'shu
整除,zheng'chu
整除部分,zheng'chu'bu'fen
整除性,zheng'chu'xing
正多边形,zheng'duo'bian'xing
正多面体,zheng'duo'mian'ti
正二十面体,zheng'er'shi'mian'ti
正方形,zheng'fang'xing
正割,zheng'ge
正割曲线,zheng'ge'qu'xian
正根,zheng'gen
整函数,zheng'han'shu
正号,zheng'hao
正角,zheng'jiao
正交,zheng'jiao
正交分解,zheng'jiao'fen'jie
正交化,zheng'jiao'hua
正交化过程,zheng'jiao'hua'guo'cheng
正交基,zheng'jiao'ji
正交投影,zheng'jiao'tou'ying
正交性,zheng'jiao'xing
正棱锥,zheng'leng'zhui
证明,zheng'ming
证明论证,zheng'ming'lun'zheng
正切,zheng'qie
正切曲线,zheng'qie'qu'xian
正切线,zheng'qie'xian
证实,zheng'shi
整式,zheng'shi
正十二面体,zheng'shi'er'mian'ti
正实数,zheng'shi'shu
正视图,zheng'shi'tu
整数,zheng'shu
正数,zheng'shu
整数表示,zheng'shu'biao'shi
整数部分,zheng'shu'bu'fen
整数解,zheng'shu'jie
整数线性规划,zheng'shu'xian'xing'gui'hua
整数线性最优化,zheng'shu'xian'xing'zui'you'hua
正四面体,zheng'si'mian'ti
正态分布,zheng'tai'fen'bu
正态分布函数,zheng'tai'fen'bu'han'shu
整体性质,zheng'ti'xing'zhi
正无穷大,zheng'wu'qiong'da
正弦,zheng'xian
正弦定理,zheng'xian'ding'li
正弦函数,zheng'xian'han'shu
正弦线,zheng'xian'xian
正相关,zheng'xiang'guan
正余弦定理,zheng'yu'xian'ding'li
正整数,zheng'zheng'shu
直尺,zhi'chi
直方图,zhi'fang'tu
直观,zhi'guan
直观图,zhi'guan'tu
置换,zhi'huan
直角,zhi'jiao
直角边,zhi'jiao'bian
直角三角形,zhi'jiao'san'jiao'xing
直角坐标,zhi'jiao'zuo'biao
直角坐标系,zhi'jiao'zuo'biao'xi
直接法,zhi'jie'fa
直接推理,zhi'jie'tui'li
直接证明,zhi'jie'zheng'ming
直径,zhi'jing
直棱柱,zhi'leng'zhu
直棱锥,zhi'leng'zhui
知识与技能,zhi'shi'yu'ji'neng
质数,zhi'shu
指数,zhi'shu
指数方程,zhi'shu'fang'cheng
指数函数,zhi'shu'han'shu
指数曲线,zhi'shu'qu'xian
指数型,zhi'shu'xing
指数型曲线,zhi'shu'xing'qu'xian
直线,zhi'xian
直线斜率,zhi'xian'xie'lv
直圆锥,zhi'yuan'zhui
终边,zhong'bian
中垂线,zhong'chui'xian
中点,zhong'dian
终点,zhong'dian
终端,zhong'duan
中国剩余定理,zhong'guo'sheng'yu'ding'li
中间变量,zhong'jian'bian'liang
中间结果,zhong'jian'jie'guo
中间数,zhong'jian'shu
众数,zhong'shu
中位数,zhong'wei'shu
中位线,zhong'wei'xian
中线,zhong'xian
中项,zhong'xiang
重心,zhong'xin
中心,zhong'xin
中心点,zhong'xin'dian
重心定理,zhong'xin'ding'li
中心对称,zhong'xin'dui'chen
中心对称图形,zhong'xin'dui'chen'tu'xing
中心投影,zhong'xin'tou'ying
重心坐标,zhong'xin'zuo'biao
中值定理,zhong'zhi'ding'li
周长,zhou'chang
轴对称,zhou'dui'chen
轴对称图形,zhou'dui'chen'tu'xing
周角,zhou'jiao
周期,zhou'qi
周期函数,zhou'qi'han'shu
周期性,zhou'qi'xing
柱极坐标,zhu'ji'zuo'biao
主视图,zhu'shi'tu
转置,zhuan'zhi
锥面,zhui'mian
追踪曲线,zhui'zong'qu'xian
准确度,zhun'que'du
准确性,zhun'que'xing
准线,zhun'xian
准线方程,zhun'xian'fang'cheng
自变量,zi'bian'liang
子集,zi'ji
自然对数,zi'ran'dui'shu
自然对数的底,zi'ran'dui'shu'de'di
自然数,zi'ran'shu
自然语言,zi'ran'yu'yan
综合法,zong'he'fa
总计,zong'ji
总利润,zong'li'run
总平方和,zong'ping'fang'he
总体,zong'ti
总体分布,zong'ti'fen'bu
纵轴,zong'zhou
纵坐标,zong'zuo'biao
纵坐标轴,zong'zuo'biao'zhou
组合,zu'he
组合多面体,zu'he'duo'mian'ti
组合方法,zu'he'fang'fa
组合数,zu'he'shu
组合数学,zu'he'shu'xue
阻尼,zu'ni
最大,zui'da
最大公因数,zui'da'gong'yin'shu
最大项,zui'da'xiang
最大值,zui'da'zhi
最短距离,zui'duan'ju'li
最短路问题,zui'duan'lu'wen'ti
最佳,zui'jia
最佳逼近,zui'jia'bi'jin
最简分数,zui'jian'fen'shu
最简根式,zui'jian'gen'shi
最速降线,zui'su'jiang'xian
最小,zui'xiao
最小二乘法,zui'xiao'er'cheng'fa
最小二乘估计,zui'xiao'er'cheng'gu'ji
最小公倍数,zui'xiao'gong'bei'shu
最小解,zui'xiao'jie
最小正周期,zui'xiao'zheng'zhou'qi
最小值,zui'xiao'zhi
最优化,zui'you'hua
最优设计,zui'you'she'ji
最优条件,zui'you'tiao'jian
最优位置,zui'you'wei'zhi
最值,zui'zhi
左半开区间,zuo'ban'kai'qu'jian
坐标,zuo'biao
坐标变换,zuo'biao'bian'huan
坐标法,zuo'biao'fa
坐标几何学,zuo'biao'ji'he'xue
坐标平面,zuo'biao'ping'mian
坐标系,zuo'biao'xi
坐标线,zuo'biao'xian
坐标轴,zuo'biao'zhou
左端点,zuo'duan'dian
左焦点,zuo'jiao'dian
左视图,zuo'shi'tu
作图题,zuo'tu'ti
左右平移,zuo'you'ping'yi
