阿波罗,a'bo'luo
阿德门图斯,a'de'men'tu'si
八宫,ba'gong
八宫宫头,ba'gong'gong'tou
北交,bei'jiao
北交点,bei'jiao'dian
比较盘,bi'jiao'pan
波塞冬,bo'sai'dong
东升点,dong'sheng'dian
二宫,er'gong
二宫宫头,er'gong'gong'tou
福点,fu'dian
弗卡努斯,fu'ka'nu'si
宫头,gong'tou
谷神,gu'shen
谷神白羊,gu'shen'bai'yang
谷神处女,gu'shen'chu'nv
谷神金牛,gu'shen'jin'niu
谷神巨蟹,gu'shen'ju'xie
谷神摩羯,gu'shen'mo'jie
谷神射手,gu'shen'she'shou
谷神狮子,gu'shen'shi'zi
谷神双鱼,gu'shen'shuang'yu
谷神双子,gu'shen'shuang'zi
谷神水瓶,gu'shen'shui'ping
谷神天枰,gu'shen'tian'ping
谷神天蝎,gu'shen'tian'xie
谷神星,gu'shen'xing
哈得丝,ha'de'si
海王白羊,hai'wang'bai'yang
海王处女,hai'wang'chu'nv
海王金牛,hai'wang'jin'niu
海王巨蟹,hai'wang'ju'xie
海王摩羯,hai'wang'mo'jie
海王射手,hai'wang'she'shou
海王狮子,hai'wang'shi'zi
海王双鱼,hai'wang'shuang'yu
海王双子,hai'wang'shuang'zi
海王水瓶,hai'wang'shui'ping
海王天枰,hai'wang'tian'ping
海王天蝎,hai'wang'tian'xie
婚神,hun'shen
婚神白羊,hun'shen'bai'yang
婚神处女,hun'shen'chu'nv
婚神金牛,hun'shen'jin'niu
婚神巨蟹,hun'shen'ju'xie
婚神摩羯,hun'shen'mo'jie
婚神射手,hun'shen'she'shou
婚神狮子,hun'shen'shi'zi
婚神双鱼,hun'shen'shuang'yu
婚神双子,hun'shen'shuang'zi
婚神水瓶,hun'shen'shui'ping
婚神天枰,hun'shen'tian'ping
婚神天蝎,hun'shen'tian'xie
婚神星,hun'shen'xing
火白羊,huo'bai'yang
火处女,huo'chu'nv
火海冲,huo'hai'chong
火海合,huo'hai'he
火海六合,huo'hai'lu'he
火海邢,huo'hai'xing
火火冲,huo'huo'chong
火火合,huo'huo'he
火火邢,huo'huo'xing
火金牛,huo'jin'niu
火巨蟹,huo'ju'xie
火冥冲,huo'ming'chong
火冥合,huo'ming'he
火冥邢,huo'ming'xing
火摩羯,huo'mo'jie
火射手,huo'she'shou
火狮子,huo'shi'zi
火双鱼,huo'shuang'yu
火双子,huo'shuang'zi
火水瓶,huo'shui'ping
火天供,huo'tian'gong
火天合,huo'tian'he
火天六合,huo'tian'lu'he
火天枰,huo'tian'ping
火天蝎,huo'tian'xie
火天邢,huo'tian'xing
金白羊,jin'bai'yang
金处女,jin'chu'nv
金海冲,jin'hai'chong
金海拱,jin'hai'gong
金海合,jin'hai'he
金海六合,jin'hai'lu'he
金海三合,jin'hai'san'he
金海刑,jin'hai'xing
金火冲,jin'huo'chong
金火拱,jin'huo'gong
金火合,jin'huo'he
金火六合,jin'huo'lu'he
金火三合,jin'huo'san'he
金火刑,jin'huo'xing
金金牛,jin'jin'niu
金巨蟹,jin'ju'xie
金冥冲,jin'ming'chong
金冥拱,jin'ming'gong
金冥合,jin'ming'he
金冥六合,jin'ming'lu'he
金冥三合,jin'ming'san'he
金冥刑,jin'ming'xing
金摩羯,jin'mo'jie
金木冲,jin'mu'chong
金木拱,jin'mu'gong
金木合,jin'mu'he
金木六合,jin'mu'lu'he
金木三合,jin'mu'san'he
金木刑,jin'mu'xing
金射手,jin'she'shou
金狮子,jin'shi'zi
金双鱼,jin'shuang'yu
金双子,jin'shuang'zi
金水冲,jin'shui'chong
金水拱,jin'shui'gong
金水合,jin'shui'he
金水六合,jin'shui'lu'he
金水瓶,jin'shui'ping
金水三合,jin'shui'san'he
金水刑,jin'shui'xing
金天冲,jin'tian'chong
金天拱,jin'tian'gong
金天合,jin'tian'he
金天六合,jin'tian'lu'he
金天枰,jin'tian'ping
金天三合,jin'tian'san'he
金天蝎,jin'tian'xie
金天刑,jin'tian'xing
金土冲,jin'tu'chong
金土拱,jin'tu'gong
金土合,jin'tu'he
