纯妃,chun'fei
纯贵嫔,chun'gui'pin
纯贵人,chun'gui'ren
纯嫔,chun'pin
高嫔,gao'pin
耿贵人,geng'gui'ren
耿嫔,geng'pin
皇后,huang'hou
惠儿,hui'er
慧瑛,hui'ying
冀妃,ji'fei
娇妃,jiao'fei
娇嫔,jiao'pin
锦婳,jin'hua
鹃妃,juan'fei
鹃贵妃,juan'gui'fei
乾隆,qian'long
庆贵妃,qing'gui'fei
庆嫔,qing'pin
太后,tai'hou
婉贵妃,wan'gui'fei
娴常在,xian'chang'zai
娴妃,xian'fei
娴嫔,xian'pin
小城子,xiao'cheng'zi
小曳子,xiao'ye'zi
小尹子,xiao'yin'zi
歆妃,xin'fei
歆贵人,xin'gui'ren
歆嫔,xin'pin
秀玥,xiu'yue
颖贵嫔,ying'gui'pin
颖贵人,ying'gui'ren
颖嫔,ying'pin
苑妃,yuan'fei
苑贵妃,yuan'gui'fei
