八归,ba'gui
八塞,ba'sai
白萱,bai'xuan
白雪,bai'xue
比梅,bi'mei
别怨,bie'yuan
不见,bu'jian
步月,bu'yue
侧犯,ce'fan
长春,chang'chun
出塞,chu'sai
大椿,da'chun
大江乘,da'jiang'cheng
大江西,da'jiang'xi
大酺,da'pu
大圣乐,da'sheng'yue
大有,da'you
导引,dao'yin
丁儿,ding'er
东仙,dong'xian
杜宇,du'yu
多丽,duo'li
犯花,fan'hua
芳草,fang'cao
防露,fang'lu
个侬,ge'nong
古记,gu'ji
孤鸾,gu'luan
河传,he'chuan
合欢,he'huan
花犯,hua'fan
佳色,jia'se
九日,jiu'ri
乐世,le'shi
六丑,liu'chou
录调,lu'tiao
鸣梭,ming'suo
木笡,mu'qie
南浦,nan'pu
秋水,qiu'shui
入塞,ru'sai
三部乐,san'bu'le
三登乐,san'deng'le
三奠子,san'dian'zi
三台,san'tai
三台令,san'tai'ling
三学士,san'xue'shi
三株媚,san'zhu'mei
三字令,san'zi'ling
上江虹,shang'jiang'hong
上林春,shang'lin'chun
上马娇,shang'ma'jiao
上南平,shang'nan'ping
上平南,shang'ping'nan
上平西,shang'ping'xi
上升花,shang'sheng'hua
上束马,shang'shu'ma
上西楼,shang'xi'lou
上西平,shang'xi'ping
上小楼,shang'xiao'lou
上行杯,shang'xing'bei
上阳春,shang'yang'chun
天香,tian'xiang
尾犯,wei'fan
无闷,wu'men
五拍,wu'pai
无怨,wu'yuan
西河,xi'he
西湖,xi'hu
西施,xi'shi
西子,xi'zi
下手迟,xia'shou'chi
下水船,xia'shui'chuan
小冲山,xiao'chong'shan
小重山,xiao'chong'shan
小阑干,xiao'lan'gan
小梅花,xiao'mei'hua
小圣乐,xiao'sheng'yue
小桃红,xiao'tao'hong
小桃花,xiao'tao'hua
小庭花,xiao'ting'hua
小镇西,xiao'zhen'xi
寻梅,xun'mei
阳春,yang'chun
月慢,yue'man
乐正,yue'zheng
招潮,zhao'chao
征招,zheng'zhao
竹枝,zhu'zhi
子夜,zi'ye
