岸礁,an'jiao
澳洲界,ao'zhou'jie
半岛,ban'dao
半固定沙丘,ban'gu'ding'sha'qiu
半农半牧区,ban'nong'ban'mu'qu
暴发洪水,bao'fa'hong'shui
饱和带,bao'he'dai
堡礁,bao'jiao
暴雨径流,bao'yu'jing'liu
雹灾,bao'zai
北半球,bei'ban'qiu
被导工业,bei'dao'gong'ye
北回归线,bei'hui'gui'xian
北极,bei'ji
闭合盆地,bi'he'pen'di
比例扩张,bi'li'kuo'zhang
比例增强,bi'li'zeng'qiang
边缘地,bian'yuan'di
边缘化,bian'yuan'hua
边缘增强,bian'yuan'zeng'qiang
辫状河,bian'zhuang'he
标型化合物,biao'xing'hua'he'wu
标型离子,biao'xing'li'zi
标型元素,biao'xing'yuan'su
标准化大都市统计区,biao'zhun'hua'da'du'shi'tong'ji'qu
标准纬线,biao'zhun'wei'xian
滨,bin
滨河床沙坝,bin'he'chuang'sha'ba
滨外坝,bin'wai'ba
冰擦痕,bing'ca'hen
冰川,bing'chuan
冰川变化,bing'chuan'bian'hua
冰川补给,bing'chuan'bu'ji
冰川地质学,bing'chuan'di'zhi'xue
冰川河流,bing'chuan'he'liu
冰川化,bing'chuan'hua
冰川退缩,bing'chuan'tui'suo
冰川物质平衡,bing'chuan'wu'zhi'ping'heng
冰川隙,bing'chuan'xi
冰川学,bing'chuan'xue
冰川作用,bing'chuan'zuo'yong
冰斗,bing'dou
冰斗冰川,bing'dou'bing'chuan
冰分凝,bing'fen'ning
冰盖,bing'gai
冰胶结,bing'jiao'jie
冰期,bing'qi
冰期后,bing'qi'hou
冰山,bing'shan
冰透镜体,bing'tou'jing'ti
冰下河道,bing'xia'he'dao
冰楔,bing'xie
冰原,bing'yuan
冰缘,bing'yuan
波浪侵蚀,bo'lang'qin'shi
剥落,bo'luo
波谱分辨率,bo'pu'fen'bian'lv
剥蚀,bo'shi
剥蚀面,bo'shi'mian
不规则三角网格,bu'gui'ze'san'jiao'wang'ge
布局规模经济,bu'ju'gui'mo'jing'ji
部落领土,bu'luo'ling'tu
部门经济地理学,bu'men'jing'ji'di'li'xue
彩色合成,cai'se'he'cheng
残积层,can'ji'ceng
残积景观,can'ji'jing'guan
残积土,can'ji'tu
残积物,can'ji'wu
残留因素,can'liu'yin'su
残遗种区,can'yi'zhong'qu
草甸,cao'dian
草甸沼泽,cao'dian'zhao'ze
草原,cao'yuan
草原气候,cao'yuan'qi'hou
草原土壤,cao'yuan'tu'rang
侧向侵蚀,ce'xiang'qin'shi
层间流,ceng'jian'liu
层结湖,ceng'jie'hu
差异风化作用,cha'yi'feng'hua'zuo'yong
产流,chan'liu
产沙量,chan'sha'liang
产沙率,chan'sha'lv
产水量,chan'shui'liang
颤沼,chan'zhao
常绿阔叶林,chang'lv'kuo'ye'lin
潮沟,chao'gou
潮滩,chao'tan
潮汐通道,chao'xi'tong'dao
沉积物,chen'ji'wu
沉积相,chen'ji'xiang
沉积作用,chen'ji'zuo'yong
成冰作用,cheng'bing'zuo'yong
城市,cheng'shi
城市边缘,cheng'shi'bian'yuan
城市场,cheng'shi'chang
城市等级序列,cheng'shi'deng'ji'xu'lie
城市地理学,cheng'shi'di'li'xue
城市辐集,cheng'shi'fu'ji
城市更新,cheng'shi'geng'xin
城市化,cheng'shi'hua
城市化村,cheng'shi'hua'cun
城市化区域,cheng'shi'hua'qu'yu
城市集群,cheng'shi'ji'qun
城市历史地理,cheng'shi'li'shi'di'li
城市连绵区,cheng'shi'lian'mian'qu
城市蔓生,cheng'shi'man'sheng
城市气候,cheng'shi'qi'hou
城市热岛,cheng'shi're'dao
城市人口,cheng'shi'ren'kou
城市生态系统,cheng'shi'sheng'tai'xi'tong
城市生长极,cheng'shi'sheng'zhang'ji
城市衰落区,cheng'shi'shuai'luo'qu
城市体系,cheng'shi'ti'xi
城市形态,cheng'shi'xing'tai
城市引力,cheng'shi'yin'li
城市再开发,cheng'shi'zai'kai'fa
成熟土壤,cheng'shu'tu'rang
城乡交错带,cheng'xiang'jiao'cuo'dai
承压地下水,cheng'ya'di'xia'shui
赤道,chi'dao
赤道带,chi'dao'dai
冲沟,chong'gou
冲积层,chong'ji'ceng
冲积扇,chong'ji'shan
冲积物,chong'ji'wu
冲积锥,chong'ji'zhui
冲刷,chong'shua
出口基地理论,chu'kou'ji'di'li'lun
传染扩散,chuan'ran'kuo'san
吹蚀,chui'shi
吹雪,chui'xue
垂直地带,chui'zhi'di'dai
垂直地带性,chui'zhi'di'dai'xing
