安宫牛黄丸,an'gong'niu'huang'wan
安神剂,an'shen'ji
八珍汤,ba'zhen'tang
八正散,ba'zheng'san
败毒散,bai'du'san
百合固金汤,bai'he'gu'jin'tang
白虎汤,bai'hu'tang
白头翁汤,bai'tou'weng'tang
半夏白术天麻汤,ban'xia'bai'zhu'tian'ma'tang
半夏厚朴汤,ban'xia'hou'po'tang
半夏泻心汤,ban'xia'xie'xin'tang
保和丸,bao'he'wan
贝母瓜蒌散,bei'mu'gua'lou'san
萆薢分清饮,bi'xie'fen'qing'yin
编辑,bian'ji
表里双解剂,biao'li'shuang'jie'ji
鳖甲煎丸,bie'jia'jian'wan
布袋丸,bu'dai'wan
补肺阿胶汤,bu'fei'e'jiao'tang
补气,bu'qi
补血,bu'xue
补阳,bu'yang
补阳还五汤,bu'yang'huan'wu'tang
补益剂,bu'yi'ji
补阴,bu'yin
补中益气汤,bu'zhong'yi'qi'tang
蚕矢汤,can'shi'tang
柴胡达原饮,chai'hu'da'yuan'yin
川芎茶调散,chuan'xiong'cha'tiao'san
磁朱丸,ci'zhu'wan
大补阴丸,da'bu'yin'wan
大柴胡汤,da'chai'hu'tang
大承气汤,da'cheng'qi'tang
大定风珠,da'ding'feng'zhu
大黄附子汤,da'huang'fu'zi'tang
大黄牡丹汤,da'huang'mu'dan'tang
大黄庶虫丸,da'huang'shu'chong'wan
大建中汤,da'jian'zhong'tang
大秦艽汤,da'qin'jiao'tang
大陷胸汤,da'xian'xiong'tang
丹参饮,dan'shen'yin
当归补血汤,dang'gui'bu'xue'tang
当归六黄汤,dang'gui'liu'huang'tang
当归四逆汤,dang'gui'si'ni'tang
导赤散,dao'chi'san
地黄饮子,di'huang'yin'zi
定喘汤,ding'chuan'tang
定痫丸,ding'xian'wan
丁香柿蒂汤,ding'xiang'shi'di'tang
独活寄生汤,du'huo'ji'sheng'tang
阿胶鸡子黄汤,e'jiao'ji'zi'huang'tang
二陈汤,er'chen'tang
二妙散,er'miao'san
二至丸,er'zhi'wan
伐木丸,fa'mu'wan
防风通圣散,fang'feng'tong'sheng'san
防己黄芪汤,fang'ji'huang'qi'tang
肥儿丸,fei'er'wan
茯苓丸,fu'ling'wan
复元活血汤,fu'yuan'huo'xue'tang
扶正解表,fu'zheng'jie'biao
甘露消毒丹普济解毒丹,gan'lu'xiao'du'dan'pu'ji'jie'du'dan
甘麦大枣汤,gan'mai'da'zao'tang
葛根黄芩黄连汤,ge'gen'huang'qin'huang'lian'tang
攻补兼施,gong'bu'jian'shi
固崩止带,gu'beng'zhi'dai
固表止汗,gu'biao'zhi'han
固经丸,gu'jing'wan
固涩剂,gu'se'ji
瓜蒂散,gua'di'san
桂棱茯苓丸,gui'leng'fu'ling'wan
桂苓甘露饮,gui'ling'gan'lu'yin
龟鹿二仙胶,gui'lu'er'xian'jiao
归脾汤,gui'pi'tang
桂枝汤,gui'zhi'tang
滚痰丸,gun'tan'wan
海藻玉壶汤,hai'zao'yu'hu'tang
寒下,han'xia
蒿芩清胆汤,hao'qin'qing'dan'tang
和解剂,he'jie'ji
和解少阳,he'jie'shao'yang
黑锡丹,hei'xi'dan
厚朴温中汤,hou'po'wen'zhong'tang
虎潜丸,hu'qian'wan
滑草薄荷鸡苏散暑湿风热俱能疗,hua'cao'bo'he'ji'su'san'shu'shi'feng're'ju'neng'liao
化虫丸,hua'chong'wan
槐花散,huai'hua'san
黄连解毒汤,huang'lian'jie'du'tang
黄土汤,huang'tu'tang
回阳救急汤,hui'yang'jiu'ji'tang
回阳救逆,hui'yang'jiu'ni
活络效灵丹,huo'luo'xiao'ling'dan
藿香正气散,huo'xiang'zheng'qi'san
活血祛淤,huo'xue'qu'yu
济川煎,ji'chuan'jian
鸡鸣散,ji'ming'san
健脾丸,jian'pi'wan
降气,jiang'qi
胶艾汤,jiao'ai'tang
解表攻里,jie'biao'gong'li
解表清里,jie'biao'qing'li
解表温里,jie'biao'wen'li
金铃子散,jin'ling'zi'san
金锁固精丸,jin'suo'gu'jing'wan
救急稀涎散,jiu'ji'xi'xian'san
九味羌活汤,jiu'wei'qiang'huo'tang
九仙散,jiu'xian'san
橘核丸,ju'he'wan
橘皮竹茹汤,ju'pi'zhu'ru'tang
开窍剂,kai'qiao'ji
