补偿装置,bu'chang'zhuang'zhi
承力索,cheng'li'suo
电连接,dian'lian'jie
吊弦,diao'xian
吊柱,diao'zhu
定位管,ding'wei'guan
定位器,ding'wei'qi
定位线夹,ding'wei'xian'jia
分区亭,fen'qu'ting
附加导线,fu'jia'dao'xian
横向承力索,heng'xiang'cheng'li'suo
横向电连接,heng'xiang'dian'lian'jie
回流线,hui'liu'xian
接触网,jie'chu'wang
接触线,jie'chu'xian
开闭所,kai'bi'suo
馈线,kui'xian
牵引变电所,qian'yin'bian'dian'suo
软横跨,ruan'heng'kua
上网,shang'wang
上下部固定绳,shang'xia'bu'gu'ding'sheng
受电弓,shou'dian'gong
碗臂,wan'bi
吸流变,xi'liu'bian
吸上线,xi'shang'xian
下锚,xia'mao
硬横梁,ying'heng'liang
中心锚结,zhong'xin'mao'jie
坠陀,zhui'tuo
纵向电连接,zong'xiang'dian'lian'jie
