阿嵬茨,a'wei'ci
阿嵬茨的意志,a'wei'ci'de'yi'zhi
艾达贝萨流士,ai'da'bei'sa'liu'shi
艾歌,ai'ge
埃利奥特,ai'li'ao'te
埃利奥特奈特雷伊,ai'li'ao'te'nai'te'lei'yi
艾丽丝,ai'li'si
奥斯卡贝萨流士,ao'si'ka'bei'sa'liu'shi
奥兹,ao'zi
奥兹贝萨流士,ao'zi'bei'sa'liu'shi
巴司卡比鲁,ba'si'ka'bi'lu
布雷克,bu'lei'ke
梵谷,fan'gu
菲利浦,fei'li'pu
格连巴斯卡比鲁,ge'lian'ba'si'ka'bi'lu
基尔巴特,ji'er'ba'te
基尔巴特奈特雷伊,ji'er'ba'te'nai'te'lei'yi
杰克,jie'ke
杰克贝萨流士,jie'ke'bei'sa'liu'shi
静寂的壁钟,jing'ji'de'bi'zhong
拉斯维基学院,la'si'wei'ji'xue'yuan
雷姆,lei'mu
里奥,li'ao
连锁,lian'suo
灵体,ling'ti
路法斯巴尔马,lu'fa'si'ba'er'ma
洛蒂,luo'di
诺伊兹祖巴尔,nuo'yi'zi'zu'ba'er
潘朵拉,pan'duo'la
潘朵拉之心,pan'duo'la'zhi'xin
扑克,pu'ke
契约者,qi'yue'zhe
染血黑兔,ran'xue'hei'tu
沙布利耶,sha'bu'li'ye
四大公爵,si'da'gong'jue
望月淳,wang'yue'chun
违法契约者,wei'fa'qi'yue'zhe
文森特,wen'sen'te
文森特奈特雷伊,wen'sen'te'nai'te'lei'yi
夏萝,xia'luo
夏萝兰兹华斯,xia'luo'lan'zi'hua'si
笑面猫,xiao'mian'mao
谢莉尔兰兹华斯,xie'li'er'lan'zi'hua'si
谢莉兰兹华斯,xie'li'lan'zi'hua'si
辛克莱尔家,xin'ke'lai'er'jia
扎克席兹布雷克,zha'ke'xi'zi'bu'lei'ke
