矮胖型,ai'pang'xing
鞍背,an'bei
暗带,an'dai
鞍膈,an'ge
氨基丁酸能神经元,an'ji'ding'suan'neng'shen'jing'yuan
鞍结节,an'jie'jie
鞍状关节,an'zhuang'guan'jie
凹间韧带,ao'jian'ren'dai
奥奴弗罗维奇核,ao'nu'fu'luo'wei'qi'he
巴林顿核,ba'lin'dun'he
靶器官,ba'qi'guan
靶细胞,ba'xi'bao
靶组织,ba'zu'zhi
白交通支,bai'jiao'tong'zhi
白膜,bai'mo
白线,bai'xian
白线支座,bai'xian'zhi'zuo
白质,bai'zhi
白质后连合,bai'zhi'hou'lian'he
白质前连合,bai'zhi'qian'lian'he
板层,ban'ceng
板股后韧带,ban'gu'hou'ren'dai
板股前韧带,ban'gu'qian'ren'dai
半关节面,ban'guan'jie'mian
半规管固有膜,ban'gui'guan'gu'you'mo
半规管基底膜,ban'gui'guan'ji'di'mo
板后部,ban'hou'bu
半环线,ban'huan'xian
半棘肌,ban'ji'ji
半腱肌,ban'jian'ji
半膜肌,ban'mo'ji
半膜肌囊,ban'mo'ji'nang
板内部,ban'nei'bu
板内核,ban'nei'he
板内核群,ban'nei'he'qun
半奇静脉,ban'qi'jing'mai
板前部,ban'qian'bu
板前支,ban'qian'zhi
伴行静脉,ban'xing'jing'mai
半羽肌,ban'yu'ji
半月板,ban'yue'ban
半月瓣,ban'yue'ban
半月瓣弧缘,ban'yue'ban'hu'yuan
半月瓣小结,ban'yue'ban'xiao'jie
半月襞,ban'yue'bi
半月裂孔,ban'yue'lie'kong
半月线,ban'yue'xian
板障,ban'zhang
板障管,ban'zhang'guan
板障静脉,ban'zhang'jing'mai
板障支,ban'zhang'zhi
薄膜,bao'mo
包皮系带,bao'pi'ji'dai
包皮腺,bao'pi'xian
胞体,bao'ti
背部,bei'bu
背侧,bei'ce
背侧被盖核,bei'ce'bei'gai'he
背侧副橄榄核,bei'ce'fu'gan'lan'he
背侧结节,bei'ce'jie'jie
背侧面,bei'ce'mian
背侧丘脑,bei'ce'qiu'nao
背侧支,bei'ce'zhi
背侧纵束,bei'ce'zong'shu
被覆上皮,bei'fu'shang'pi
被盖,bei'gai
被盖背侧交叉,bei'gai'bei'ce'jiao'cha
被盖腹侧交叉,bei'gai'fu'ce'jiao'cha
被盖区,bei'gai'qu
