贲卦,ben'gua
比卦,bi'gua
剥卦,bo'gua
萃卦,cui'gua
大畜卦,da'chu'gua
大过卦,da'guo'gua
大有卦,da'you'gua
大壮卦,da'zhuang'gua
鼎卦,ding'gua
兑卦,dui'gua
遁卦,dun'gua
丰卦,feng'gua
复卦,fu'gua
革卦,ge'gua
艮卦,gen'gua
姤卦,gou'gua
蛊卦,gu'gua
观卦,guan'gua
归妹,gui'mei
恒卦,heng'gua
涣卦,huan'gua
既济卦,ji'ji'gua
家人卦,jia'ren'gua
渐卦,jian'gua
蹇卦,jian'gua
节卦,jie'gua
晋卦,jin'gua
井卦,jing'gua
夬卦,jue'gua
坎卦,kan'gua
睽卦,kui'gua
困卦,kun'gua
坤卦,kun'gua
离卦,li'gua
临卦,lin'gua
履卦,lv'gua
旅卦,lv'gua
蒙卦,meng'gua
明夷卦,ming'yi'gua
乾卦,qian'gua
谦卦,qian'gua
升卦,sheng'gua
师卦,shi'gua
噬嗑卦,shi'ke'gua
讼卦,song'gua
随卦,sui'gua
损卦,sun'gua
泰卦,tai'gua
同人卦,tong'ren'gua
未济卦,wei'ji'gua
无妄卦,wu'wang'gua
咸卦,xian'gua
小畜卦,xiao'chu'gua
小过卦,xiao'guo'gua
需卦,xu'gua
巽卦,xun'gua
益卦,yi'gua
颐卦,yi'gua
豫卦,yu'gua
震卦,zhen'gua
中孚卦,zhong'fu'gua
