阿合奇县,a'he'qi'xian
阿克苏地区,a'ke'su'di'qu
阿克苏市,a'ke'su'shi
阿克陶县,a'ke'tao'xian
阿拉尔市,a'la'er'shi
阿勒泰地区,a'le'tai'di'qu
阿勒泰市,a'le'tai'shi
阿图什市,a'tu'shi'shi
阿瓦提县,a'wa'ti'xian
巴楚县,ba'chu'xian
巴里坤哈萨克自治县,ba'li'kun'ha'sa'ke'zi'zhi'xian
巴音郭楞,ba'yin'guo'leng
拜城县,bai'cheng'xian
白碱滩区,bai'jian'tan'qu
博尔塔拉,bo'er'ta'la
博湖县,bo'hu'xian
博乐市,bo'le'shi
布尔津县,bu'er'jin'xian
策勒县,ce'le'xian
察布查尔锡伯自治县,cha'bu'cha'er'xi'bo'zi'zhi'xian
昌吉回族自治州,chang'ji'hui'zu'zi'zhi'zhou
昌吉市,chang'ji'shi
达坂城区,da'ban'cheng'qu
东山区,dong'shan'qu
独山子区,du'shan'zi'qu
额敏县,e'min'xian
福海县,fu'hai'xian
阜康市,fu'kang'shi
富蕴县,fu'yun'xian
伽师县,ga'shi'xian
巩留县,gong'liu'xian
哈巴河县,ha'ba'he'xian
哈密地区,ha'mi'di'qu
哈密市,ha'mi'shi
和布克赛尔蒙古自治县,he'bu'ke'sai'er'meng'gu'zi'zhi'xian
和静县,he'jing'xian
和硕县,he'shuo'xian
和田地区,he'tian'di'qu
和田市,he'tian'shi
和田县,he'tian'xian
呼图壁县,hu'tu'bi'xian
霍城县,huo'cheng'xian
吉木乃县,ji'mu'nai'xian
吉木萨尔县,ji'mu'sa'er'xian
精河县,jing'he'xian
喀什地区,ka'shi'di'qu
喀什市,ka'shi'shi
柯尔克孜自治州,ke'er'ke'zi'zi'zhi'zhou
克拉玛依区,ke'la'ma'yi'qu
克拉玛依市,ke'la'ma'yi'shi
柯坪县,ke'ping'xian
克孜勒苏,ke'zi'le'su
库车县,ku'che'xian
库尔勒市,ku'er'le'shi
奎屯市,kui'tun'shi
轮台县,lun'tai'xian
洛浦县,luo'pu'xian
玛纳斯县,ma'na'si'xian
麦盖提县,mai'gai'ti'xian
蒙古自治州,meng'gu'zi'zhi'zhou
米泉市,mi'quan'shi
民丰县,min'feng'xian
墨玉县,mo'yu'xian
木垒哈萨克自治县,mu'lei'ha'sa'ke'zi'zhi'xian
尼勒克县,ni'le'ke'xian
皮山县,pi'shan'xian
奇台县,qi'tai'xian
且末县,qie'mo'xian
青河县,qing'he'xian
若羌县,ruo'qiang'xian
莎车县,sha'che'xian
沙湾县,sha'wan'xian
沙雅县,sha'ya'xian
沙依巴克区,sha'yi'ba'ke'qu
鄯善县,shan'shan'xian
石河子市,shi'he'zi'shi
疏附县,shu'fu'xian
疏勒县,shu'le'xian
水磨沟区,shui'mo'gou'qu
塔城地区,ta'cheng'di'qu
塔城市,ta'cheng'shi
塔什库尔干塔吉克自治县,ta'shi'ku'er'gan'ta'ji'ke'zi'zhi'xian
特克斯县,te'ke'si'xian
天山区,tian'shan'qu
头屯河区,tou'tun'he'qu
吐鲁番地区,tu'lu'fan'di'qu
吐鲁番市,tu'lu'fan'shi
图木舒克市,tu'mu'shu'ke'shi
托克逊县,tuo'ke'xun'xian
托里县,tuo'li'xian
温泉县,wen'quan'xian
温宿县,wen'su'xian
乌尔禾区,wu'er'he'qu
五家渠市,wu'jia'qu'shi
乌鲁木齐县,wu'lu'mu'qi'xian
乌恰县,wu'qia'xian
乌什县,wu'shi'xian
乌苏市,wu'su'shi
县级市,xian'ji'shi
新和县,xin'he'xian
新市区,xin'shi'qu
新源县,xin'yuan'xian
焉耆回族自治县,yan'qi'hui'zu'zi'zhi'xian
叶城县,ye'cheng'xian
伊犁哈萨克自治州,yi'li'ha'sa'ke'zi'zhi'zhou
伊宁市,yi'ning'shi
伊宁县,yi'ning'xian
伊吾县,yi'wu'xian
英吉沙县,ying'ji'sha'xian
尉犁县,yu'li'xian
裕民县,yu'min'xian
于田县,yu'tian'xian
岳普湖县,yue'pu'hu'xian
泽普县,ze'pu'xian
昭苏县,zhao'su'xian
自治区直辖,zi'zhi'qu'zhi'xia
