百分数,bai'fen'shu
百分位数,bai'fen'wei'shu
报告报表,bao'gao'bao'biao
贝塔分布,bei'ta'fen'bu
比较,bi'jiao
比例,bi'li
变量,bian'liang
标准残差,biao'zhun'can'cha
标准差,biao'zhun'cha
标准化,biao'zhun'hua
标准离差,biao'zhun'li'cha
饼图,bing'tu
泊松分布,bo'song'fen'bu
部分析因设计,bu'fen'xi'yin'she'ji
不可加性,bu'ke'jia'xing
不平衡的,bu'ping'heng'de
不齐性,bu'qi'xing
不同的,bu'tong'de
残差,can'cha
参数,can'shu
参数估计,can'shu'gu'ji
差异,cha'yi
常数,chang'shu
成对观测数据,cheng'dui'guan'ce'shu'ju
成对样本,cheng'dui'yang'ben
充分统计量,chong'fen'tong'ji'liang
重复的,chong'fu'de
抽样检验,chou'yang'jian'yan
处理,chu'li
刺激,ci'ji
次级样本,ci'ji'yang'ben
次序统计量,ci'xu'tong'ji'liang
大样本问题,da'yang'ben'wen'ti
带宽,dai'kuan
单侧检验,dan'ce'jian'yan
单独地,dan'du'de
单向方差分析,dan'xiang'fang'cha'fen'xi
单向分类,dan'xiang'fen'lei
单样本,dan'yang'ben
倒数的,dao'shu'de
等含量,deng'han'liang
点估计,dian'gu'ji
迭代,die'dai
定义,ding'yi
独立,du'li
独立性检验,du'li'xing'jian'yan
独立样本,du'li'yang'ben
对立假设,dui'li'jia'she
对数,dui'shu
对数的,dui'shu'de
对照,dui'zhao
多重比较,duo'chong'bi'jiao
多重相关,duo'chong'xiang'guan
多项式,duo'xiang'shi
多项式回归,duo'xiang'shi'hui'gui
多项式曲线,duo'xiang'shi'qu'xian
多响应,duo'xiang'ying
多元分析,duo'yuan'fen'xi
多元共线性,duo'yuan'gong'xian'xing
多元回归方程,duo'yuan'hui'gui'fang'cheng
多元回归分析,duo'yuan'hui'gui'fen'xi
多元相关系数,duo'yuan'xiang'guan'xi'shu
二次的,er'ci'de
二次项,er'ci'xiang
二项分布,er'xiang'fen'bu
二项检验,er'xiang'jian'yan
方差,fang'cha
方差比,fang'cha'bi
方差分量,fang'cha'fen'liang
方差分析,fang'cha'fen'xi
方差来源,fang'cha'lai'yuan
方差齐性,fang'cha'qi'xing
方程,fang'cheng
非参数检验,fei'can'shu'jian'yan
非线性,fei'xian'xing
非线性回归,fei'xian'xing'hui'gui
分布,fen'bu
分类,fen'lei
分量,fen'liang
分析,fen'xi
峰度,feng'du
风险函数,feng'xian'han'shu
符号检验,fu'hao'jian'yan
复合的,fu'he'de
负相关,fu'xiang'guan
复相关系数,fu'xiang'guan'xi'shu
伽玛分布,ga'ma'fen'bu
概括综述,gai'kuo'zong'shu
概率,gai'lv
概率分析,gai'lv'fen'xi
概率密度函数,gai'lv'mi'du'han'shu
概率图,gai'lv'tu
个案,ge'an
个案数,ge'an'shu
共线性,gong'xian'xing
固定变量,gu'ding'bian'liang
固定模型,gu'ding'mo'xing
估计,gu'ji
估计量,gu'ji'liang
估计值,gu'ji'zhi
关系,guan'xi
郭晶晶中秋快乐,guo'jing'jing'zhong'qiu'kuai'le
函数,han'shu
衡量,heng'liang
回归分析,hui'gui'fen'xi
回归系数,hui'gui'xi'shu
回归线,hui'gui'xian
混合模型,hun'he'mo'xing
极差,ji'cha
极大似然估计,ji'da'si'ran'gu'ji
集合,ji'he
几何均值,ji'he'jun'zhi
计算,ji'suan
极值,ji'zhi
加权平均值,jia'quan'ping'jun'zhi
加权权重,jia'quan'quan'zhong
假设,jia'she
假设检验,jia'she'jian'yan
检验,jian'yan
检验法则,jian'yan'fa'ze
检验函数,jian'yan'han'shu
检验判据,jian'yan'pan'ju
检验统计量,jian'yan'tong'ji'liang
交互效应,jiao'hu'xiao'ying
交互作用,jiao'hu'zuo'yong
接受,jie'shou
接受域,jie'shou'yu
截尾均值,jie'wei'jun'zhi
精确值,jing'que'zhi
拒绝,ju'jue
拒绝域,ju'jue'yu
聚类分析,ju'lei'fen'xi
距离,ju'li
矩阵,ju'zhen
绝对值,jue'dui'zhi
均方差,jun'fang'cha
均方和,jun'fang'he
均匀分布,jun'yun'fen'bu
均值,jun'zhi
均值的标准误差,jun'zhi'de'biao'zhun'wu'cha
卡方分布,ka'fang'fen'bu
卡方检验,ka'fang'jian'yan
柯尔莫哥洛夫斯米诺夫检验,ke'er'mo'ge'luo'fu'si'mi'nuo'fu'jian'yan
可加性,ke'jia'xing
可靠性,ke'kao'xing
空间,kong'jian
控制图,kong'zhi'tu
扩展,kuo'zhan
类别,lei'bie
累加分布函数,lei'jia'fen'bu'han'shu
离散变量,li'san'bian'liang
连续变量,lian'xu'bian'liang
列联表,lie'lian'biao
临界点,lin'jie'dian
临界值,lin'jie'zhi
零假设,ling'jia'she
逻辑的,luo'ji'de
蒙特卡罗法,meng'te'ka'luo'fa
密度函数,mi'du'han'shu
描述,miao'shu
默认的,mo'ren'de
模型,mo'xing
拟合,ni'he
拟合线,ni'he'xian
拟合优度检验,ni'he'you'du'jian'yan
拟合值,ni'he'zhi
排序,pai'xu
判别分析,pan'bie'fen'xi
判别函数,pan'bie'han'shu
偏度,pian'du
偏回归系数,pian'hui'gui'xi'shu
偏态分布,pian'tai'fen'bu
偏相关,pian'xiang'guan
偏相关系数,pian'xiang'guan'xi'shu
偏倚,pian'yi
频数,pin'shuo
平方,ping'fang
平方和,ping'fang'he
平衡的,ping'heng'de
平滑,ping'hua
期望,qi'wang
期望值,qi'wang'zhi
齐性,qi'xing
齐性检验,qi'xing'jian'yan
强假设,qiang'jia'she
区间估计,qu'jian'gu'ji
曲线估计,qu'xian'gu'ji
取样,qu'yang
缺失值,que'shi'zhi
容许限,rong'xu'xian
三次的立方的,san'ci'de'li'fang'de
三次项,san'ci'xiang
散点图,san'dian'tu
剩余平方和,sheng'yu'ping'fang'he
时间序列,shi'jian'xu'lie
试验设计,shi'yan'she'ji
寿命,shou'ming
寿命试验,shou'ming'shi'yan
数据,shu'ju
数量的度量的,shu'liang'de'du'liang'de
双侧检验,shuang'ce'jian'yan
水平,shui'ping
四分位数,si'fen'wei'shu
似然比检验,si'ran'bi'jian'yan
似然函数,si'ran'han'shu
算术平均值,suan'shu'ping'jun'zhi
随机变量,sui'ji'bian'liang
随机的,sui'ji'de
随机化,sui'ji'hua
随机取样,sui'ji'qu'yang
随机数,sui'ji'shu
随机数种子,sui'ji'shu'zhong'zi
损失函数,sun'shi'han'shu
特征值,te'zheng'zhi
剔除残差,ti'chu'can'cha
替分布,ti'fen'bu
替检验,ti'jian'yan
调和均值,tiao'he'jun'zhi
条形图,tiao'xing'tu
调整的,tiao'zheng'de
统计量,tong'ji'liang
统计质量控制,tong'ji'zhi'liang'kong'zhi
完全析因设计,wan'quan'xi'yin'she'ji
稳健性,wen'jian'xing
误差,wu'cha
无偏估计,wu'pian'gu'ji
无偏性,wu'pian'xing
系数,xi'shu
析因设计,xi'yin'she'ji
析因试验,xi'yin'shi'yan
线性的,xian'xing'de
线性估计,xian'xing'gu'ji
线性关系,xian'xing'guan'xi
线性回归,xian'xing'hui'gui
线性检验,xian'xing'jian'yan
线性模型,xian'xing'mo'xing
线性项,xian'xing'xiang
显著的有效的,xian'zhu'de'you'xiao'de
显著性,xian'zhu'xing
显著性检验,xian'zhu'xing'jian'yan
显著性水平,xian'zhu'xing'shui'ping
相等,xiang'deng
相关,xiang'guan
相关系数,xiang'guan'xi'shu
相关性,xiang'guan'xing
相关指数,xiang'guan'zhi'shu
向量,xiang'liang
响应,xiang'ying
小珏珏中秋快乐,xiao'jue'jue'zhong'qiu'kuai'le
小葵中秋快乐,xiao'kui'zhong'qiu'kuai'le
小样本问题,xiao'yang'ben'wen'ti
协方差,xie'fang'cha
协方差分析,xie'fang'cha'fen'xi
协方差矩阵,xie'fang'cha'ju'zhen
形曲线,xing'qu'xian
学生化残差,xue'sheng'hua'can'cha
学生化剔除残差,xue'sheng'hua'ti'chu'can'cha
样本,yang'ben
