百货大楼,bai'huo'da'lou
白洋坡,bai'yang'po
白洋坡居委会,bai'yang'po'ju'wei'hui
宝塔岗,bao'ta'gang
步行街,bu'xing'jie
车管所,che'guan'suo
车辆检测中心,che'liang'jian'ce'zhong'xin
陈家溪东,chen'jia'xi'dong
陈家溪西,chen'jia'xi'xi
打鼓台,da'gu'tai
大庸桥,da'yong'qiao
大庸桥公园,da'yong'qiao'gong'yuan
大峪湾,da'yu'wan
电子市场,dian'zi'shi'chang
鼎泰逸景园,ding'tai'yi'jing'yuan
东门桥,dong'men'qiao
洞湾,dong'wan
渡口村,du'kou'cun
敦谊小学,dun'yi'xiao'xue
二人民医院,er'ren'min'yi'yuan
飞机场,fei'ji'chang
凤湾路口,feng'wan'lu'kou
福利厂,fu'li'chang
甘溪桥,gan'xi'qiao
高架桥,gao'jia'qiao
高桥,gao'qiao
高桥驾校,gao'qiao'jia'xiao
亘立商贸大厦,gen'li'shang'mao'da'sha
龚家湾,gong'jia'wan
工业园,gong'ye'yuan
官黎坪中学,guan'li'ping'zhong'xue
官黎坪转盘,guan'li'ping'zhuan'pan
广和超市,guang'he'chao'shi
广茂园,guang'mao'yuan
荷花机场,he'hua'ji'chang
禾家山,he'jia'shan
后溶街,hou'rong'jie
胡家岗,hu'jia'gang
胡家河,hu'jia'he
花园酒店,hua'yuan'jiu'dian
火车北站,huo'che'bei'zhan
火车南站,huo'che'nan'zhan
机场安置小区,ji'chang'an'zhi'xiao'qu
吉大,ji'da
鸡旦口,ji'dan'kou
吉首大学,ji'shou'da'xue
吉首大学张家界学院,ji'shou'da'xue'zhang'jia'jie'xue'yuan
戒毒所,jie'du'suo
锦程驾校,jin'cheng'jia'xiao
金风庵,jin'feng'an
金穗花园,jin'sui'hua'yuan
军分区,jun'fen'qu
老人造板厂,lao'ren'zao'ban'chang
老院子,lao'yuan'zi
澧滨小学,li'bin'xiao'xue
李家岗,li'jia'gang
烈士公园,lie'shi'gong'yuan
龙潭桥,long'tan'qiao
鹭鸶湾大桥,lu'si'wan'da'qiao
鹭鸶湾大桥东,lu'si'wan'da'qiao'dong
罗家岗,luo'jia'gang
罗家咀,luo'jia'ju
罗家院子,luo'jia'yuan'zi
毛家岗岔路口,mao'jia'gang'cha'lu'kou
毛坪,mao'ping
民航大酒店,min'hang'da'jiu'dian
南庄大市场,nan'zhuang'da'shi'chang
彭家巷,peng'jia'xiang
汽车站,qi'che'zhan
且住岗,qie'zhu'gang
区党校,qu'dang'xiao
区检察院,qu'jian'cha'yuan
区建设局,qu'jian'she'ju
区政府,qu'zheng'fu
人民广场,ren'min'guang'chang
人民医院,ren'min'yi'yuan
人民银行,ren'min'yin'hang
人寿保险公司,ren'shou'bao'xian'gong'si
三角坪,san'jiao'ping
沙堤乡,sha'di'xiang
商业大楼,shang'ye'da'lou
时代港湾,shi'dai'gang'wan
时代广场,shi'dai'guang'chang
市公安局,shi'gong'an'ju
市公路局,shi'gong'lu'ju
市工商局,shi'gong'shang'ju
市交警支队,shi'jiao'jing'zhi'dui
市劳保局,shi'lao'bao'ju
市民中,shi'min'zhong
市委二号院,shi'wei'er'hao'yuan
市一中,shi'yi'zhong
市政府,shi'zheng'fu
市政协,shi'zheng'xie
十字街,shi'zi'jie
双岔,shuang'cha
双峡隧道,shuang'xia'sui'dao
水利宾馆,shui'li'bin'guan
四中,si'zhong
塘坊岗,tang'fang'gang
田家峪,tian'jia'yu
田家院子,tian'jia'yuan'zi
天门狐仙,tian'men'hu'xian
天门山索道,tian'men'shan'suo'dao
天门壹号,tian'men'yi'hao
天门中学,tian'men'zhong'xue
土家风情园,tu'jia'feng'qing'yuan
文昌阁,wen'chang'ge
五中,wu'zhong
西溪坪,xi'xi'ping
新木岗,xin'mu'gang
欣业家园,xin'ye'jia'yuan
邢家巷,xing'jia'xiang
邮电公寓,you'dian'gong'yu
邮政大厦,you'zheng'da'sha
鱼田溪,yu'tian'xi
原三零八二厂,yuan'san'ling'ba'er'chang
月亮湾花园,yue'liang'wan'hua'yuan
张家界制药厂,zhang'jia'jie'zhi'yao'chang
樟木岗,zhang'mu'gang
赵家咀,zhao'jia'ju
中心汽车站,zhong'xin'qi'che'zhan
庄家峪,zhuang'jia'yu
紫舞公园,zi'wu'gong'yuan
