哎呀我要飞跃,ai'ya'wo'yao'fei'yue
安得辞浮怨,an'de'ci'fu'yuan
安得南征驰捷报,an'de'nan'zheng'chi'jie'bao
安得倚天抽宝剑,an'de'yi'tian'chou'bao'jian
把酒酹滔滔,ba'jiu'lei'tao'tao
把汝裁为三截,ba'ru'cai'wei'san'jie
百舸争流,bai'ge'zheng'liu
白浪滔天,bai'lang'tao'tian
百年魔怪舞翩跹,bai'nian'mo'guai'wu'pian'xian
百万工农齐踊跃,bai'wan'gong'nong'qi'yong'yue
百万雄师过大江,bai'wan'xiong'shi'guo'da'jiang
白云山头云欲立,bai'yun'shan'tou'yun'yu'li
白云山下呼声急,bai'yun'shan'xia'hu'sheng'ji
斑竹一枝千滴泪,ban'zhu'yi'zhi'qian'di'lei
保安人物一时新,bao'an'ren'wu'yi'shi'xin
报道敌军宵遁,bao'dao'di'jun'xiao'dun
背负青天朝下看,bei'fu'qing'tian'chao'xia'kan
北国风光,bei'guo'feng'guang
北山尽仇怨,bei'shan'jin'chou'yuan
悲叹有余哀,bei'tan'you'yu'ai
奔腾急,ben'teng'ji
壁上红旗飘落照,bi'shang'hong'qi'piao'luo'zhao
遍地英雄下夕烟,bian'di'ying'xiong'xia'xi'yan
便有精生白骨堆,bian'you'jing'sheng'bai'gu'dui
别梦依稀咒逝川,bie'meng'yi'xi'zhou'shi'chuan
鬓雪飞来成废料,bin'xue'fei'lai'cheng'fei'liao
冰山滴,bing'shan'di
不爱红装爱武装,bu'ai'hong'zhuang'ai'wu'zhuang
不到长城非好汉,bu'dao'chang'cheng'fei'hao'han
不管风吹浪打,bu'guan'feng'chui'lang'da
不见前年秋月,bu'jian'qian'nian'qiu'yue
不可沽名学霸王,bu'ke'gu'ming'xue'ba'wang
不是一人能领导,bu'shi'yi'ren'neng'ling'dao
不似春光,bu'si'chun'guang
卜算子咏梅,bu'suan'zi'yong'mei
不须放屁,bu'xu'fang'pi
不要这多雪,bu'yao'zhe'duo'xue
不要这高,bu'yao'zhe'gao
不周山下红旗乱,bu'zhou'shan'xia'hong'qi'luan
采采余孤景,cai'cai'yu'gu'jing
采桑子重阳,cai'sang'zi'chong'yang
才饮长江水,cai'yin'chang'jiang'shui
彩云长在有新天,cai'yun'zhang'zai'you'xin'tian
惨淡看铭旌,can'dan'kan'ming'jing
残阳如血,can'yang'ru'xue
沧海横流,cang'hai'heng'liu
沧海横流安足虑,cang'hai'heng'liu'an'zu'lv
苍山辞祖国,cang'shan'ci'zu'guo
苍山如海,cang'shan'ru'hai
涔泪浸双题,cen'lei'jin'shuang'ti
层冰涨橘汀,ceng'bing'zhang'ju'ting
曾记否,ceng'ji'fou
层林尽染,ceng'lin'jin'ran
长岛人歌动地诗,chang'dao'ren'ge'dong'di'shi
长空雁叫霜晨月,chang'kong'yan'jiao'shuang'chen'yue
怅寥廓,chang'liao'kuo
长夜难明赤县天,chang'ye'nan'ming'chi'xian'tian
长征,chang'zheng
长征不是难堪日,chang'zheng'bu'shi'nan'kan'ri
沉沉一线穿南北,chen'chen'yi'xian'chuan'nan'bei
成吉思汗,cheng'ji'si'han
城隈草萋萋,cheng'wei'cao'qi'qi
赤橙黄绿青蓝紫,chi'cheng'huang'lv'qing'lan'zi
斥宴每闻欺大鸟,chi'yan'mei'wen'qi'da'niao
艟艨巨舰直东指,chong'meng'ju'jian'zhi'dong'zhi
崇明对马衣带水,chong'ming'dui'ma'yi'dai'shui
惆怅中何寄,chou'chang'zhong'he'ji
愁杀芳年友,chou'sha'fang'nian'you
春风杨柳万千条,chun'feng'yang'liu'wan'qian'tiao
春来我不先开口,chun'lai'wo'bu'xian'kai'kou
刺破青天锷未残,ci'po'qing'tian'e'wei'can
此行何去,ci'xing'he'qu
从此天涯孤旅,cong'ci'tian'ya'gu'lv
从来急,cong'lai'ji
从头越,cong'tou'yue
大地微微暖气吹,da'di'wei'wei'nuan'qi'chui
大渡桥横铁索寒,da'du'qiao'heng'tie'suo'han
大河上下,da'he'shang'xia
大雨落幽燕,da'yu'luo'you'yan
待到山花烂漫时,dai'dao'shan'hua'lan'man'shi
弹痕遍地,dan'hen'bian'di
但记得斑斑点点,dan'ji'de'ban'ban'dian'dian
荡涤谁氏子,dang'di'shui'shi'zi
当今世界殊,dang'jin'shi'jie'shu
当年鏖战急,dang'nian'ao'zhan'ji
到处莺歌燕舞,dao'chu'ying'ge'yan'wu
到得洪都又一年,dao'de'hong'du'you'yi'nian
倒海翻江卷巨澜,dao'hai'fan'jiang'juan'ju'lan
盗跖庄蹻流誉后,dao'zhi'zhuang'jiao'liu'yu'hou
到中流击水,dao'zhong'liu'ji'shui
地动三河铁臂摇,di'dong'san'he'tie'bi'yao
敌军围困万千重,di'jun'wei'kun'wan'qian'zhong
底事太难堪,di'shi'tai'nan'kan
弟兄姐妹舞翩跹,di'xiong'jie'mei'wu'pian'xian
地主重重压迫,di'zhu'chong'chong'ya'po
帝子乘风下翠微,di'zi'cheng'feng'xia'cui'wei
颠连直接东溟,dian'lian'zhi'jie'dong'ming
蝶恋花从汀州向长沙,die'lian'hua'cong'ting'zhou'xiang'chang'sha
蝶恋花答李淑一,die'lian'hua'da'li'shu'yi
订了三家条约,ding'le'san'jia'tiao'yue
东方白,dong'fang'bai
东方欲晓,dong'fang'yu'xiao
东海有岛夷,dong'hai'you'dao'yi
东临碣石有遗篇,dong'lin'jie'shi'you'yi'pian
冻死苍蝇未足奇,dong'si'cang'ying'wei'zu'qi
洞庭波涌连天雪,dong'ting'bo'yong'lian'tian'xue
洞庭湘水涨连天,dong'ting'xiang'shui'zhang'lian'tian
东瀛濯剑有书还,dong'ying'zhuo'jian'you'shu'hai
洞中开宴会,dong'zhong'kai'yan'hui
都是人间城郭,dou'shi'ren'jian'cheng'guo
独立寒秋,du'li'han'qiu
读六月三十日人民日报,du'liu'yue'san'shi'ri'ren'min'ri'bao
读陆游咏梅词,du'lu'you'yong'mei'ci
独有英雄驱虎豹,du'you'ying'xiong'qu'hu'bao
独坐池塘如虎踞,du'zuo'chi'tang'ru'hu'ju
对敌慈悲对友刁,dui'di'ci'bei'dui'you'diao
顿失滔滔,dun'shi'tao'tao
多少事,duo'shao'shi
夺席谈经非五鹿,duo'xi'tan'jing'fei'wu'lu
而今迈步从头越,er'jin'mai'bu'cong'tou'yue
而今我谓昆仑,er'jin'wo'wei'kun'lun
二十万军重入赣,er'shi'wan'jun'zhong'ru'gan
翻动扶摇羊角,fan'dong'fu'yao'yang'jiao
反其意而用之,fan'qi'yi'er'yong'zhi
放歌倚列嶂,fang'ge'yi'lie'zhang
方期沆瀁游,fang'qi'hang'yang'you
方显出英雄本色,fang'xian'chu'ying'xiong'ben'se
飞飙拂灵帐,fei'biao'fu'ling'zhang
飞将军自重霄入,fei'jiang'jun'zi'zhong'xiao'ru
飞鸣镝,fei'ming'di
飞起玉龙三百万,fei'qi'yu'long'san'bai'wan
飞雪迎春到,fei'xue'ying'chun'dao
分湖便是子陵滩,fen'hu'bian'shi'zi'ling'tan
分田分地真忙,fen'tian'fen'di'zhen'mang
粪土当年万户侯,fen'tu'dang'nian'wan'hu'hou
分外妖娆,fen'wai'yao'rao
风华正茂书生意气,feng'hua'zheng'mao'shu'sheng'yi'qi
风景这边独好,feng'jing'zhe'bian'du'hao
风卷红旗过大关,feng'juan'hong'qi'guo'da'guan
风雷动,feng'lei'dong
风樯动,feng'qiang'dong
风物长宜放眼量,feng'wu'chang'yi'fang'yan'liang
风雨送春归,feng'yu'song'chun'gui
风云突变,feng'yun'tu'bian
风展红旗如画,feng'zhan'hong'qi'ru'hua
芙蓉国里尽朝晖,fu'rong'guo'li'jin'zhao'hui
浮想联翩,fu'xiang'lian'pian
改西乡隆盛诗赠父亲,gai'xi'xiang'long'sheng'shi'zeng'fu'qin
肝胆宁忘一寸丹,gan'dan'ning'wang'yi'cun'dan
赣江风雪迷漫处,gan'jiang'feng'xue'mi'man'chu
敢教日月换新天,gan'jiao'ri'yue'huan'xin'tian
感事呈毛主席一首,gan'shi'cheng'mao'zhu'xi'yi'shou
赣水苍茫闽山碧,gan'shui'cang'mang'min'shan'bi
赣水那边红一角,gan'shui'na'bian'hong'yi'jiao
感物念所欢,gan'wu'nian'suo'huan
高路入云端,gao'lu'ru'yun'duan
高天滚滚寒流急,gao'tian'gun'gun'han'liu'ji
高峡出平湖,gao'xia'chu'ping'hu
歌声唱彻月儿圆,ge'sheng'chang'che'yue'er'yuan
歌未竟,ge'wei'jing
更陈王奋起挥黄钺,geng'chen'wang'fen'qi'hui'huang'yue
更加郁郁葱葱,geng'jia'yu'yu'cong'cong
更加众志成城,geng'jia'zhong'zhi'cheng'cheng
更立西江石壁,geng'li'xi'jiang'shi'bi
更那堪凄然相向,geng'na'kan'qi'ran'xiang'xiang
更无豪杰怕熊罴,geng'wu'hao'jie'pa'xiong'pi
更喜岷山千里雪,geng'xi'min'shan'qian'li'xue
更有潺潺流水,geng'you'chan'chan'liu'shui
更著风和雨,geng'zhu'feng'he'yu
共泛朱张渡,gong'fan'zhu'zhang'du
故园三十二年前,gu'yuan'san'shi'er'nian'qian
管却自家身与心,guan'que'zi'jia'shen'yu'xin
关山蹇骥足,guan'shan'jian'ji'zu
关山阵阵苍,guan'shan'zhen'zhen'cang
观鱼胜过富春江,guan'yu'sheng'guo'fu'chun'jiang
广昌路上,guang'chang'lu'shang
光阴迫,guang'yin'po
归国谣,gui'guo'yao
归化,gui'hua
龟蛇静,gui'she'jing
龟蛇锁大江,gui'she'suo'da'jiang
国际悲歌歌一曲,guo'ji'bei'ge'ge'yi'qu
过几千寒热,guo'ji'qian'han're
过了黄洋界,guo'le'huang'yang'jie
郭沫若原诗,guo'mo'ruo'yuan'shi
过眼滔滔云共雾,guo'yan'tao'tao'yun'gong'wu
国有疑难可问谁,guo'you'yi'nan'ke'wen'shui
孩儿立志出乡关,hai'er'li'zhi'chu'xiang'guan
还看今朝,hai'kan'jin'zhao
还有吃的,hai'you'chi'de
汗漫东皋上,han'man'dong'gao'shang
和郭沫若同志,he'guo'mo'ruo'tong'zhi
和柳亚子先生,he'liu'ya'zi'xian'sheng
何时缚住苍龙,he'shi'fu'zhu'cang'long
赫曦联韵在,he'xi'lian'yun'zai
贺新郎,he'xin'lang
贺新郎读史,he'xin'lang'du'shi
何以报仇,he'yi'bao'chou
和云翥,he'yun'zhu
黑手高悬霸主鞭,hei'shou'gao'xuan'ba'zhu'bian
横空出世,heng'kong'chu'shi
横扫千军如卷席,heng'sao'qian'jun'ru'juan'xi
衡阳雁声彻,heng'yang'yan'sheng'che
红军不怕远征难,hong'jun'bu'pa'yuan'zheng'nan
红军队里每相违,hong'jun'dui'li'mei'xiang'wei
