棒棒,bang'bang
别孵,bie'fu
不晓哩,bu'xiao'li
不粘,bu'zhan
不占气,bu'zhan'qi
草鸡,cao'ji
柴胡,chai'hu
昌果,chang'guo
吵包子,chao'bao'zi
吃嘛糊,chi'ma'hu
闯虫,chuang'chong
大佰,da'bai
大大,da'da
当家里,dang'jia'li
得劲儿,de'jin'er
肚鼻脐,du'bi'qi
发废,fa'fei
嘎咕,ga'gu
噶古,ga'gu
干月,gan'yue
咯唠,ge'lao
各腻,ge'ni
胳肘窝,ge'zhou'wo
股得下,gu'dei'xia
黑家,hei'jia
黑介,hei'jie
哄哩,hong'li
后昂,hou'ang
几个儿,ji'ge'er
几年,ji'nian
结记,jie'ji
妗子,jin'zi
磕忒盖尔,ke'tei'gai'er
口不里,kou'bu'li
老鸹,lao'gua
茅子,mao'zi
明个儿,ming'ge'er
脑袋瓜顶儿,nao'dai'gua'ding'er
能带,neng'dai
腻歪,ni'wai
年生个儿,nian'sheng'ge'er
谝示,pian'shi
前晌,qian'shang
晌乎,shang'hu
婶儿,shen'er
使蹿了,shi'cuan'le
使里慌,shi'li'huang
数划,shu'hua
速珠儿,su'zhu'er
挑蛋,tiao'dan
透兰,tou'lan
偎蹭,wei'ceng
吸溜,xi'liu
蝎虎路子,xie'hu'lu'zi
夜个儿,ye'ge'er
也拉盖尔,ye'la'gai'er
油龙,you'long
早身起来,zao'shen'qi'lai
自挠,zi'nao
子一鸟,zi'yi'niao
子一鸟牛,zi'yi'niao'niu
揍饭,zou'fan
揍嘛起兰,zou'ma'qi'lan
