白石一社,bai'shi'yi'she
碑天丫口,bei'tian'ya'kou
北闸镇,bei'zha'zhen
布嘎乡客运站,bu'ga'xiang'ke'yun'zhan
布嘎乡政府,bu'ga'xiang'zheng'fu
步行街口,bu'xing'jie'kou
残疾人学校,can'ji'ren'xue'xiao
陈家海子,chen'jia'hai'zi
陈家院子,chen'jia'yuan'zi
崔家营,cui'jia'ying
大龙洞,da'long'dong
大桥村二社,da'qiao'cun'er'she
大桥村十四社,da'qiao'cun'shi'si'she
大桥村小学,da'qiao'cun'xiao'xue
大桥村一社,da'qiao'cun'yi'she
大石桥,da'shi'qiao
大水塘,da'shui'tang
大水塘交警中队,da'shui'tang'jiao'jing'zhong'dui
大竹村,da'zhu'cun
邓子寨叉路口,deng'zi'zhai'cha'lu'kou
第二人民医院,di'er'ren'min'yi'yuan
电厂,dian'chang
滇东北大市场,dian'dong'bei'da'shi'chang
滇东北机动车商贸城,dian'dong'bei'ji'dong'che'shang'mao'cheng
电力公司,dian'li'gong'si
电力小区,dian'li'xiao'qu
电影院,dian'ying'yuan
豆腐沟,dou'fu'gou
二十八社,er'shi'ba'she
二十六社,er'shi'liu'she
二十七社,er'shi'qi'she
凤凰村,feng'huang'cun
凤凰街道办事处,feng'huang'jie'dao'ban'shi'chu
凤凰桥,feng'huang'qiao
凤凰山烈士陵园,feng'huang'shan'lie'shi'ling'yuan
凤苏公路,feng'su'gong'lu
枫园,feng'yuan
红钢管,hong'gang'guan
花鹿坪,hua'lu'ping
花鹿坪小学,hua'lu'ping'xiao'xue
花鸟市场,hua'niao'shi'chang
华曦生态农庄,hua'xi'sheng'tai'nong'zhuang
荒冲路口,huang'chong'lu'kou
火车站,huo'che'zhan
机场,ji'chang
机场家属区,ji'chang'jia'shu'qu
机动车商贸城,ji'dong'che'shang'mao'cheng
技术监督局,ji'shu'jian'du'ju
金象生态园,jin'xiang'sheng'tai'yuan
锦绣康城,jin'xiu'kang'cheng
箐门叉路口,jing'men'cha'lu'kou
九龙村路口,jiu'long'cun'lu'kou
旧圃东路口,jiu'pu'dong'lu'kou
旧圃西路口,jiu'pu'xi'lu'kou
乐居村公所,le'ju'cun'gong'suo
乐居法院,le'ju'fa'yuan
乐居小学,le'ju'xiao'xue
乐居一中,le'ju'yi'zhong
雷祖庙,lei'zu'miao
龙家祠堂,long'jia'ci'tang
龙山寨,long'shan'zhai
卢家祠堂路口,lu'jia'ci'tang'lu'kou
马龙村十二社,ma'long'cun'shi'er'she
马龙村十五社,ma'long'cun'shi'wu'she
马龙小学,ma'long'xiao'xue
蒙泉大道路口,meng'quan'da'dao'lu'kou
蒙泉烟叶站,meng'quan'yan'ye'zhan
面粉厂,mian'fen'chang
民欣花园,min'xin'hua'yuan
民族中学,min'zu'zhong'xue
牛角湾,niu'jiao'wan
农机公司招待所,nong'ji'gong'si'zhao'dai'suo
农资公司,nong'zi'gong'si
苹果园,ping'guo'yuan
葡萄井酒厂,pu'tao'jing'jiu'chang
汽车客运站,qi'che'ke'yun'zhan
祺祥驾校,qi'xiang'jia'xiao
卡子,qia'zi
乔家屋基,qiao'jia'wu'ji
侨通公司,qiao'tong'gong'si
清官亭,qing'guan'ting
区建设局,qu'jian'she'ju
区农机公司,qu'nong'ji'gong'si
区三中北校区,qu'san'zhong'bei'xiao'qu
洒渔街,sa'yu'jie
三角地,san'jiao'di
三角花园,san'jiao'hua'yuan
三孔桥,san'kong'qiao
三丫口,san'ya'kou
沙坝村公所,sha'ba'cun'gong'suo
沙坝村路口,sha'ba'cun'lu'kou
沙坝十社,sha'ba'shi'she
沙渔大桥,sha'yu'da'qiao
陕西村,shan'xi'cun
盛华食品厂,sheng'hua'shi'pin'chang
市第二人民医院,shi'di'er'ren'min'yi'yuan
市第一人民医院,shi'di'yi'ren'min'yi'yuan
市第一人民医院后门,shi'di'yi'ren'min'yi'yuan'hou'men
市国税局,shi'guo'shui'ju
市经贸委,shi'jing'mao'wei
食品一厂,shi'pin'yi'chang
市委会,shi'wei'hui
市一中,shi'yi'zhong
市运输公司,shi'yun'shu'gong'si
石渣河,shi'zha'he
