爱屋及乌,ai'wu'ji'wu
杯弓蛇影,bei'gong'she'ying
出生牛犊,chu'sheng'niu'du
打草惊蛇,da'cao'jing'she
胆小如鼠,dan'xiao'ru'shu
对牛弹琴,dui'niu'tan'qin
狗急跳墙,gou'ji'tiao'qiang
狗尾续貂,gou'wei'xu'diao
管中窥豹,guan'zhong'kui'bao
鹤立鸡群,he'li'ji'qun
虎背熊腰,hu'bei'xiong'yao
虎虎生威,hu'hu'sheng'wei
狐假虎威,hu'jia'hu'wei
画蛇添足,hua'she'tian'zu
鸡飞蛋打,ji'fei'dan'da
鸡犬不宁,ji'quan'bu'ning
惊弓之鸟,jing'gong'zhi'niao
九牛一毛,jiu'niu'yi'mao
龙马精神,long'ma'jing'shen
龙争虎斗,long'zheng'hu'dou
马到成功,ma'dao'cheng'gong
门口罗雀,men'kou'luo'que
鸟语花香,niao'yu'hua'xiang
杀鸡儆猴,sha'ji'jing'hou
声名狼籍,sheng'ming'lang'ji
鼠目寸光,shu'mu'cun'guang
顺手牵羊,shun'shou'qian'yang
谈虎色变,tan'hu'se'bian
螳臂当车,tang'bi'dang'che
投鼠忌器,tou'shu'ji'qi
兔死狐悲,tu'si'hu'bei
望女成凤,wang'nv'cheng'feng
亡羊补牢,wang'yang'bu'lao
望子成龙,wang'zi'cheng'long
雄狮猛虎,xiong'shi'meng'hu
鸦雀无声,ya'que'wu'sheng
叶公好龙,ye'gong'hao'long
一箭双雕,yi'jian'shuang'diao
莺歌燕舞,ying'ge'yan'wu
与虎谋皮,yu'hu'mou'pi
鱼龙混杂,yu'long'hun'za
鱼目混珠,yu'mu'hun'zhu
指鹿为马,zhi'lu'wei'ma
蛛丝马迹,zhu'si'ma'ji
