阿魏,a'wei
矮地茶,ai'di'cha
嗳腐,ai'fu
艾附暖宫丸,ai'fu'nuan'gong'wan
艾蒿,ai'hao
艾片,ai'pian
艾叶,ai'ye
艾叶油,ai'ye'you
安宫牛黄丸,an'gong'niu'huang'wan
暗经,an'jing
安神,an'shen
安胎,an'tai
安息香,an'xi'xiang
桉油,an'you
奥尕,ao'ga
巴豆,ba'dou
巴豆霜,ba'dou'shuang
拔都化腐生肌药,ba'du'hua'fu'sheng'ji'yao
八法,ba'fa
八纲,ba'gang
八纲辨证,ba'gang'bian'zheng
巴戟肉,ba'ji'rou
巴戟天,ba'ji'tian
八角,ba'jiao
八角枫,ba'jiao'feng
八角茴香,ba'jiao'hui'xiang
八角茴香油,ba'jiao'hui'xiang'you
八角莲,ba'jiao'lian
八厘麻,ba'li'ma
八月札,ba'yue'zha
八珍汤,ba'zhen'tang
八正散,ba'zheng'san
白贝齿,bai'bei'chi
白背叶,bai'bei'ye
白扁豆,bai'bian'dou
白病,bai'bing
白驳风病,bai'bo'feng'bing
百部,bai'bu
白参,bai'can
百草霜,bai'cao'shuang
白丑,bai'chou
白豆蔻,bai'dou'kou
败毒散,bai'du'san
白矾,bai'fan
白茯苓,bai'fu'ling
白附片,bai'fu'pian
白附子,bai'fu'zi
白果,bai'guo
白果仁,bai'guo'ren
百合,bai'he
百合病,bai'he'bing
白河车,bai'he'che
百合固金汤,bai'he'gu'jin'tang
白喉,bai'hou
白虎加仓术汤,bai'hu'jia'cang'zhu'tang
白虎加桂枝汤,bai'hu'jia'gui'zhi'tang
白虎加人参汤,bai'hu'jia'ren'shen'tang
白胡椒,bai'hu'jiao
白虎汤,bai'hu'tang
白花蛇,bai'hua'she
白花蛇舌草,bai'hua'she'she'cao
白芨,bai'ji
白及,bai'ji
白蒺藜,bai'ji'li
白茄根,bai'jia'gen
白降,bai'jiang
白僵蚕,bai'jiang'can
败酱草,bai'jiang'cao
白降丹,bai'jiang'dan
白胶木,bai'jiao'mu
白胶香,bai'jiao'xiang
百节,bai'jie
白芥子,bai'jie'zi
白睛,bai'jing
白睛青蓝病,bai'jing'qing'lan'bing
白睛溢血病,bai'jing'yi'xue'bing
白菊花,bai'ju'hua
白蔻,bai'kou
白蔻仁,bai'kou'ren
白雷丸,bai'lei'wan
百里霜,bai'li'shuang
白蔹,bai'lian
百两金,bai'liang'jin
白马骨,bai'ma'gu
白茅根,bai'mao'gen
白茅花,bai'mao'hua
白蜜,bai'mi
白膜侵睛病,bai'mo'qin'jing'bing
白木耳,bai'mu'er
白平子,bai'ping'zi
白前,bai'qian
白求,bai'qiu
白屈菜,bai'qu'cai
百日咳,bai'ri'ke
百蕊草,bai'rui'cao
白涩病,bai'se'bing
白商陆,bai'shang'lu
白芍,bai'shao
白石英,bai'shi'ying
白首乌,bai'shou'wu
白苏,bai'su
白苔,bai'tai
白通汤,bai'tong'tang
白头翁,bai'tou'weng
白头翁加甘草阿胶汤,bai'tou'weng'jia'gan'cao'e'jiao'tang
白头翁汤,bai'tou'weng'tang
白头须,bai'tou'xu
白秃疮病,bai'tu'chuang'bing
白兔根,bai'tu'gen
白土苓,bai'tu'ling
白薇,bai'wei
白微,bai'wei
白鲜皮,bai'xian'pi
百芯草,bai'xin'cao
败血冲心证,bai'xue'chong'xin'zheng
败血入胞证,bai'xue'ru'bao'zheng
百药煎,bai'yao'jian
白药子,bai'yao'zi
白英,bai'ying
白云花根,bai'yun'hua'gen
白芷,bai'zhi
白术,bai'zhu
柏子仁,bai'zi'ren
柏子养心丸,bai'zi'yang'xin'wan
半边莲,ban'bian'lian
半边旗,ban'bian'qi
半表半里,ban'biao'ban'li
半枫荷,ban'feng'he
瘢痕,ban'hen
板蓝根,ban'lan'gen
板兰根,ban'lan'gen
板栗壳,ban'li'ke
斑蝥,ban'mao
斑蟊,ban'mao
半天雷,ban'tian'lei
半夏,ban'xia
半夏白术天麻汤,ban'xia'bai'zhu'tian'ma'tang
半夏厚朴汤,ban'xia'hou'po'tang
半夏曲,ban'xia'qu
半夏泻心汤,ban'xia'xie'xin'tang
斑蛰,ban'zhe
斑疹,ban'zhen
半枝莲,ban'zhi'lian
蚌花,bang'hua
暴病,bao'bing
保产无忧散,bao'chan'wu'you'san
暴喘病,bao'chuan'bing
暴风客热病,bao'feng'ke're'bing
胞宫,bao'gong
胞宫寒凝证,bao'gong'han'ning'zheng
胞宫虚寒证,bao'gong'xu'han'zheng
豹骨,bao'gu
保和丸,bao'he'wan
胞睑外翻病,bao'jian'wai'fan'bing
暴厥,bao'jue
薄厥病,bao'jue'bing
包块型,bao'kuai'xing
暴聋,bao'long
暴聋病,bao'long'bing
胞轮振跳病,bao'lun'zhen'tiao'bing
暴马子,bao'ma'zi
暴盲,bao'mang
暴盲病,bao'mang'bing
胞门,bao'men
暴仆,bao'pu
暴热,bao're
胞肉粘轮病,bao'rou'zhan'lun'bing
胞生痰核病,bao'sheng'tan'he'bing
暴受惊恐证,bao'shou'jing'kong'zheng
薄苔,bao'tai
暴吐病,bao'tu'bing
暴脱,bao'tuo
暴泻,bao'xie
暴泻病,bao'xie'bing
胞虚如球病,bao'xu'ru'qiu'bing
胞衣,bao'yi
胞衣不下,bao'yi'bu'xia
胞衣不下病,bao'yi'bu'xia'bing
暴瘖,bao'yin
保阴煎,bao'yin'jian
保元汤,bao'yuan'tang
胞脏,bao'zang
胞肿如桃病,bao'zhong'ru'tao'bing
暴注,bao'zhu
胞阻,bao'zu
北柴胡,bei'chai'hu
贝齿,bei'chi
北豆根,bei'dou'gen
贝母,bei'mu
贝母瓜蒌散,bei'mu'gua'lou'san
贝母花,bei'mu'hua
背强,bei'qiang
北沙参,bei'sha'shen
北玄参,bei'xuan'shen
北野菊,bei'ye'ju
贝子,bei'zi
本草品汇精要,ben'cao'pin'hui'jing'yao
奔豚,ben'tun
奔豚气,ben'tun'qi
崩漏病,beng'lou'bing
荜茇,bi'ba
荜拔,bi'ba
闭病,bi'bing
痹病,bi'bing
荜澄茄,bi'cheng'jia
鼻疔病,bi'ding'bing
鼻疳病,bi'gan'bing
鼻槁病,bi'gao'bing
鼻鼾,bi'han
壁虎,bi'hu
闭经病,bi'jing'bing
鼻梁内陷血脉损伤证,bi'liang'nei'xian'xue'mai'sun'shang'zheng
蓖麻油,bi'ma'you
蓖麻子,bi'ma'zi
避年,bi'nian
鼻衄,bi'nv
鼻衄病,bi'nv'bing
荸荠,bi'qi
痹气郁结证,bi'qi'yu'jie'zheng
鼻鼽病,bi'qiu'bing
鼻塞病,bi'sai'bing
鼻煽,bi'shan
鼻伤衄血证,bi'shang'nv'xue'zheng
鼻损伤病,bi'sun'shang'bing
鼻为肺窍,bi'wei'fei'qiao
鼻息肉病,bi'xi'rou'bing
萆薢,bi'xie
萆薢分清饮,bi'xie'fen'qing'yin
碧玉散,bi'yu'san
鼻渊,bi'yuan
鼻渊病,bi'yuan'bing
闭证,bi'zheng
痹证,bi'zheng
鼻窒病,bi'zhi'bing
鼻赘型,bi'zhui'xing
便闭,bian'bi
辨病,bian'bing
扁豆,bian'dou
扁豆花,bian'dou'hua
扁瘊病,bian'hou'bing
扁蕾,bian'lei
便秘,bian'mi
砭石,bian'shi
便血,bian'xie
便血病,bian'xie'bing
萹蓄,bian'xu
扁蓄,bian'xu
辩证,bian'zheng
变证,bian'zheng
辩证施治,bian'zheng'shi'zhi
表寒,biao'han
表寒里热,biao'han'li're
表寒里热证,biao'han'li're'zheng
表寒里饮证,biao'han'li'yin'zheng
表里,biao'li
表里俱寒,biao'li'ju'han
表里俱热,biao'li'ju're
表里同病,biao'li'tong'bing
表气不固,biao'qi'bu'gu
表热,biao're
表热兼里寒下迫大肠证,biao're'jian'li'han'xia'po'da'chang'zheng
表热里寒,biao're'li'han
表实,biao'shi
表实里虚,biao'shi'li'xu
表邪,biao'xie
表虚,biao'xu
表虚里实,biao'xu'li'shi
表证,biao'zheng
鳖甲,bie'jia
鳖甲煎丸,bie'jia'jian'wan
并病,bing'bing
病差水停腰下证,bing'cha'shui'ting'yao'xia'zheng
禀赋不足证,bing'fu'bu'zu'zheng
病后虚嬴气逆证,bing'hou'xu'ying'qi'ni'zheng
病后余热未尽劳复证,bing'hou'yu're'wei'jin'lao'fu'zheng
病机,bing'ji
病机十九条,bing'ji'shi'jiu'tiao
槟榔,bing'lang
冰凉花,bing'liang'hua
病脉,bing'mai
冰片,bing'pian
病邪,bing'xie
并月,bing'yue
驳骨丹,bo'gu'dan
薄荷,bo'he
薄荷脑,bo'he'nao
薄荷油,bo'he'you
卜芥,bo'jie
布袋丸,bu'dai'wan
补法,bu'fa
补肺,bu'fei
补肺阿胶汤,bu'fei'e'jiao'tang
补骨脂,bu'gu'zhi
不寐,bu'mei
不寐病,bu'mei'bing
补气,bu'qi
补肾,bu'shen
补泻兼施,bu'xie'jian'shi
补心,bu'xin
补血,bu'xue
补阳,bu'yang
