阿拔斯一世,a'ba'si'yi'shi
阿般提,a'ban'ti
阿倍仲麻吕,a'bei'zhong'ma'lv
阿方索三世,a'fang'suo'san'shi
阿方索十三世,a'fang'suo'shi'san'shi
阿丰索,a'feng'suo
阿芙乐尔号巡洋舰,a'fu'le'er'hao'xun'yang'jian
阿哥尼斯特运动,a'ge'ni'si'te'yun'dong
阿根廷独立运动,a'gen'ting'du'li'yun'dong
阿卡德,a'ka'de
阿克拉加斯,a'ke'la'jia'si
阿奎那,a'kui'na
阿拉伯帝国,a'la'bo'di'guo
阿拉伯人,a'la'bo'ren
阿拉伯文化,a'la'bo'wen'hua
阿拉木图宣言,a'la'mu'tu'xuan'yan
阿蒙神庙,a'meng'shen'miao
阿姆斯特丹港,a'mu'si'te'dan'gang
阿湿波,a'shi'bo
阿维农之囚,a'wei'nong'zhi'qiu
阿维森纳,a'wei'sen'na
阿雅克修城,a'ya'ke'xiu'cheng
阿亚库巧战役,a'ya'ku'qiao'zhan'yi
阿育王,a'yu'wang
艾伯特,ai'bo'te
爱迪生,ai'di'sheng
爱尔福特纲领,ai'er'fu'te'gang'ling
爱尔兰独立运动,ai'er'lan'du'li'yun'dong
爱尔兰共和国,ai'er'lan'gong'he'guo
爱尔兰南部,ai'er'lan'nan'bu
爱格伯特,ai'ge'bo'te
埃赫那吞,ai'he'na'tun
埃及女王,ai'ji'nv'wang
埃及王国,ai'ji'wang'guo
埃及文明,ai'ji'wen'ming
爱姆斯急电,ai'mu'si'ji'dian
埃帕米农达,ai'pa'mi'nong'da
爱琴海地区,ai'qin'hai'di'qu
爱琴文化,ai'qin'wen'hua
爱琴文明,ai'qin'wen'ming
爱森那赫派,ai'sen'na'he'pai
爱因斯坦,ai'yin'si'tan
矮子丕平,ai'zi'pi'ping
安东尼,an'dong'ni
安立甘,an'li'gan
安纳托利亚,an'na'tuo'li'ya
安政条约,an'zheng'tiao'yue
盎格鲁,ang'ge'lu
盎格鲁人,ang'ge'lu'ren
昂山,ang'shan
澳大利亚联邦,ao'da'li'ya'lian'bang
奥得尼斯河线,ao'de'ni'si'he'xian
奥登巴恩维尔特,ao'deng'ba'en'wei'er'te
奥古斯都,ao'gu'si'du
奥列格,ao'lie'ge
奥林匹克运动会,ao'lin'pi'ke'yun'dong'hui
奥斯曼帝国,ao'si'man'di'guo
奥斯曼人,ao'si'man'ren
奥斯曼土耳其人,ao'si'man'tu'er'qi'ren
奥维瑞许,ao'wei'rui'xu
奥匈帝国,ao'xiong'di'guo
巴贝夫,ba'bei'fu
巴比伦之囚,ba'bi'lun'zhi'qiu
巴布教徒起义,ba'bu'jiao'tu'qi'yi
巴达维亚城,ba'da'wei'ya'cheng
巴多利决议,ba'duo'li'jue'yi
巴伐利亚苏维埃共和国,ba'fa'li'ya'su'wei'ai'gong'he'guo
巴高达运动,ba'gao'da'yun'dong
巴基斯坦穆斯林联盟,ba'ji'si'tan'mu'si'lin'lian'meng
巴枯宁,ba'ku'ning
巴黎公社,ba'li'gong'she
巴黎和会,ba'li'he'hui
巴黎军官学校,ba'li'jun'guan'xue'xiao
巴黎六月起义,ba'li'liu'yue'qi'yi
巴黎条约,ba'li'tiao'yue
巴拿马丑闻,ba'na'ma'chou'wen
