陈光辉,chen'guang'hui
陈伦山,chen'lun'shan
陈善珍,chen'shan'zhen
范友林,fan'you'lin
古明洪,gu'ming'hong
何国兵,he'guo'bing
胡友谊,hu'you'yi
黄道国,huang'dao'guo
黄宗林,huang'zong'lin
江成波,jiang'cheng'bo
蒋承谷,jiang'cheng'gu
景建周,jing'jian'zhou
阚吉林,kan'ji'lin
李小军,li'xiao'jun
李应国,li'ying'guo
刘正权,liu'zheng'quan
吕建国,lv'jian'guo
秦少波,qin'shao'bo
冉启智,ran'qi'zhi
施玉普,shi'yu'pu
谭会山,tan'hui'shan
唐旭东,tang'xu'dong
滕远东,teng'yuan'dong
王成元,wang'cheng'yuan
汪天举,wang'tian'ju
王晓娥,wang'xiao'e
汪玉平,wang'yu'ping
徐伟,xu'wei
袁开勇,yuan'kai'yong
张芬,zhang'fen
赵华,zhao'hua
周建英,zhou'jian'ying
