八字翼墙,ba'zi'yi'qiang
拌和站,ban'he'zhan
拌和物,ban'huo'wu
半占塘,ban'zhan'tang
薄壁筒桩,bao'bi'tong'zhuang
保护层,bao'hu'ceng
被交道路,bei'jiao'dao'lu
贝克曼梁,bei'ke'man'liang
背墙,bei'qiang
便道,bian'dao
标高,biao'gao
标准差,biao'zhun'cha
采石场,cai'shi'chang
掺灰,chan'hui
超灌,chao'guan
超限车辆,chao'xian'che'liang
超限检测,chao'xian'jian'ce
沉淀厚度,chen'dian'hou'du
沉降,chen'jiang
沉降缝,chen'jiang'feng
承台,cheng'tai
承载力,cheng'zai'li
搭板,da'ban
搭接,da'jie
大应变,da'ying'bian
怠工,dai'gong
带肋钢筋,dai'lei'gang'jin
挡土墙,dang'tu'qiang
宕渣,dang'zha
导管,dao'guan
倒虹吸,dao'hong'xi
底基层,di'ji'ceng
地基承载力,di'ji'cheng'zai'li
垫顶,dian'ding
跌水,die'shui
洞口铺砌,dong'kou'pu'qi
陡坡,dou'po
墩台,dun'tai
峨山公路管理段,e'shan'gong'lu'guan'li'duan
反压护道,fan'ya'hu'dao
防撞护栏,fang'zhuang'hu'lan
分部工程,fen'bu'gong'cheng
封挡,feng'dang
封端,feng'duan
蜂窝麻面,feng'wo'ma'mian
腹板,fu'ban
辅助车道,fu'zhu'che'dao
盖板涵,gai'ban'han
改渠,gai'qu
干接缝,gan'jie'feng
钢绞线,gang'jiao'xian
钢筋笼,gang'jin'long
钢筋砼,gang'jin'tong
高差,gao'cha
高液限,gao'ye'xian
高驻办,gao'zhu'ban
公路局,gong'lu'ju
箍筋,gu'jin
固体体积率,gu'ti'ti'ji'lv
挂角塘,gua'jiao'tang
管基,guan'ji
灌砂法,guan'sha'fa
灌注,guan'zhu
管座,guan'zuo
光圆钢筋,guang'yuan'gang'jin
涵洞,han'dong
涵管,han'guan
含水量,han'shui'liang
横断面图,heng'duan'mian'tu
横系梁,heng'xi'liang
护坡,hu'po
护坡道,hu'po'dao
护筒,hu'tong
环刀,huan'dao
换填,huan'tian
回弹,hui'tan
回弹仪,hui'tan'yi
回填,hui'tian
几何参数,ji'he'can'shu
基坑,ji'keng
基坑土方,ji'keng'tu'fang
急流槽,ji'liu'cao
急弯,ji'wan
架立筋,jia'li'jin
检孔,jian'kong
监理,jian'li
监理工程师,jian'li'gong'cheng'shi
江川公路管理段,jiang'chuan'gong'lu'guan'li'duan
浆砌片石,jiang'qi'pian'shi
绞缝,jiao'feng
脚架,jiao'jia
交通厅,jiao'tong'ting
交通执法四化管理,jiao'tong'zhi'fa'si'hua'guan'li
浇筑,jiao'zhu
截水沟,jie'shui'gou
警示,jing'shi
静载,jing'zai
勘探,kan'tan
抗压强度,kang'ya'qiang'du
孔道压浆,kong'dao'ya'jiang
孔径,kong'jing
空心板,kong'xin'ban
昆明公路管理总段,kun'ming'gong'lu'guan'li'zong'duan
肋式,lei'shi
棱镜头,leng'jing'tou
冷弯,leng'wan
梁板,liang'ban
龙门吊,long'men'diao
漏浆,lou'jiang
路床,lu'chuang
路基临界高度,lu'ji'lin'jie'gao'du
路基路面,lu'ji'lu'mian
路基土石方,lu'ji'tu'shi'fang
路肩,lu'jian
路堑,lu'qian
路缘石,lu'yuan'shi
路政大队,lu'zheng'da'dui
路政支队,lu'zheng'zhi'dui
螺旋筋,luo'xuan'jin
盲沟,mang'gou
锚固钢筋,mao'gu'gang'jin
锚具,mao'ju
抹面,mo'mian
模板,mu'ban
泥灰结碎石,ni'hui'jie'sui'shi
泥浆比重,ni'jiang'bi'zhong
泥浆池,ni'jiang'chi
配合比,pei'he'bi
片石砼,pian'shi'tong
平曲线,ping'qu'xian
坡度,po'du
铺砌,pu'qi
弃土,qi'tu
砌筑,qi'zhu
签认,qian'ren
墙身,qiang'shen
桥面连续,qiao'mian'lian'xu
桥面铺装,qiao'mian'pu'zhuang
清表,qing'biao
清孔,qing'kong
青石栏杆,qing'shi'lan'gan
清淤,qing'yu
取土,qu'tu
全站仪,quan'zhan'yi
砂浆,sha'jiang
砂浆勾缝,sha'jiang'gou'feng
砂砾,sha'li
设计交底,she'ji'jiao'di
施工图,shi'gong'tu
试件,shi'jian
湿接缝,shi'jie'feng
水泥土,shui'ni'tu
水稳,shui'wen
水稳层,shui'wen'ceng
水准仪,shui'zhun'yi
送检,song'jian
松铺,song'pu
松铺厚度,song'pu'hou'du
塑限路槽,su'xian'lu'cao
碎落台,sui'luo'tai
碎石,sui'shi
台背,tai'bei
台背回填,tai'bei'hui'tian
坍落度,tan'luo'du
填挖高度,tian'wa'gao'du
填筑厚度,tian'zhu'hou'du
调配,tiao'pei
通海公路管理段,tong'hai'gong'lu'guan'li'duan
透水性,tou'shui'xing
土工格栅,tu'gong'ge'shan
图号,tu'hao
挖除非适用材料,wa'chu'fei'shi'yong'cai'liao
挖孔桩,wa'kong'zhuang
外掺剂,wai'chan'ji
外委,wai'wei
弯沉,wan'chen
弯起钢筋,wan'qi'gang'jin
围堰,wei'yan
位移,wei'yi
窝工,wo'gong
无侧向抗压,wu'ce'xiang'kang'ya
铣刨机,xi'bao'ji
现浇箱梁,xian'jiao'xiang'liang
先张法,xian'zhang'fa
橡胶支座,xiang'jiao'zhi'zuo
镶面,xiang'mian
项目经理部,xiang'mu'jing'li'bu
小修保养,xiao'xiu'bao'yang
泄水孔,xie'shui'kong
新平公路管理段,xin'ping'gong'lu'guan'li'duan
压实度,ya'shi'du
养生,yang'sheng
羊足碾,yang'zu'nian
液塑限,ye'su'xian
液限,ye'xian
易门公路管理段,yi'men'gong'lu'guan'li'duan
窨井式交叉井,yin'jing'shi'jiao'cha'jing
预留,yu'liu
雨水检查井,yu'shui'jian'cha'jing
预算定额,yu'suan'ding'e
玉溪高等级公路管理段,yu'xi'gao'deng'ji'gong'lu'guan'li'duan
玉溪公路管理总段,yu'xi'gong'lu'guan'li'zong'duan
玉溪路桥工程有限责任公司,yu'xi'lu'qiao'gong'cheng'you'xian'ze'ren'gong'si
预压与超载预压,yu'ya'yu'chao'zai'yu'ya
预应力,yu'ying'li
预应力管桩,yu'ying'li'guan'zhuang
预制场,yu'zhi'chang
预制梁,yu'zhi'liang
预制梁场,yu'zhi'liang'chang
圆管涵,yuan'guan'han
元江公路管理段,yuan'jiang'gong'lu'guan'li'duan
云南省公路局,yun'nan'sheng'gong'lu'ju
云南省交通厅,yun'nan'sheng'jiao'tong'ting
运政管理,yun'zheng'guan'li
