阿崩买火石过先知,a'beng'mai'huo'shi'guo'xian'zhi
阿茂,a'mao
吖呢,a'ne
阿嫂,a'sao
阿生鬼人,a'sheng'gui'ren
吖样,a'yang
腌臜,a'za
蔼宝宝唔哭,ai'bao'bao'wu'ku
嗌交,ai'jiao
矮脚白菜,ai'jiao'bai'cai
挨屏,ai'ping
嗌霎,ai'sha
嗌生嗌死,ai'sheng'ai'si
捱世界,ai'shi'jie
挨晚,ai'wan
矮细,ai'xi
捱夜,ai'ye
矮仔,ai'zai
矮仔多计,ai'zai'duo'ji
捱斋,ai'zhai
暗疮,an'chuang
案底,an'di
安老院,an'lao'yuan
安乐,an'le
安名,an'ming
鹌肾,an'shen
昂面姑娘仆面佬恶交易,ang'mian'gu'niang'pu'mian'lao'e'jiao'yi
卬蠰,ang'nang
坳胡,ao'hu
坳胡婆,ao'hu'po
熬水胶,ao'shui'jiao
吧闭,ba'bi
巴痹,ba'bi
巴闭,ba'bi
八卦,ba'gua
把鬼,ba'gui
把口啷吖油,ba'kou'lang'a'you
罢啦,ba'la
拔兰地,ba'lan'di
把脉,ba'mai
把炮,ba'pao
把屁,ba'pi
八婆,ba'po
扒钱包,ba'qian'bao
巴士,ba'shi
吧厅,ba'ting
扒艇仔,ba'ting'zai
扒头,ba'tou
霸王,ba'wang
霸王花,ba'wang'hua
霸王树,ba'wang'shu
霸王鸭,ba'wang'ya
霸巷鸡乸,ba'xiang'ji'na
八音,ba'yin
八月十五,ba'yue'shi'wu
巴喳,ba'zha
八爪鱼,ba'zhua'yu
拜拜,bai'bai
白菜,bai'cai
白菜仔,bai'cai'zai
摆场,bai'chang
白鲳,bai'chang
白带鱼,bai'dai'yu
摆返埋佢,bai'fan'mai'qu
白饭鱼,bai'fan'yu
白粉,bai'fen
白鸽笼,bai'ge'long
白公,bai'gong
白话,bai'hua
白灰,bai'hui
白霍,bai'huo
摆姜酌,bai'jiang'zhuo
白净,bai'jing
摆酒,bai'jiu
掰开,bai'kai
摆款,bai'kuan
白赖嘥,bai'lai'sai
白兰,bai'lan
白榄,bai'lan
白蒙蒙,bai'meng'meng
白婆,bai'po
白切鸡,bai'qie'ji
白肉,bai'rou
拜山,bai'shan
白鳝,bai'shan
白蚀,bai'shi
白铁,bai'tie
白雪雪,bai'xue'xue
百厌,bai'yan
白翼,bai'yi
白油,bai'you
白鲊,bai'zha
白斩鸡,bai'zhan'ji
百足,bai'zu
班兵,ban'bing
板斧,ban'fu
斑棍斑死你,ban'gun'ban'si'ni
班戟,ban'ji
班马,ban'ma
斑马线,ban'ma'xian
钣蕊,ban'rui
半天吊,ban'tian'diao
半桶水,ban'tong'shui
搬屋,ban'wu
扮蟹,ban'xie
扮野,ban'ye
板障,ban'zhang
扳着脸,ban'zhe'lian
半昼,ban'zhou
帮补,bang'bu
帮埋,bang'mai
帮手,bang'shou
磅水,bang'shui
磅体重,bang'ti'zhong
帮眼,bang'yan
爆煲,bao'bao
葆葆吖,bao'bao'a
煲茶,bao'cha
爆拆,bao'chai
饱肠,bao'chang
爆大镬,bao'da'huo
煲到腍,bao'dao'dian
饱到上心口,bao'dao'shang'xin'kou
煲冬瓜,bao'dong'gua
菢窦,bao'dou
爆肚,bao'du
爆格,bao'ge
爆谷,bao'gu
爆火,bao'huo
爆夹,bao'jia
包剪,bao'jian
爆料,bao'liao
煲冇米粥,bao'mao'mi'zhou
爆棚,bao'peng
剥皮,bao'pi
剥皮牛,bao'pi'niu
包婆,bao'po
爆窃,bao'qie
饱死,bao'si
包台,bao'tai
爆头牌,bao'tou'pai
龅牙,bao'ya
煲烟,bao'yan
煲药,bao'yao
鲍鱼制,bao'yu'zhi
煲仔饭,bao'zai'fan
包种,bao'zhong
被袋,bei'dai
焙干,bei'gan
背角,bei'jiao
被铺,bei'pu
背少人,bei'shao'ren
背语,bei'yu
本地鸡,ben'di'ji
本地姜唔辣,ben'di'jiang'wu'la
本身,ben'shen
本事,ben'shi
笨屎虫,ben'shi'chong
本心,ben'xin
本应,ben'ying
绷绷紧,beng'beng'jin
揼揼转,beng'beng'zhuan
揼地,beng'di
揼脚,beng'jiao
崩口,beng'kou
崩口人忌崩口碗,beng'kou'ren'ji'beng'kou'wan
崩沙,beng'sha
崩牙狼,beng'ya'lang
比阿蛇捉,bi'a'she'zhuo
赑赑赑赑狗过塘基,bi'bi'bi'bi'gou'guo'tang'ji
壁橱,bi'chu
避风塘,bi'feng'tang
鼻哥,bi'ge
鼻哥尖,bi'ge'jian
鼻哥窿,bi'ge'long
比个贼捎吖,bi'ge'zei'shao'a
比火猎,bi'huo'lie
比火燂,bi'huo'tan
避忌,bi'ji
比鸡毛扫挌,bi'ji'mao'sao'ge
弊家伙,bi'jia'huo
比篮带赑,bi'lan'dai'bi
比簕搀紧,bi'le'chan'jin
逼力,bi'li
比面,bi'mian
比你食,bi'ni'shi
赑起你,bi'qi'ni
逼人,bi'ren
比人闹,bi'ren'nao
鼻塞,bi'se
比烧鹅都唔换,bi'shao'e'dou'wu'huan
鼻屎,bi'shi
鼻屎距大,bi'shi'ju'da
鼻水,bi'shui
笔錔,bi'ta
髀罅,bi'xia
比心机,bi'xin'ji
咇牙膏,bi'ya'gao
蔽翳,bi'yi
笔嘴,bi'zui
边啲,bian'di
边个,bian'ge
便利店,bian'li'dian
边炉气,bian'lu'qi
边判,bian'pan
边旗,bian'qi
边有距大只蛤乸随街跳,bian'you'ju'da'zhi'ge'na'sui'jie'tiao
扁鱼,bian'yu
扁圆形,bian'yuan'xing
扁嘴,bian'zui
标参,biao'can
猋出去,biao'chu'qu
表错情,biao'cuo'qing
表盖,biao'gai
表链,biao'lian
表面,biao'mian
标尿,biao'niao
标青,biao'qing
表肉,biao'rou
表士,biao'shi
标芽,biao'ya
摽纸,biao'zhi
摈髻仔,bin'ji'zai
饼吖,bing'a
饼阿,bing'a
饼家,bing'jia
病君,bing'jun
槟榔薯,bing'lang'shu
槟榔芋,bing'lang'yu
病猫,bing'mao
冰片糖,bing'pian'tang
冰室,bing'shi
饼印,bing'yin
博彩,bo'cai
薄罉,bo'cheng
剥赤喇,bo'chi'la
剥赤肋,bo'chi'lei
擘大口得个窿,bo'da'kou'de'ge'long
擘大狮子口,bo'da'shi'zi'kou
搏到尽,bo'dao'jin
博古架,bo'gu'jia
剥光猪,bo'guang'zhu
波棍,bo'gun
驳火,bo'huo
