包料,bao'liao
扁鸡眼,bian'ji'yan
侧耳仔,ce'er'zai
插锁,cha'suo
车反,che'fan
车反分边压线,che'fan'fen'bian'ya'xian
车缝钮,che'feng'niu
窗贴,chuang'tie
磁扣,ci'kou
大磁扣,da'ci'kou
大肚,da'du
大身,da'shen
打折,da'zhe
蛋扣,dan'kou
底围,di'wei
底座,di'zuo
吊钟,diao'zhong
定线,ding'xian
耳仔,er'zai
反车,fan'che
方钉,fang'ding
方扣,fang'kou
分边,fen'bian
盖耳仔,gai'er'zai
拱桥,gong'qiao
狗扣,gou'kou
骨料,gu'liao
骨条,gu'tiao
和尚头,he'shang'tou
回折,hui'zhe
急钮,ji'niu
尖钉,jian'ding
角贴,jiao'tie
介子,jie'zi
拉窗,la'chuang
拉芯扣,la'xin'kou
利仔,li'zai
链窗,lian'chuang
链贴,lian'tie
链尾,lian'wei
蒙古包钉,meng'gu'bao'ding
蘑菇钉,mo'gu'ding
奶嘴钉,nai'zui'ding
内贴,nei'tie
拧锁,ning'suo
碰车,peng'che
平面钉,ping'mian'ding
前公后母,qian'gong'hou'mu
日字扣,ri'zi'kou
散口,san'kou
四合扣,si'he'kou
小磁扣,xiao'ci'kou
小锁,xiao'suo
压线,ya'xian
压铸,ya'zhu
油边,you'bian
圆头,yuan'tou
折边,zhe'bian
针扣,zhen'kou
针通扣,zhen'tong'kou
正格,zheng'ge
中格,zhong'ge
中位,zhong'wei
中线,zhong'xian
撞钉,zhuang'ding
装饰钉,zhuang'shi'ding
装饰锁,zhuang'shi'suo
左右贴,zuo'you'tie
