庵,an
安陀会,an'tuo'hui
安息香,an'xi'xiang
板,ban
杓,biao
钵,bo
茶,cha
陈弃药,chen'qi'yao
齿木,chi'mu
筹,chou
大鼓,da'gu
单,dan
灯明,deng'ming
多玛食子,duo'ma'shi'zi
耳璫,er'dang
法鼓,fa'gu
法具,fa'ju
法螺,fa'luo
法器,fa'qi
法衣,fa'yi
法座,fa'zuo
幡,fan
粪扫衣,fen'sao'yi
佛钵,fo'bo
佛教旗,fo'jiao'qi
佛坛,fo'tan
佛像,fo'xiang
拂子,fu'zi
盖,gai
弓,gong
供具,gong'ju
供物,gong'wu
华,hua
华鬘,hua'man
欢喜丸,huan'xi'wan
迦絺那衣,jia'chi'na'yi
袈裟,jia'sha
犍稚,jian'zhi
戒尺,jie'chi
戒刀,jie'dao
羯磨金刚,jie'mo'jin'gang
金刚杵,jin'gang'chu
金刚铃,jin'gang'ling
金刚线,jin'gang'xian
金刚座,jin'gang'zuo
今上牌,jin'shang'pai
警策,jing'ce
经幢,jing'chuang
经帷子,jing'wei'zi
罥索,juan'suo
军荼,jun'tu
龛,kan
露盘,lu'pan
漉水囊,lu'shui'nang
轮藏,lun'cang
缦衣,man'yi
木鱼,mu'yu
衲衣,na'yi
尼师坛,ni'shi'tan
念持佛,nian'chi'fo
瓶,ping
七层轮灯,qi'ceng'lun'deng
七条衣,qi'tiao'yi
磬,qing
曲彔,qu'lu
瞿摩夷,qu'mo'yi
屈眴布,qu'shun'bu
三宝物,san'bao'wu
三衣,san'yi
三衣一钵,san'yi'yi'bo
僧祇支,seng'chi'zhi
僧伽梨,seng'ga'li
生饭,sheng'fan
十八物,shi'ba'wu
十三资具衣,shi'san'zi'ju'yi
十种衣,shi'zhong'yi
食子,shi'zi
师子座,shi'zi'zuo
手巾,shou'jin
数珠,shu'zhu
寺印,si'yin
台座,tai'zuo
唐卡,tang'ka
头巾,tou'jin
涂香,tu'xiang
丸香,wan'xiang
五衣,wu'yi
锡杖,xi'zhang
线香,xian'xiang
香,xiang
香灯,xiang'deng
香房,xiang'fang
香炉,xiang'lu
香汤,xiang'tang
须弥坛,xu'mi'tan
阏伽,yan'ga
衣钵,yi'bo
衣钵簿,yi'bo'bu
衣囊,yi'nang
引磬,yin'qing
璎珞,ying'luo
云版,yun'ban
澡豆,zao'dou
纸钱,zhi'qian
钟,zhong
粥,zhou
竹篦,zhu'bi
朱伞,zhu'san
幢,zhuang
紫衣,zi'yi
缁衣,zi'yi
