阿贝尔遍历定理,a'bei'er'bian'li'ding'li
阿贝尔簇的极化,a'bei'er'cu'de'ji'hua
阿贝尔范畴,a'bei'er'fan'chou
阿贝尔函数域,a'bei'er'han'shu'yu
阿贝尔晶体,a'bei'er'jing'ti
阿贝尔扩张,a'bei'er'kuo'zhang
阿贝尔群范畴,a'bei'er'qun'fan'chou
阿达马矩阵,a'da'ma'ju'zhen
阿代尔,a'dai'er
阿廷映射,a'ting'ying'she
艾达尔上同调,ai'da'er'shang'tong'diao
埃尔米特插值,ai'er'mi'te'cha'zhi
埃尔米特二次型,ai'er'mi'te'er'ci'xing
埃尔米特矩阵,ai'er'mi'te'ju'zhen
埃拉托色尼筛法,ai'la'tuo'se'ni'shai'fa
艾里微分方程,ai'li'wei'fen'fang'cheng
爱因斯坦方程,ai'yin'si'tan'fang'cheng
鞍点,an'dian
按对平衡区组设计,an'dui'ping'heng'qu'zu'she'ji
巴拿赫代数的表示,ba'na'he'dai'shu'de'biao'shi
半本原环,ban'ben'yuan'huan
半单簇,ban'dan'cu
半单元,ban'dan'yuan
半径,ban'jing
半连续的,ban'lian'xu'de
伴随李代数,ban'sui'li'dai'shu
伴随线性映射,ban'sui'xian'xing'ying'she
半完满环,ban'wan'man'huan
半线性偏微分方程,ban'xian'xing'pian'wei'fen'fang'cheng
半线性同构,ban'xian'xing'tong'gou
半正规算子,ban'zheng'gui'suan'zi
半直积,ban'zhi'ji
鲍尔双迭代法,bao'er'shuang'die'dai'fa
保积函子,bao'ji'han'zi
保密体制,bao'mi'ti'zhi
胞腔空间,bao'qiang'kong'jian
胞腔上同调群,bao'qiang'shang'tong'tiao'qun
胞腔同调群,bao'qiang'tong'tiao'qun
保序映射,bao'xu'ying'she
被乘数,bei'cheng'shu
贝克隆变换,bei'ke'long'bian'huan
本元,ben'yuan
本原幂等元,ben'yuan'mi'deng'yuan
本质不振荡,ben'zhi'bu'zhen'dang
崩溃点,beng'kui'dian
闭包运算,bi'bao'yun'suan
彼得松图,bi'de'song'tu
闭公式,bi'gong'shi
比较定理,bi'jiao'ding'li
比例内项,bi'li'nei'xiang
闭路,bi'lu
闭型积分公式,bi'xing'ji'fen'gong'shi
变分不等式,bian'fen'bu'deng'shi
变分法,bian'fen'fa
边覆盖,bian'fu'gai
边界表现,bian'jie'biao'xian
边界点,bian'jie'dian
边界对应,bian'jie'dui'ying
边连通度,bian'lian'tong'du
边心距,bian'xin'ju
变形马蒂厄方程,bian'xing'ma'di'e'fang'cheng
变形牛顿法,bian'xing'niu'dun'fa
变异系数,bian'yi'xi'shu
边缘似然函数,bian'yuan'si'ran'han'shu
标号图,biao'hao'tu
表示的级,biao'shi'de'ji
表示函子,biao'shi'han'zi
标准分解式,biao'zhun'fen'jie'shi
标准高,biao'zhun'gao
标准元,biao'zhun'yuan
表作业法,biao'zuo'ye'fa
并,bing
伯格曼度量,bo'ge'man'du'liang
伯格曼算子,bo'ge'man'suan'zi
伯努利分布,bo'nu'li'fen'bu
泊松核,bo'song'he
泊松求和公式,bo'song'qiu'he'gong'shi
不变测度问题,bu'bian'ce'du'wen'ti
不变多项式,bu'bian'duo'xiang'shi
