暗海晶石,an'hai'jing'shi
按钮,an'niu
安山岩,an'shan'yan
白桦船,bai'hua'chuan
绊线,ban'xian
绊线钩,ban'xian'gou
爆裂,bao'lie
豹猫,bao'mao
蝙蝠,bian'fu
边界,bian'jie
冰刺,bing'ci
玻璃,bo'li
玻璃板,bo'li'ban
玻璃瓶,bo'li'ping
布料,bu'liao
草丛,cao'cong
草方块,cao'fang'kuai
草径,cao'jing
测重压力板,ce'zhong'ya'li'ban
唱片机,chang'pian'ji
超平坦,chao'ping'tan
橙色染料,cheng'se'ran'liao
成书,cheng'shu
迟缓之箭,chi'huan'zhi'jian
齿轮,chi'lun
充能铁轨,chong'neng'tie'gui
传送门,chuan'song'men
丛林船,cong'lin'chuan
从林木,cong'lin'mu
丛林神庙,cong'lin'shen'miao
村民,cun'min
村庄,cun'zhuang
打火石,da'huo'shi
大型蕨,da'xing'jue
蛋糕,dan'gao
淡灰色染料,dan'hui'se'ran'liao
淡蓝色染料,dan'lan'se'ran'liao
地表,di'biao
地牢,di'lao
地毯,di'tan
地图,di'tu
地狱,di'yu
地狱岩,di'yu'yan
地狱疣,di'yu'you
地狱砖,di'yu'zhuan
地狱砖块,di'yu'zhuan'kuai
凋灵,diao'ling
凋灵骷髅,diao'ling'ku'lou
凋灵骷髅头颅,diao'ling'ku'lou'tou'lu
钓鱼竿,diao'yu'gan
动力矿车,dong'li'kuang'che
冻橡树,dong'xiang'shu
洞穴蜘蛛,dong'xue'zhi'zhu
蠹虫,du'chong
毒马铃薯,du'ma'ling'shu
盾牌,dun'pai
恶魂,e'hun
恶魂之泪,e'hun'zhi'lei
发酵蛛眼,fa'jiao'zhu'yan
发射器,fa'she'qi
反转,fan'zhuan
放大化,fang'da'hua
方块,fang'kuai
废弃矿洞,fei'qi'kuang'dong
废弃矿井,fei'qi'kuang'jing
废弃矿坑,fei'qi'kuang'keng
粉红色染料,fen'hong'se'ran'liao
浮冰,fu'bing
浮岛,fu'dao
附魔书,fu'mo'shu
附魔台,fu'mo'tai
附魔之瓶,fu'mo'zhi'ping
腐肉,fu'rou
干草块,gan'cao'kuai
甘蔗,gan'zhe
高桦树,gao'hua'shu
告示牌,gao'shi'pai
高云杉树,gao'yun'shan'shu
耕地,geng'di
工作台,gong'zuo'tai
骨粉,gu'fen
骨头,gu'tou
怪物蛋,guai'wu'dan
灌木,guan'mu
光灵箭,guang'ling'jian
