抽检,chou'jian
抽样水准,chou'yang'shui'zhun
供应链品质管理,gong'ying'lian'pin'zhi'guan'li
合格,he'ge
进料品管,jin'liao'pin'guan
拒收,ju'shou
开箱检验,kai'xiang'jian'yan
批退,pi'tui
品保,pin'bao
品管,pin'guan
品管圈,pin'guan'quan
品管系统,pin'guan'xi'tong
品质保证,pin'zhi'bao'zheng
品质大师,pin'zhi'da'shi
品质风险,pin'zhi'feng'xian
品质改善,pin'zhi'gai'shan
品质工程,pin'zhi'gong'cheng
品质管理,pin'zhi'guan'li
品质提升,pin'zhi'ti'sheng
品质文件,pin'zhi'wen'jian
轻微不良,qing'wei'bu'liang
全检,quan'jian
全面品质保证,quan'mian'pin'zhi'bao'zheng
全面品质管理,quan'mian'pin'zhi'guan'li
全制程验证,quan'zhi'cheng'yan'zheng
特采,te'cai
挑选,tiao'xuan
先进先出,xian'jin'xian'chu
严重不良,yan'zhong'bu'liang
允收,yun'shou
制程检验,zhi'cheng'jian'yan
制程品管,zhi'cheng'pin'guan
制程巡检,zhi'cheng'xun'jian
重工,zhong'gong
主要不良,zhu'yao'bu'liang
