阿尔泰,a'er'tai
阿尔泰诺尔乌梁海,a'er'tai'nuo'er'wu'liang'hai
阿尔泰乌梁海,a'er'tai'wu'liang'hai
阿勒楚喀,a'le'chu'ka
阿力麻里,a'li'ma'li
爱珲,ai'hun
哀牢,ai'lao
爱州,ai'zhou
安北都护府,an'bei'du'hu'fu
安定,an'ding
安东都护府,an'dong'du'hu'fu
安丰,an'feng
安谷城,an'gu'cheng
安国,an'guo
安化,an'hua
安陆,an'lu
安南都护府,an'nan'du'hu'fu
安平,an'ping
安庆,an'qing
安市,an'shi
安肃军,an'su'jun
安条克,an'tiao'ke
安西,an'xi
安息,an'xi
安西都护府,an'xi'du'hu'fu
安西四镇,an'xi'si'zhen
安阳,an'yang
安邑,an'yi
傲,ao
敖仓,ao'cang
巴,ba
巴东,ba'dong
巴郡,ba'jun
巴陵,ba'ling
八闽,ba'min
霸上,ba'shang
巴西,ba'xi
霸州,ba'zhou
白帝城,bai'di'cheng
白沟,bai'gou
柏海,bai'hai
柏举,bai'ju
白龙堆,bai'long'dui
白马,bai'ma
白门,bai'men
柏人,bai'ren
白沙瓦,bai'sha'wa
白山黑水,bai'shan'hei'shui
白下,bai'xia
板桥,ban'qiao
阪泉,ban'quan
保安,bao'an
保德,bao'de
保定,bao'ding
薄骨律,bao'gu'lv
抱罕,bao'han
保宁,bao'ning
宝庆,bao'qing
北地,bei'di
北海,bei'hai
北假,bei'jia
北京,bei'jing
北邙,bei'mang
北平,bei'ping
卑沙,bei'sha
北庭,bei'ting
北徐,bei'xu
贝州,bei'zhou
泌阳,bi'yang
汴梁,bian'liang
汴州,bian'zhou
别失八里,bie'shi'ba'li
豳州,bin'zhou
宾州,bin'zhou
滨州,bin'zhou
并州,bing'zhou
渤海,bo'hai
勃海郡,bo'hai'jun
拨换城,bo'huan'cheng
博浪沙,bo'lang'sha
伯力,bo'li
勃利州,bo'li'zhou
博陵,bo'ling
勃律,bo'lv
博望,bo'wang
博州,bo'zhou
播州,bo'zhou
蔡,cai
采桑,cai'sang
蔡州,cai'zhou
苍梧,cang'wu
沧州,cang'zhou
曹,cao
曹国,cao'guo
曹州,cao'zhou
柴桑,chai'sang
柴市,chai'shi
单于都护府,chan'yu'du'hu'fu
澶州,chan'zhou
长安,chang'an
长坂,chang'ban
长城,chang'cheng
常德,chang'de
昌国,chang'guo
昌黎,chang'li
昌南镇,chang'nan'zhen
长平,chang'ping
昌平,chang'ping
长沙,chang'sha
常山,chang'shan
长勺,chang'shao
昌邑,chang'yi
常州,chang'zhou
长洲苑,chang'zhou'yuan
朝歌,chao'ge
潮州,chao'zhou
车里,che'li
陈仓,chen'cang
陈郡,chen'jun
陈留,chen'liu
陈桥驿,chen'qiao'yi
辰阳,chen'yang
辰州,chen'zhou
郴州,chen'zhou
陈州,chen'zhou
成德,cheng'de
城父,cheng'fu
成皋,cheng'gao
城濮,cheng'pu
承天,cheng'tian
城阳,cheng'yang
城颍,cheng'ying
成周城,cheng'zhou'cheng
赤城,chi'cheng
赤嵌,chi'qian
赤县,chi'xian
池州,chi'zhou
崇,chong
舂陵,chong'ling
重庆,chong'qing
仇池,chou'chi
出河店,chu'he'dian
处州,chu'zhou
楚州,chu'zhou
滁州,chu'zhou
川边,chuan'bian
春明,chun'ming
春申江,chun'shen'jiang
刺桐,ci'tong
磁州,ci'zhou
大都,da'du
打箭炉,da'jian'lu
大金川,da'jin'chuan
大梁,da'liang
怛罗斯,da'luo'si
大吕宋国,da'lv'song'guo
大名府,da'ming'fu
大泥,da'ni
大宁卫,da'ning'wei
大秦,da'qin
打牲乌拉,da'sheng'wu'la
大食,da'shi
大宛,da'wan
大西洋国,da'xi'yang'guo
大夏,da'xia
大兴城,da'xing'cheng
大仪镇,da'yi'zhen
大泽乡,da'ze'xiang
代郡,dai'jun
掸国,dan'guo
淡水,dan'shui
丹阳,dan'yang
宕渠,dang'qu
砀山,dang'shan
当涂,dang'tu
道州,dao'zhou
德安,de'an
德化,de'hua
德胜城,de'sheng'cheng
邓,deng
邓州,deng'zhou
登州,deng'zhou
狄道,di'dao
帝丘,di'qiu
棣州,di'zhou
定襄,ding'xiang
鼎州,ding'zhou
定州,ding'zhou
东昌,dong'chang
东川,dong'chuan
东都,dong'du
东莞,dong'guan
东海郡,dong'hai'jun
东京,dong'jing
东郡,dong'jun
东平,dong'ping
东坡,dong'po
东吴,dong'wu
硐州,dong'zhou
都畿道,dou'ji'dao
督亢,du'kang
杜曲,du'qu
独石口,du'shi'kou
端州,duan'zhou
顿丘,dun'qiu
朵甘思,duo'gan'si
鄂县,e'xian
鄂州,e'zhou
鄂渚,e'zhu
贰师城,er'shi'cheng
范阳,fan'yang
方城,fang'cheng
房陵,fang'ling
枋头,fang'tou
肥水,fei'shui
分阝州,fen'fu'zhou
分宁,fen'ning
汾州,fen'zhou
丰镐,feng'gao
奉天,feng'tian
奉先,feng'xian
凤翔,feng'xiang
奉元,feng'yuan
佛郎机,fo'lang'ji
佛山,fo'shan
佛逝国,fo'shi'guo
佛堂山,fo'tang'shan
佛陀加雅,fo'tuo'jia'ya
富春,fu'chun
扶风,fu'feng
福建,fu'jian
夫椒,fu'jiao
甫里,fu'li
符离,fu'li
浮梁,fu'liang
拂林,fu'lin
涪陵,fu'ling
福陵,fu'ling
抚冥,fu'ming
扶南,fu'nan
福宁,fu'ning
富平,fu'ping
伏羌,fu'qiang
肤施,fu'shi
伏俟城,fu'si'cheng
浮图城,fu'tu'cheng
涪县,fu'xian
扶余,fu'yu
复州,fu'zhou
抚州,fu'zhou
涪州,fu'zhou
福州,fu'zhou
垓下,gai'xia
盖州,gai'zhou
甘肃,gan'su
赣州,gan'zhou
甘州,gan'zhou
镐,gao
高嗷,gao'ao
高昌,gao'chang
高凉,gao'liang
高密,gao'mi
高奴,gao'nu
高平,gao'ping
高阙,gao'que
高阳,gao'yang
高邮,gao'you
高州,gao'zhou
巩昌,gong'chang
缑氏,gou'shi
谷城,gu'cheng
姑孰,gu'shu
姑苏,gu'su
固原,gu'yuan
姑臧,gu'zang
孤竹,gu'zhu
瓜步,gua'bu
瓜州,gua'zhou
关东,guan'dong
官渡,guan'du
冠军,guan'jun
关南,guan'nan
关内,guan'nei
关右,guan'you
关中,guan'zhong
广东,guang'dong
广固城,guang'gu'cheng
广陵,guang'ling
广宁,guang'ning
广武,guang'wu
广西,guang'xi
广信,guang'xin
光州,guang'zhou
广州,guang'zhou
归安,gui'an
贵德,gui'de
归德,gui'de
桂林,gui'lin
桂陵,gui'ling
贵霜王国,gui'shuang'wang'guo
归绥,gui'sui
贵乡,gui'xiang
贵阳,gui'yang
桂阳,gui'yang
妫州,gui'zhou
桂州,gui'zhou
虢,guo
涡阳,guo'yang
哈拉和卓,ha'la'he'zhuo
海兰泡,hai'lan'pao
海陵,hai'ling
海门,hai'men
海曲,hai'qu
海参崴,hai'shen'wai
海阳,hai'yang
海州,hai'zhou
汗八里,han'ba'li
邯郸,han'dan
汉皋,han'gao
翰海,han'hai
汉阳,han'yang
汉中,han'zhong
韩州,han'zhou
杭州,hang'zhou
毫,hao
浩罕,hao'han
壕镜,hao'jing
好水川,hao'shui'chuan
毫州,hao'zhou
濠州,hao'zhou
河北,he'bei
河东,he'dong
河间,he'jian
和林,he'lin
和龙,he'long
河南,he'nan
河内,he'nei
合浦,he'pu
河桥,he'qiao
河朔,he'shuo
赫图阿拉,he'tu'a'la
河外,he'wai
河西,he'xi
河阳,he'yang
河阴,he'yin
河源,he'yuan
河中,he'zhong
合州,he'zhou
和州,he'zhou
河州,he'zhou
黑水都督府,hei'shui'du'du'fu
横海,heng'hai
衡山,heng'shan
恒山,heng'shan
衡州,heng'zhou
恒州,heng'zhou
泓,hong
洪都,hong'du
鸿沟,hong'gou
弘农,hong'nong
洪州,hong'zhou
侯官,hou'guan
沪渎,hu'du
湖广,hu'guang
忽汗州,hu'han'zhou
胡里改,hu'li'gai
湖南,hu'nan
虎思斡耳朵,hu'si'wo'er'duo
沪尾,hu'wei
湖州,hu'zhou
花刺子模,hua'ci'zi'mu
华容,hua'rong
滑台,hua'tai
华亭,hua'ting
华州,hua'zhou
滑州,hua'zhou
淮安,huai'an
怀荒,huai'huang
槐里,huai'li
淮南,huai'nan
怀庆,huai'qing
怀朔,huai'shuo
淮西,huai'xi
淮阳,huai'yang
淮阴,huai'yin
怀州,huai'zhou
环庆,huan'qing
桓州,huan'zhou
黄,huang
黄池,huang'chi
皇都,huang'dou
黄金台,huang'jin'tai
黄陵冈,huang'ling'gang
黄龙城,huang'long'cheng
湟中,huang'zhong
黄州,huang'zhou
会川,hui'chuan
回洛仓,hui'luo'cang
会宁,hui'ning
洄曲,hui'qu
会州,hui'zhou
徽州,hui'zhou
惠州,hui'zhou
蓟,ji
汲郡,ji'jun
鸡笼,ji'long
即墨,ji'mo
济南,ji'nan
集庆,ji'qing
稷下,ji'xia
蓟县,ji'xian
济阳,ji'yang
济阴,ji'yin
蓟州,ji'zhou
冀州,ji'zhou
吉州,ji'zhou
济州,ji'zhou
郏,jia
嘉定,jia'ding
夹谷,jia'gu
葭萌,jia'meng
迦师城,jia'shi'cheng
嘉兴,jia'xing
嘉州,jia'zhou
建安,jian'an
建昌,jian'chang
建康,jian'kang
坚昆,jian'kun
剑门,jian'men
剑南,jian'nan
建宁,jian'ning
犍陀罗,jian'tuo'luo
剑外,jian'wai
建业,jian'ye
剑州,jian'zhou
建州,jian'zhou
简州,jian'zhou
绛,jiang
江表,jiang'biao
江乘,jiang'cheng
江东,jiang'dong
江东六十四屯,jiang'dong'liu'shi'si'tun
江南,jiang'nan
江南东道,jiang'nan'dong'dao
江南东路,jiang'nan'dong'lu
江南西道,jiang'nan'xi'dao
江南西路,jiang'nan'xi'lu
江宁,jiang'ning
蒋山,jiang'shan
江夏,jiang'xia
绛县,jiang'xian
蒋州,jiang'zhou
江州,jiang'zhou
绛州,jiang'zhou
江左,jiang'zuo
胶东,jiao'dong
交河城,jiao'he'cheng
胶西,jiao'xi
交趾,jiao'zhi
交州,jiao'zhou
解梁,jie'liang
街亭,jie'ting
解州,jie'zhou
阶州,jie'zhou
晋,jin
晋安,jin'an
金阊,jin'chang
晋昌,jin'chang
金城,jin'cheng
锦城,jin'cheng
金堤,jin'di
金谷,jin'gu
津沽,jin'gu
金华,jin'hua
金匮,jin'kui
金陵,jin'ling
晋陵,jin'ling
金满,jin'man
金田村,jin'tian'cun
金微,jin'wei
晋阳,jin'yang
金墉城,jin'yong'cheng
金源,jin'yuan
金州,jin'zhou
锦州,jin'zhou
晋州,jin'zhou
荆,jing
京,jing
景德镇,jing'de'zhen
京东,jing'dong
京畿,jing'ji
京江,jing'jiang
京口,jing'kou
竟陵,jing'ling
荆南,jing'nan
静宁,jing'ning
荆溪,jing'xi
京西,jing'xi
泾原,jing'yuan
京兆,jing'zhao
荆州,jing'zhou
旧港,jiu'gang
九江,jiu'jiang
酒泉,jiu'quan
旧柔佛,jiu'rou'fo
九原,jiu'yuan
巨港,ju'gang
巨鹿,ju'lu
且末,ju'mo
剧县,ju'xian
句章,ju'zhang
鄄城,juan'cheng
浚仪,jun'yi
筠州,jun'zhou
开封,kai'feng
开平,kai'ping
开州,kai'zhou
康,kang
康国,kang'guo
康居,kang'ju
考亭,kao'ting
科布多,ke'bu'duo
库伦,ku'lun
苦县,ku'xian
会稽,kuai'ji
宽城子,kuan'cheng'zi
葵丘,kui'qiu
