饱和度,bao'he'du
北京环鼎,bei'jing'huan'ding
残余油饱和度,can'yu'you'bao'he'du
测井,ce'jing
测井地面系统,ce'jing'di'mian'xi'tong
测井技术,ce'jing'ji'shu
测井仪器,ce'jing'yi'qi
测井准备,ce'jing'zhun'bei
层理面,ceng'li'mian
产油层,chan'you'ceng
超热中子,chao're'zhong'zi
冲洗带,chong'xi'dai
磁致伸缩效应,ci'zhi'shen'suo'xiao'ying
地震学,di'zhen'xue
地质学,di'zhi'xue
电导,dian'dao
电导系数,dian'dao'xi'shu
电缆盘,dian'lan'pan
电子对效应,dian'zi'dui'xiao'ying
独居石,du'ju'shi
断裂,duan'lie
二氧化硅,er'yang'hua'gui
发射极,fa'she'ji
发射源,fa'she'yuan
氟化物,fu'hua'wu
伽马射线,ga'ma'she'xian
感应测井,gan'ying'ce'jing
高频感应测井,gao'pin'gan'ying'ce'jing
共振频率,gong'zhen'pin'lv
骨架,gu'jia
光电吸收截面,guang'dian'xi'shou'jie'mian
光电效应,guang'dian'xiao'ying
哈利伯顿,ha'li'bo'dun
合成地震记录,he'cheng'di'zhen'ji'lu
环面,huan'mian
环形空间,huan'xing'kong'jian
灰分含量,hui'fen'han'liang
灰质砂岩,hui'zhi'sha'yan
基岩,ji'yan
碱性泥浆,jian'xing'ni'jiang
焦耳效应,jiao'er'xiao'ying
卷缆车,juan'lan'che
康普顿散射,kang'pu'dun'san'she
孔隙度,kong'xi'du
快中子,kuai'zhong'zi
矿化度,kuang'hua'du
裂缝,lie'feng
临界角,lin'jie'jiao
裸眼井,luo'yan'jing
泥浆滤液,ni'jiang'lv'ye
逆效应,ni'xiao'ying
泥岩,ni'yan
泥质砂岩,ni'zhi'sha'yan
平行光管,ping'xing'guang'guan
启动时间,qi'dong'shi'jian
浅部地层,qian'bu'di'ceng
氢含量,qing'han'liang
轻核,qing'he
氢原子,qing'yuan'zi
曲线图,qu'xian'tu
热中子,re'zhong'zi
瑞利波,rui'li'bo
闪烁记数器,shan'shuo'ji'shu'qi
闪烁现象,shan'shuo'xian'xiang
上覆岩层压力,shang'fu'yan'ceng'ya'li
渗透率,shen'tou'lv
渗透性砂岩,shen'tou'xing'sha'yan
胜利伟业,sheng'li'wei'ye
声阻抗,sheng'zu'kang
师奈恩定律,shi'nai'en'ding'lv
石英岩,shi'ying'yan
视准仪,shi'zhun'yi
斯,si
斯伦贝谢,si'lun'bei'xie
斯通利波,si'tong'li'bo
探测半径,tan'ce'ban'jing
探测器,tan'ce'qi
碳氢化合物,tan'qing'hua'he'wu
探针,tan'zhen
套管井,tao'guan'jing
通量密度,tong'liang'mi'du
同位素,tong'wei'su
微测井,wei'ce'jing
微电极测井,wei'dian'ji'ce'jing
线圈,xian'quan
压电效应,ya'dian'xiao'ying
压缩波,ya'suo'bo
延迟时间,yan'chi'shi'jian
盐分,yan'fen
盐类学,yan'lei'xue
盐浓度,yan'nong'du
岩相学,yan'xiang'xue
页岩,ye'yan
油气效应,you'qi'xiao'ying
原生的,yuan'sheng'de
准直仪,zhun'zhi'yi
自然电位,zi'ran'dian'wei
纵波,zong'bo
纵向分辨率,zong'xiang'fen'bian'lv
