宝器,bao'qi
出窍,chu'qiao
出窍期,chu'qiao'qi
大乘,da'cheng
大乘期,da'cheng'qi
巅峰,dian'feng
渡劫,du'jie
渡劫期,du'jie'qi
法宝,fa'bao
法器,fa'qi
法阵,fa'zhen
飞升,fei'sheng
飞升期,fei'sheng'qi
分神,fen'shen
分神期,fen'shen'qi
符箓,fu'lu
符咒,fu'zhou
合体,he'ti
合体期,he'ti'qi
后期,hou'qi
金丹,jin'dan
金丹期,jin'dan'qi
开光,kai'guang
开光期,kai'guang'qi
炼丹,lian'dan
炼丹师,lian'dan'shi
炼器,lian'qi
炼器师,lian'qi'shi
灵寂,ling'ji
灵寂期,ling'ji'qi
灵器,ling'qi
门派,men'pai
前期,qian'qi
融合,rong'he
融合期,rong'he'qi
散修,san'xiu
王朝,wang'chao
五心朝天,wu'xin'chao'tian
仙界,xian'jie
仙器,xian'qi
心动,xin'dong
心动期,xin'dong'qi
修真界,xiu'zhen'jie
修真者,xiu'zhen'zhe
元婴,yuan'ying
元婴期,yuan'ying'qi
中期,zhong'qi
筑基,zhu'ji
筑基期,zhu'ji'qi
