暗不,an'bu
俺呢,an'ne
俺太面,an'tai'mian
昂古,ang'gu
昂嫲,ang'ma
朝神,chao'shen
朝神早,chao'shen'zao
催耐耶,cui'nai'ye
打靶鬼,da'ba'gui
打斗四,da'dou'si
得人胃,de'ren'wei
得人锡,de'ren'xi
颠古,dian'gu
颠嫲,dian'ma
叼挫鱼,diao'cuo'yu
叼惹咩之白,diao're'mie'zhi'bai
叼惹咩之别,diao're'mie'zhi'bie
顶冲鬼,ding'chong'gui
恶霸嫲,e'ba'ma
屙痢肚,e'li'du
屙尿,e'niao
屙屎,e'shi
狗嫲蛇,gou'ma'she
鬼神鬼相,gui'shen'gui'xiang
锅摸,guo'mo
话稳唔磨俺呢,hua'wen'wu'mo'an'ne
吉多,ji'duo
吉多摘,ji'duo'zhai
讲兜脉个,jiang'dou'mai'ge
脚板一射,jiao'ban'yi'she
烂哉,lan'zai
烂哉古,lan'zai'gu
临夜,lin'ye
呤棍,ling'gun
呤棍头,ling'gun'tou
碌屎棍,lu'shi'gun
脉个,mai'ge
莫答举,mo'da'ju
磨答煞,mo'da'sha
磨人,mo'ren
娘班,niang'ban
娘得刮杀,niang'de'gua'sha
娘刮杀,niang'gua'sha
哦痢肚,o'li'du
哦尿,o'niao
哦屎,o'shi
全呤,quan'ling
惹咩,re'mie
日神头,ri'shen'tou
上昼,shang'zhou
勺麻,shao'ma
是不,shi'bu
食饭,shi'fan
食屎大,shi'shi'da
睡目,shui'mu
四六货,si'liu'huo
添放,tian'fang
添放黑诶,tian'fang'hei'ei
听到喂磨,ting'dao'wei'mo
外叼,wai'diao
吴得闲,wu'de'xian
唔咩,wu'mie
毋係,wu'xi
务重,wu'zhong
下昼,xia'zhou
想娘班,xiang'niang'ban
涯爱鱼,ya'ai'yu
亦体面,yi'ti'mian
移虚,yi'xu
移移虚虚,yi'yi'xu'xu
鱼嘿瞒人,yu'hei'man'ren
之白,zhi'bai
之别,zhi'bie
转屋卡,zhuan'wu'ka
做脉个,zuo'mai'ge
