阿儿,a'er
阿个,a'ge
阿么,a'me
半截,ban'jie
刨烦,bao'fan
包谷,bao'gu
宝脚,bao'jiao
背篼,bei'dou
崩皮皮,beng'pi'pi
不得,bu'de
不克,bu'ke
财得很,cai'de'hen
茶叶货,cha'ye'huo
吃不得,chi'bu'de
吃喝皮,chi'he'pi
吃豁屁,chi'huo'pi
出杠头,chu'gang'tou
锄头把,chu'tou'ba
川麻,chuan'ma
戳笨,chuo'ben
戳怪噜,chuo'guai'lu
撮笨,cuo'ben
搓麻将,cuo'ma'jiang
单挑,dan'tiao
当包当事,dang'bao'dang'shi
当包当肆,dang'bao'dang'si
档货,dang'huo
倒二,dao'er
倒嚼,dao'jiao
倒坎,dao'kan
刀头,dao'tou
得吃噢,de'chi'o
得闲,de'xian
低低个,di'di'ge
滴滴个,di'di'ge
递点子,di'dian'zi
点点个,dian'dian'ge
颠对,dian'dui
掂兑,dian'dui
颠二壳三,dian'er'ke'san
屌得很,diao'de'hen
吊歪,diao'wai
掉歪,diao'wai
盯得很,ding'de'hen
丢嘴,diu'zui
东儿,dong'er
二回,er'hui
二角鸡,er'jiao'ji
二块巴,er'kuai'ba
烦得很,fan'de'hen
疯勒,feng'le
嘎嘎,ga'ga
旮旮角角,ga'ga'jiao'jiao
搞到茫事,gao'dao'mang'shi
搞倒事,gao'dao'shi
皋捞捞,gao'lao'lao
搞落噢,gao'luo'o
搞哪样,gao'na'yang
搞死,gao'si
哥皮,ge'pi
勾兑,gou'dui
古吃,gu'chi
鼓到,gu'dao
古倒,gu'dao
姑倒,gu'dao
鼓到起,gu'dao'qi
古倒起,gu'dao'qi
姑起,gu'qi
怪噜,guai'lu
拐哦,guai'o
鬼糊糊,gui'hu'hu
鬼火戳,gui'huo'chuo
鬼火撮,gui'huo'cuo
鬼头刀把,gui'tou'dao'ba
鬼完家勒,gui'wan'jia'le
归一,gui'yi
哈包,ha'bao
哈宝,ha'bao
哈包哈事,ha'bao'ha'shi
哈迷哈眼,ha'mi'ha'yan
哈拙拙勒,ha'zhuo'zhuo'le
憨包,han'bao
憨不憨痴不痴,han'bu'han'chi'bu'chi
憨得很,han'de'hen
黑脚杆,hei'jiao'gan
黑奇,hei'qi
黑漆妈漆勒,hei'qi'ma'qi'le
黑实,hei'shi
嘿实,hei'shi
黑我,hei'wo
红翻翻,hong'fan'fan
花迷撩眼,hua'mi'liao'yan
火箭筒,huo'jian'tong
豁屁,huo'pi
鸡把腿,ji'ba'tui
鸡公车,ji'gong'che
几姨妈,ji'yi'ma
鸡爪疯,ji'zhao'feng
奸得很,jian'de'hen
拣趴活,jian'pa'huo
脚杆,jiao'gan
脚子,jiao'zi
紧倒,jin'dao
金武馆,jin'wu'guan
咔咔角角,ka'ka'jiao'jiao
靠不住,kao'bu'zhu
客不得,ke'bu'de
克不克,ke'bu'ke
克哪点,ke'na'dian
克死,ke'si
磕膝头,ke'xi'tou
抠得很,kou'de'hen
窟子,ku'zi
款得很,kuan'de'hen
款天磕地,kuan'tian'ke'di
诳啷诳,kuang'lang'kuang
拉风,la'feng
拉家,la'jia
拉勒,la'le
拉们,la'men
拉们勒,la'men'le
老背背,lao'bei'bei
劳其,lao'qi
劳齐混杂,lao'qi'hun'za
劳其混杂,lao'qi'hun'za
喽嘛,lou'ma
噜子,lu'zi
啰哩八嗦,luo'li'ba'suo
绿映映,lv'ying'ying
妈勒个,ma'le'ge
妈哟,ma'yo
猫鞭,mao'bian
冒公鸡,mao'gong'ji
毛辣角,mao'la'jiao
冒皮皮,mao'pi'pi
媒倒,mei'dao
媒倒起,mei'dao'qi
没得,mei'de
霉石烂坎,mei'shi'lan'kan
霉拙拙,mei'zhuo'zhuo
闷骚,men'sao
棉毛裤,mian'mao'ku
母豆,mu'dou
拿翻,na'fan
拿客,na'ke
拿抓,na'zhua
闹得很,nao'de'hen
恼火,nao'huo
脑壳,nao'ke
脑壳脸包,nao'ke'lian'bao
哦豁,o'huo
哦勒,o'le
皮蛋,pi'dan
皮皮翻翻,pi'pi'fan'fan
屁眼疯,pi'yan'feng
瞥托,pie'tuo
婆娘,po'niang
铺金花,pu'jin'hua
气锤,qi'chui
七欺七,qi'qi'qi
千翻,qian'fan
悄悄眯眯,qiao'qiao'mi'mi
清一色,qing'yi'se
雀起,que'qi
群挖,qun'wa
日鼓鼓,ri'gu'gu
日眯掏眼,ri'mi'tao'yan
肉嘎嘎,rou'ga'ga
肉济济,rou'ji'ji
三字部,san'zi'bu
骚得很,sao'de'hen
杀角,sha'jiao
刹一脚,sha'yi'jiao
上电视,shang'dian'shi
上该,shang'gai
屎涨,shi'zhang
手杆,shou'gan
数数,shu'shu
厮儿,si'er
死胀,si'zhang
索索,suo'suo
太憨噢,tai'han'o
弹起,tan'qi
淌猫尿,tang'mao'niao
兔得很,tu'de'hen
拖孩,tuo'hai
坨坨,tuo'tuo
蛙王,wa'wang
蛙抓,wa'zhua
娃子,wa'zi
歪又,wai'you
万恶,wan'e
亡命,wang'ming
为哟,wei'yo
窝粑粑,wo'ba'ba
喔呵,wo'he
挝一脚,wo'yi'jiao
嘻尔不耻,xi'er'bu'chi
瞎眯科拖,xia'mi'ke'tuo
闲脸,xian'lian
香因,xiang'yin
相因,xiang'yin
晓球得,xiao'qiu'de
小厮儿,xiao'si'er
小崽,xiao'zai
新疆人,xin'jiang'ren
凶得很,xiong'de'hen
雄起,xiong'qi
虚火,xu'huo
牙巴丝丝个,ya'ba'si'si'ge
鸦雀,ya'que
严须,yan'xu
洋芋,yang'yu
要不得,yao'bu'de
妖登,yao'deng
幺二和三,yao'er'he'san
摇裤,yao'ku
妖闪,yao'shan
一踹脚,yi'chuai'jiao
一耳屎,yi'er'shi
一发四,yi'fa'si
一飞蹬,yi'fei'deng
一港港,yi'gang'gang
一拐子,yi'guai'zi
一哈哈,yi'ha'ha
依教,yi'jiao
一奈波,yi'nai'bo
一哦咯,yi'o'ge
一皮驼,yi'pi'tuo
一平射,yi'ping'she
一扑爬,yi'pu'pa
一窝脚,yi'wo'jiao
阴包谷,yin'bao'gu
喑倒,yin'dao
阴到点,yin'dao'dian
阴倒起,yin'dao'qi
咋搞嘞,za'gao'lei
咋个,za'ge
遭起,zao'qi
喳翻翻,zha'fan'fan
扎媒子,zha'mei'zi
扎煤子,zha'mei'zi
渣渣坡,zha'zha'po
张倒,zhang'dao
张求你,zhang'qiu'ni
爪脚爪手,zhao'jiao'zhao'shou
招凶,zhao'xiong
折耳根,zhe'er'gen
正二八斤,zheng'er'ba'jin
正一着二,zheng'yi'zhao'er
周正,zhou'zheng
装憨,zhuang'han
赘豁豁,zhui'huo'huo
资个,zi'ge
作怪,zuo'guai
做货,zuo'huo
