矮牵牛,ai'qian'niu
矮雪轮,ai'xue'lun
八齿瓣兰,ba'chi'ban'lan
白芨,bai'ji
白兰花,bai'lan'hua
百日草,bai'ri'cao
白头翁,bai'tou'weng
百子莲,bai'zi'lian
半支莲,ban'zhi'lian
薄包花,bao'bao'hua
报春花类,bao'chun'hua'lei
薄葵,bao'kui
贝母,bei'mu
变叶木,bian'ye'mu
玻利维亚秋海棠,bo'li'wei'ya'qiu'hai'tang
波斯菊,bo'si'ju
彩纹秋海棠,cai'wen'qiu'hai'tang
彩叶草,cai'ye'cao
长春花,chang'chun'hua
菖蒲,chang'pu
雏菊,chu'ju
春羽,chun'yu
慈菇,ci'gu
葱兰,cong'lan
翠菊,cui'ju
翠雀,cui'que
大花嘉特丽亚兰,da'hua'jia'te'li'ya'lan
大花剪秋罗,da'hua'jian'qiu'luo
大花君子兰,da'hua'jun'zi'lan
大花天竺葵,da'hua'tian'zhu'kui
大丽花,da'li'hua
大岩桐,da'yan'tong
大叶落地生根,da'ye'luo'di'sheng'gen
倒挂金钟,dao'gua'jin'zhong
地肤,di'fu
地中海蓝钟花,di'zhong'hai'lan'zhong'hua
吊兰,diao'lan
钓钟柳,diao'zhong'liu
吊竹梅,diao'zhu'mei
冬珊瑚,dong'shan'hu
豆蔻香天竺葵,dou'kou'xiang'tian'zhu'kui
兜兰,dou'lan
杜鹃,du'juan
蛾蝶花,e'die'hua
二藏报春,er'cang'bao'chun
番红花,fan'hong'hua
绯牡丹,fei'mu'dan
飞蓬,fei'peng
飞燕草,fei'yan'cao
非洲菊,fei'zhou'ju
非洲紫罗兰,fei'zhou'zi'luo'lan
凤梨科植物,feng'li'ke'zhi'wu
风铃草,feng'ling'cao
凤仙花,feng'xian'hua
风信子,feng'xin'zi
凤眼莲,feng'yan'lian
枫叶秋海棠,feng'ye'qiu'hai'tang
福禄考,fu'lu'kao
扶桑,fu'sang
狗尾红,gou'wei'hong
瓜叶菊,gua'ye'ju
观赏葱,guan'shang'cong
观赏辣椒,guan'shang'la'jiao
广东万年青,guang'dong'wan'nian'qing
龟背竹,gui'bei'zhu
桂竹香,gui'zhu'xiang
旱伞草,han'san'cao
含羞草,han'xiu'cao
荷包牡丹,he'bao'mu'dan
荷花,he'hua
荷兰菊,he'lan'ju
何氏凤仙,he'shi'feng'xian
鹤望兰,he'wang'lan
黑心菊,hei'xin'ju
红花石蒜,hong'hua'shi'suan
红花酢浆草,hong'hua'zuo'jiang'cao
红羽竹芋,hong'yu'zhu'yu
蝴蝶兰,hu'die'lan
虎尾兰,hu'wei'lan
虎眼万年青,hu'yan'wan'nian'qing
花菱草,hua'ling'cao
花毛茛,hua'mao'gen
花叶冷水花,hua'ye'leng'shui'hua
花叶万年青,hua'ye'wan'nian'qing
花叶芋,hua'ye'yu
花叶竹芋,hua'ye'zhu'yu
幌菊,huang'ju
黄秋葵,huang'qiu'kui
火鹤花,huo'he'hua
火炬花,huo'ju'hua
藿香蓟,huo'xiang'ji
鸡蛋花,ji'dan'hua
鸡冠花,ji'guan'hua
桔梗,jie'geng
金苞花,jin'bao'hua
金琥,jin'hu
金橘,jin'ju
锦葵,jin'kui
金莲花,jin'lian'hua
金粟兰,jin'su'lan
金鱼草,jin'yu'cao
金盏菊,jin'zhan'ju
景天,jing'tian
九里香,jiu'li'xiang
菊花,ju'hua
蕨类植物,jue'lei'zhi'wu
兰花类,lan'hua'lei
