八分,ba'fen
八卦村,ba'gua'cun
白沙屯,bai'sha'tun
北埔,bei'bu
北庄,bei'zhuang
伯公坑,bo'gong'keng
草寮,cao'liao
大安村,da'an'cun
大湖,da'hu
大坑,da'keng
大坪顶,da'ping'ding
大坪林,da'ping'lin
大山,da'shan
东河,dong'he
东坑,dong'keng
东盛,dong'sheng
番社,fan'she
丰田里,feng'tian'li
福基,fu'ji
高岭,gao'ling
观音亭,guan'yin'ting
海岸里,hai'an'li
海埔,hai'pu
和兴,he'xing
后龙溪,hou'long'xi
后龙镇,hou'long'zhen
虎山,hu'shan
尖山,jian'shan
锦水,jin'shui
栗林村,li'lin'cun
鲤鱼潭,li'yu'tan
龙港,long'gang
鹿湖,lu'hu
陆家,lu'jia
苗栗县,miao'li'xian
明德村,ming'de'cun
明德水库,ming'de'shui'ku
南和,nan'he
南湖,nan'hu
南湖村,nan'hu'cun
南势,nan'shi
南庄,nan'zhuang
内湾,nei'wan
埔顶,pu'ding
崎顶,qi'ding
清安,qing'an
三湾,san'wan
三义,san'yi
沙坑,sha'keng
沙坪,sha'ping
山边,shan'bian
上岛,shang'dao
上馆,shang'guan
神社,shen'she
石门,shi'men
石牌,shi'pai
石墙村,shi'qiang'cun
狮潭,shi'tan
狮头山,shi'tou'shan
石头湾,shi'tou'wan
石拓,shi'tuo
双坑,shuang'keng
水尾,shui'wei
四窝,si'wo
泰安,tai'an
潭内,tan'nei
谈文,tan'wen
天狗,tian'gou
田美,tian'mei
铜锣,tong'luo
通霄镇,tong'xiao'zhen
头份镇,tou'fen'zhen
头湖,tou'hu
头屋,tou'wu
外埔,wai'bu
湾瓦,wan'wa
五板桥,wu'ban'qiao
五福,wu'fu
五湖,wu'hu
西湖,xi'hu
仙山,xian'shan
小窝,xiao'wo
新华里,xin'hua'li
新埔,xin'pu
新庄,xin'zhuang
盐水坑,yan'shui'keng
玉田里,yu'tian'li
苑里镇,yuan'li'zhen
圆潭,yuan'tan
圆印,yuan'yin
造桥,zao'qiao
纸湖,zhi'hu
中平村,zhong'ping'cun
中埔,zhong'pu
中正里,zhong'zheng'li
竹林村,zhu'lin'cun
竹南镇,zhu'nan'zhen
卓兰镇,zhuo'lan'zhen
