掰谎记,bai'huang'ji
板儿,ban'er
伴鹤,ban'he
宝钗,bao'chai
宝钗扑蝶,bao'chai'pu'die
鲍二,bao'er
鲍二家的,bao'er'jia'de
鲍二媳妇,bao'er'xi'fu
抱琴,bao'qin
焙茗,bei'ming
碧纱橱,bi'sha'chu
跛足道人,bo'zu'dao'ren
卜固修,bu'gu'xiu
卜世仁,bu'shi'ren
才子佳人,cai'zi'jia'ren
长安都中,chang'an'dou'zhong
炒豆儿,chao'dou'er
程高本,cheng'gao'ben
程甲本,cheng'jia'ben
程伟元,cheng'wei'yuan
程乙本,cheng'yi'ben
敕造,chi'zao
敕造宁国府,chi'zao'ning'guo'fu
敕造荣国府,chi'zao'rong'guo'fu
锄药,chu'yao
翠缕,cui'lv
翠墨,cui'mo
大观园,da'guan'yuan
待书,dai'shu
黛玉,dai'yu
黛玉葬花,dai'yu'zang'hua
单聘仁,dan'pin'ren
稻香村,dao'xiang'cun
稻香老农,dao'xiang'lao'nong
灯姑娘,deng'gu'niang
菂官,di'guan
靛儿,dian'er
东府,dong'fu
荳官,dou'guan
多姑娘,duo'gu'niang
多浑虫,duo'hun'chong
二木头,er'mu'tou
芳官,fang'guan
丰儿,feng'er
凤姐,feng'jie
封氏,feng'shi
封肃,feng'su
风月宝鉴,feng'yue'bao'jian
富贵闲人,fu'gui'xian'ren
高鹗,gao'e
庚辰本,geng'chen'ben
狗儿,gou'er
癸酉本,gui'you'ben
海棠春睡图,hai'tang'chun'shui'tu
何婆,he'po
蘅芜君,heng'wu'jun
蘅芜苑,heng'wu'yuan
红玉,hong'yu
葫芦庙,hu'lu'miao
胡氏,hu'shi
花袭人,hua'xi'ren
花溆,hua'xu
花自芳,hua'zi'fang
会芳园,hui'fang'yuan
畸笏叟,ji'hu'sou
己卯本,ji'mao'ben
贾宝玉,jia'bao'yu
贾菖,jia'chang
甲辰本,jia'chen'ben
贾琮,jia'cong
贾代化,jia'dai'hua
贾代儒,jia'dai'ru
