八所,ba'suo
百花浴池,bai'hua'yu'chi
北门,bei'men
部队,bu'dui
村后,cun'hou
大梁小学,da'liang'xiao'xue
大十街,da'shi'jie
道岔厂,dao'cha'chang
道岔厂后门,dao'cha'chang'hou'men
得亨,de'heng
地税,di'shui
第一城,di'yi'cheng
电瓷厂,dian'ci'chang
淀粉厂,dian'fen'chang
电机厂,dian'ji'chang
电业局,dian'ye'ju
东城,dong'cheng
东吉市场,dong'ji'shi'chang
东林湾屯,dong'lin'wan'tun
东孟,dong'meng
东山,dong'shan
东山宾馆,dong'shan'bin'guan
东山影院,dong'shan'ying'yuan
东腰岭子,dong'yao'ling'zi
东站,dong'zhan
二酒厂,er'jiu'chang
丰收,feng'shou
富国,fu'guo
富国街,fu'guo'jie
福镇,fu'zhen
钢管厂,gang'guan'chang
高古,gao'gu
高力木,gao'li'mu
公安大厦,gong'an'da'sha
工商银行,gong'shang'yin'hang
工业学校,gong'ye'xue'xiao
国庆,guo'qing
红城,hong'cheng
红旗井,hong'qi'jing
红五星,hong'wu'xing
华泰,hua'tai
化校,hua'xiao
火车站,huo'che'zhan
家俱城,jia'ju'cheng
建材厂,jian'cai'chang
建新,jian'xin
交警支队,jiao'jing'zhi'dui
矿电支行,kuang'dian'zhi'hang
矿务局,kuang'wu'ju
老马市,lao'ma'shi
立交桥,li'jiao'qiao
联贸,lian'mao
辽源旅社,liao'yuan'lv'she
六塑,liu'su
龙泉酒厂,long'quan'jiu'chang
龙泉酒道口,long'quan'jiu'dao'kou
龙山区一建,long'shan'qu'yi'jian
煤机厂,mei'ji'chang
煤校后门,mei'xiao'hou'men
南大桥,nan'da'qiao
南环,nan'huan
农行,nong'hang
暖水科,nuan'shui'ke
汽车公司,qi'che'gong'si
汽电厂,qi'dian'chang
青山头屯,qing'shan'tou'tun
清饮厂,qing'yin'chang
三百,san'bai
山湾,shan'wan
商校,shang'xiao
胜利矿,sheng'li'kuang
十四厂,shi'si'chang
市委,shi'wei
市政府,shi'zheng'fu
十中,shi'zhong
市中心医院,shi'zhong'xin'yi'yuan
水线,shui'xian
四百,si'bai
四货运,si'huo'yun
太信电影院,tai'xin'dian'ying'yuan
太信一井,tai'xin'yi'jing
铁路宿舍,tie'lu'su'she
文化宫,wen'hua'gong
无线电九厂,wu'xian'dian'jiu'chang
无线电一厂,wu'xian'dian'yi'chang
西安街,xi'an'jie
西安矿,xi'an'kuang
西安区,xi'an'qu
西沟,xi'gou
西孟,xi'meng
县医院,xian'yi'yuan
新电厂,xin'dian'chang
兴国二队,xing'guo'er'dui
一建,yi'jian
一实验,yi'shi'yan
一制药,yi'zhi'yao
友谊,you'yi
造革厂,zao'ge'chang
制药厂,zhi'yao'chang
砖厂,zhuan'chang
