阿尔法拉法,a'er'fa'la'fa
把货物送到货舱任一点的能力,ba'huo'wu'song'dao'huo'cang'ren'yi'dian'de'neng'li
巴拿马,ba'na'ma
阪神,ban'shen
曝光测定术,bao'guang'ce'ding'shu
保全险,bao'quan'xian
备件,bei'jian
泵吸姓,beng'xi'xing
比例作用,bi'li'zuo'yong
舭龙骨湿水面积,bi'long'gu'shi'shui'mian'ji
并靠,bing'kao
并列,bing'lie
并列成一线,bing'lie'cheng'yi'xian
并排,bing'pai
丙酮,bing'tong
伯利兹,bo'li'zi
剥落,bo'luo
补充加速度,bu'chong'jia'su'du
不正常的,bu'zheng'chang'de
舱盖,cang'gai
舱室布置,cang'shi'bu'zhi
操纵性,cao'zong'xing
差动作用,cha'dong'zuo'yong
场吸收,chang'xi'shou
超临界的,chao'lin'jie'de
超热的,chao're'de
撤消,che'xiao
车钟,che'zhong
车钟记录薄,che'zhong'ji'lu'bao
承担费用,cheng'dan'fei'yong
承兑人,cheng'dui'ren
齿轮泵,chi'lun'beng
吃水,chi'shui
冲击能吸收器,chong'ji'neng'xi'shou'qi
冲蚀,chong'shi
抽象,chou'xiang
抽象的,chou'xiang'de
储能器,chu'neng'qi
初始加速度,chu'shi'jia'su'du
初转能力,chu'zhuan'neng'li
船舶常数,chuan'bo'chang'shu
船厂,chuan'chang
船东代表,chuan'dong'dai'biao
船级社,chuan'ji'she
穿甲性,chuan'jia'xing
船龄,chuan'ling
川崎汽船,chuan'qi'qi'chuan
船艏,chuan'shou
船首加速度,chuan'shou'jia'su'du
船首住舱,chuan'shou'zhu'cang
船尾住舱,chuan'wei'zhu'cang
船尾装卸通道,chuan'wei'zhuang'xie'tong'dao
船务,chuan'wu
船舷边装卸通道,chuan'xian'bian'zhuang'xie'tong'dao
船员舱,chuan'yuan'cang
船长,chuan'zhang
船长室,chuan'zhang'shi
垂直加速度,chui'zhi'jia'su'du
垂直减震装置,chui'zhi'jian'zhen'zhuang'zhi
促进剂,cu'jin'ji
催蚀剂,cui'shi'ji
催速剂,cui'su'ji
存储器,cun'chu'qi
大车,da'che
大厨,da'chu
大地吸收,da'di'xi'shou
大舵角回转性能,da'duo'jiao'hui'zhuan'xing'neng
大副,da'fu
大气吸收,da'qi'xi'shou
大台,da'tai
大桅,da'wei
带通电路,dai'tong'dian'lu
等待,deng'dai
灯火管制,deng'huo'guan'zhi
地面吸收,di'mian'xi'shou
电磁,dian'ci
电磁法拉,dian'ci'fa'la
电磁伏特,dian'ci'fu'te
电磁亨利,dian'ci'heng'li
电磁库仑,dian'ci'ku'lun
电磁欧姆,dian'ci'ou'mu
电磁西门子,dian'ci'xi'men'zi
电镀作用,dian'du'zuo'yong
点火加速器,dian'huo'jia'su'qi
电解作用,dian'jie'zuo'yong
电子声学,dian'zi'sheng'xue
电子调速器,dian'zi'tiao'su'qi
电阻,dian'zu
吊锚,diao'mao
吊锚状态,diao'mao'zhuang'tai
顶板,ding'ban
顶杆,ding'gan
定位,ding'wei
定位能力,ding'wei'neng'li
东方海外,dong'fang'hai'wai
动力减震器,dong'li'jian'zhen'qi
短暂加速度,duan'zan'jia'su'du
对流加速度,dui'liu'jia'su'du
对目标的搜索杀伤能力,dui'mu'biao'de'sou'suo'sha'shang'neng'li
舵机房,duo'ji'fang
舵令,duo'ling
舵作用,duo'zuo'yong
二副,er'fu
二进制电子计算机,er'jin'zhi'dian'zi'ji'suan'ji
二水,er'shui
二氧化碳吸收剂,er'yang'hua'tan'xi'shou'ji
二氧化碳吸收体,er'yang'hua'tan'xi'shou'ti
发动机加速,fa'dong'ji'jia'su
发散,fa'san
反常,fan'chang
反常的,fan'chang'de
方便旗,fang'bian'qi
防腐的,fang'fu'de
防腐蚀,fang'fu'shi
放弃,fang'qi
放弃货载,fang'qi'huo'zai
放弃者,fang'qi'zhe
放射能力,fang'she'neng'li
放射性,fang'she'xing
放射性物质吸收体,fang'she'xing'wu'zhi'xi'shou'ti
防蚀的,fang'shi'de
废除,fei'chu
飞机,fei'ji
废井,fei'jing
飞轮,fei'lun
飞行器,fei'xing'qi
飞重,fei'zhong
分辨能力,fen'bian'neng'li
分离,fen'li
分水机,fen'shui'ji
分油机,fen'you'ji
分杂机,fen'za'ji
风加速度,feng'jia'su'du
风力增强,feng'li'zeng'qiang
封水环,feng'shui'huan
封水块,feng'shui'kuai
辅机,fu'ji
副机,fu'ji
负加速度,fu'jia'su'du
辐射吸收,fu'she'xi'shou
辐射仪,fu'she'yi
复位动作,fu'wei'dong'zuo
复原能力,fu'yuan'neng'li
扶正能力,fu'zheng'neng'li
改变航向到,gai'bian'hang'xiang'dao
改变航向性能,gai'bian'hang'xiang'xing'neng
感光计,gan'guang'ji
港口国监督检查,gang'kou'guo'jian'du'jian'cha
港口容纳量,gang'kou'rong'na'liang
港口设备,gang'kou'she'bei
缸套,gang'tao
港调,gang'tiao
高级船员舱,gao'ji'chuan'yuan'cang
高积云,gao'ji'yun
高压油泵,gao'ya'you'beng
高压油管,gao'ya'you'guan
格兰粉,ge'lan'fen
功率因数,gong'lv'yin'shu
共振吸收,gong'zhen'xi'shou
故障,gu'zhang
冠板,guan'ban
管事,guan'shi
光化度,guang'hua'du
光化性,guang'hua'xing
光化作用,guang'hua'zuo'yong
光能测定仪,guang'neng'ce'ding'yi
光线强度计,guang'xian'qiang'du'ji
光行差,guang'xing'cha
过荷传感器,guo'he'chuan'gan'qi
锅炉辅助设备,guo'lu'fu'zhu'she'bei
锅炉水酸性,guo'lu'shui'suan'xing
锅炉自动控制,guo'lu'zi'dong'kong'zhi
海盗,hai'dao
海蚀,hai'shi
海事,hai'shi
海图,hai'tu
海啸,hai'xiao
海洋学协调管理委员会,hai'yang'xue'xie'tiao'guan'li'wei'yuan'hui
焊接辅助设备,han'jie'fu'zhu'she'bei
航标失常,hang'biao'shi'chang
航程,hang'cheng
航道,hang'dao
航海日志,hang'hai'ri'zhi
航海性能,hang'hai'xing'neng
航空母舰,hang'kong'mu'jian
航向保持能力,hang'xiang'bao'chi'neng'li
航行距离,hang'xing'ju'li
合格的,he'ge'de
核吸收,he'xi'shou
横队,heng'dui
横风,heng'feng
恒加速度,heng'jia'su'du
横排,heng'pai
横向,heng'xiang
横向堆列,heng'xiang'dui'lie
横坐标,heng'zuo'biao
互换性,hu'huan'xing
花铁板,hua'tie'ban
化学吸收,hua'xue'xi'shou
缓冲,huan'chong
缓冲器,huan'chong'qi
缓和,huan'he
还价,huan'jia
环流加速度,huan'liu'jia'su'du
环形吸收体,huan'xing'xi'shou'ti
环氧树脂,huan'yang'shu'zhi
还原能力,huan'yuan'neng'li
还原作用,huan'yuan'zuo'yong
活化剂,huo'hua'ji
活期存款,huo'qi'cun'kuan
活塞环,huo'sai'huan
活塞裙,huo'sai'qun
活塞式减震器,huo'sai'shi'jian'zhen'qi
活塞头,huo'sai'tou
活性碳吸收剂,huo'xing'tan'xi'shou'ji
机舱,ji'cang
机动性,ji'dong'xing
机工,ji'gong
系紧螺栓,ji'jin'luo'shuan
激励器,ji'li'qi
计算高度,ji'suan'gao'du
计算机自动控制电子扫描系统,ji'suan'ji'zi'dong'kong'zhi'dian'zi'sao'miao'xi'tong
计算书,ji'suan'shu
机械调速器,ji'xie'tiao'su'qi
机械维修空间,ji'xie'wei'xiu'kong'jian
机械轴封,ji'xie'zhou'feng
甲板下住舱,jia'ban'xia'zhu'cang
甲电池,jia'dian'chi
加热作用,jia're'zuo'yong
