必乃呀,bi'nai'ya
撺拐,cuan'guai
淡求事,dan'qiu'shi
恩外,en'wai
方主,fang'zhu
嘎人,ga'ren
盖窝,gai'wo
个混,ge'hun
各就,ge'jiu
个跑,ge'pao
各装,ge'zhuang
鬼嚼,gui'jiao
欢欢儿,huan'huan'er
将将儿,jiang'jiang'er
嚼毛,jiao'mao
克量,ke'liang
老门,lao'men
落毛,luo'mao
茅庆,mao'qing
乃刀货,nai'dao'huo
耐夜儿,nai'ye'er
爬常,pa'chang
呛棒,qiang'bang
日脏,ri'zang
拾翻,shi'fan
歇心,xie'xin
行见,xing'jian
夜来,ye'lai
抓个来,zhua'ge'lai
抓门,zhua'men
抓呀,zhua'ya
