白苎派,bai'zhu'pai
悲欢离合剧,bei'huan'li'he'ju
本色派,ben'shai'pai
钹刀赶棒剧,bo'dao'gan'bang'ju
草堂体,cao'tang'ti
承安体,cheng'an'ti
叱奸骂谗剧,chi'jian'ma'chan'ju
楚江体,chu'jiang'ti
丹丘体,dan'qiu'ti
道学家派,dao'xue'jia'pai
东吴体,dong'wu'ti
风花雪月剧,feng'hua'xue'yue'ju
格律派,ge'lv'pai
古杭书会,gu'hang'shu'hui
关马郑白,guan'ma'zheng'bai
闺怨杂剧,gui'yuan'za'ju
花旦杂剧,hua'dan'za'ju
淮南体,huai'nan'ti
黄冠体,huang'guan'ti
驾头杂剧,jia'tou'za'ju
江东体,jiang'dong'ti
九山书会,jiu'shan'shu'hui
君臣杂剧,jun'chen'za'ju
康王,kang'wang
昆山派,kun'shan'pai
临川派,lin'chuan'pai
绿林杂剧,lu'lin'za'ju
南洪北孔,nan'hong'bei'kong
俳优体,pai'you'ti
披袍秉笏剧,pi'pao'bing'hu'ju
骈绮派,pian'qi'pai
三张,san'zhang
骚人体,sao'ren'ti
神佛杂剧,shen'fo'za'ju
沈氏三凤,shen'shi'san'feng
神头鬼面剧,shen'tou'gui'mian'ju
神仙道化剧,shen'xian'dao'hua'ju
盛元体,sheng'yuan'ti
苏州派,su'zhou'pai
脱膊杂剧,tuo'bo'za'ju
文辞家派,wen'ci'jia'pai
吴江派,wu'jiang'pai
武林书会,wu'lin'shu'hui
吴下四子,wu'xia'si'zi
吴中派,wu'zhong'pai
西江体,xi'jiang'ti
香奁体,xiang'lian'ti
孝义廉节剧,xiao'yi'lian'jie'ju
烟花粉黛剧,yan'hua'fen'dai'ju
隐居乐道剧,yin'ju'le'dao'ju
永嘉书会,yong'jia'shu'hui
玉茗堂派,yu'ming'tang'pai
玉堂体,yu'tang'ti
元曲四大家,yuan'qu'si'da'jia
乐府十五家,yue'fu'shi'wu'jia
