安大,an'da
安大磬院校区,an'da'qing'yuan'xiao'qu
安徽大学,an'hui'da'xue
安徽大学磬院校区,an'hui'da'xue'qing'yuan'xiao'qu
八角楼,ba'jiao'lou
博北,bo'bei
博南,bo'nan
博学北楼,bo'xue'bei'lou
博学南楼,bo'xue'nan'lou
大活,da'huo
大活多功能厅,da'huo'duo'gong'neng'ting
电院,dian'yuan
电子信息工程学院,dian'zi'xin'xi'gong'cheng'xue'yuan
法学院,fa'xue'yuan
枫园,feng'yuan
管理学院,guan'li'xue'yuan
管院,guan'yuan
桂圆,gui'yuan
化学化工学院,hua'xue'hua'gong'xue'yuan
槐园,huai'yuan
蕙园,hui'yuan
计算机科学与技术,ji'suan'ji'ke'xue'yu'ji'shu
经济学院,jing'ji'xue'yuan
桔园,ju'yuan
历史系,li'shi'xi
李园,li'yuan
榴园,liu'yuan
梅园,mei'yuan
鸣磬广场,ming'qing'guang'chang
情人谷,qing'ren'gu
情人坑,qing'ren'keng
磬苑广场,qing'yuan'guang'chang
商学院,shang'xue'yuan
社会与政治学院,she'hui'yu'zheng'zhi'xue'yuan
生命科学学院,sheng'ming'ke'xue'xue'yuan
数学科学学院,shu'xue'ke'xue'xue'yuan
数学院,shu'xue'yuan
松园,song'yuan
桃园,tao'yuan
图书馆报告厅,tu'shu'guan'bao'gao'ting
外语学院,wai'yu'xue'yuan
外院,wai'yuan
文典阁,wen'dian'ge
文典学院,wen'dian'xue'yuan
文学院,wen'xue'yuan
物理与材料科学学院,wu'li'yu'cai'liao'ke'xue'xue'yuan
西门大柱子,xi'men'da'zhu'zi
新闻传播学院,xin'wen'chuan'bo'xue'yuan
杏园,xing'yuan
行知楼,xing'zhi'lou
艺术学院,yi'shu'xue'yuan
哲学系,zhe'xue'xi
竹园,zhu'yuan
资环,zi'huan
资源与环境工程学院,zi'yuan'yu'huan'jing'gong'cheng'xue'yuan
