地风升,di'feng'sheng
地火明夷,di'huo'ming'yi
地雷复,di'lei'fu
地山谦,di'shan'qian
地水师,di'shui'shi
地天泰,di'tian'tai
地泽临,di'ze'lin
兑宫八卦属金,dui'gong'ba'gua'shu'jin
风地观,feng'di'guan
风火家人,feng'huo'jia'ren
风雷益,feng'lei'yi
风山渐,feng'shan'jian
风水涣,feng'shui'huan
风天小畜,feng'tian'xiao'chu
风泽中孚,feng'ze'zhong'fu
父母辰土,fu'mu'chen'tu
父母辰土世,fu'mu'chen'tu'shi
父母辰土应,fu'mu'chen'tu'ying
父母丑土,fu'mu'chou'tu
父母丑土世,fu'mu'chou'tu'shi
父母丑土应,fu'mu'chou'tu'ying
父母亥水,fu'mu'hai'shui
父母亥水世,fu'mu'hai'shui'shi
父母亥水应,fu'mu'hai'shui'ying
父母卯木,fu'mu'mao'mu
父母申金,fu'mu'shen'jin
父母申金世,fu'mu'shen'jin'shi
父母申金应,fu'mu'shen'jin'ying
父母巳火,fu'mu'si'huo
父母巳火应,fu'mu'si'huo'ying
父母未土,fu'mu'wei'tu
父母未土世,fu'mu'wei'tu'shi
父母未土应,fu'mu'wei'tu'ying
父母午火,fu'mu'wu'huo
父母午火世,fu'mu'wu'huo'shi
父母戌土,fu'mu'xu'tu
父母戌土世,fu'mu'xu'tu'shi
父母戌土应,fu'mu'xu'tu'ying
父母寅木,fu'mu'yin'mu
父母寅木应,fu'mu'yin'mu'ying
父母酉金,fu'mu'you'jin
父母酉金应,fu'mu'you'jin'ying
父母子水,fu'mu'zi'shui
父母子水世,fu'mu'zi'shui'shi
父母子水应,fu'mu'zi'shui'ying
艮宫八卦属土,gen'gong'ba'gua'shu'tu
艮为山,gen'wei'shan
官鬼辰土,guan'gui'chen'tu
官鬼丑土,guan'gui'chou'tu
官鬼丑土世,guan'gui'chou'tu'shi
官鬼丑土应,guan'gui'chou'tu'ying
官鬼亥水世,guan'gui'hai'shui'shi
官鬼亥水应,guan'gui'hai'shui'ying
官鬼卯木,guan'gui'mao'mu
官鬼卯木世,guan'gui'mao'mu'shi
官鬼卯木应,guan'gui'mao'mu'ying
官鬼申金,guan'gui'shen'jin
官鬼申金应,guan'gui'shen'jin'ying
官鬼巳火,guan'gui'si'huo
官鬼巳火世,guan'gui'si'huo'shi
官鬼巳火应,guan'gui'si'huo'ying
官鬼未土,guan'gui'wei'tu
官鬼午火,guan'gui'wu'huo
官鬼午火世,guan'gui'wu'huo'shi
官鬼午火应,guan'gui'wu'huo'ying
官鬼戌土,guan'gui'xu'tu
官鬼戌土应,guan'gui'xu'tu'ying
官鬼寅木,guan'gui'yin'mu
官鬼寅木世,guan'gui'yin'mu'shi
官鬼寅木应,guan'gui'yin'mu'ying
官鬼酉金,guan'gui'you'jin
官鬼酉金世,guan'gui'you'jin'shi
官鬼酉金应,guan'gui'you'jin'ying
官鬼子水,guan'gui'zi'shui
火地晋,huo'di'jin
火风鼎,huo'feng'ding
火雷筮嗑,huo'lei'shi'ke
火山旅,huo'shan'lv
