百鬼蝙蝠,bai'gui'bian'fu
白角,bai'jiao
白童子,bai'tong'zi
白无,bai'wu
白心上人,bai'xin'shang'ren
半妖,ban'yao
爆碎牙,bao'sui'ya
爆碎牙瞬杀,bao'sui'ya'shun'sha
宝仙鬼,bao'xian'gui
北条秋时,bei'tiao'qiu'shi
匕首,bi'shou
变身,bian'shen
苍天,cang'tian
刹那猛丸,cha'na'meng'wan
产生结界,chan'sheng'jie'jie
长弓,chang'gong
菖蒲,chang'pu
长刃剃刀,chang'ren'ti'dao
长生不老之身,chang'sheng'bu'lao'zhi'shen
车罗罗,che'luo'luo
池塘妖怪,chi'tang'yao'guai
赤子,chi'zi
臭气弹,chou'qi'dan
触手,chu'shou
除妖师,chu'yao'shi
出云,chu'yun
春岚,chun'lan
丛云牙,cong'yun'ya
催眠术,cui'mian'shu
翠子,cui'zi
刀刀斋,dao'dao'zhai
地念儿,di'nian'er
地形变动,di'xing'bian'dong
冬岚,dong'lan
斗鬼神,dou'gui'shen
斗牙王,dou'ya'wang
毒粉,du'fen
毒华爪,du'hua'zhao
二枯仙,er'ku'xian
发夹,fa'jia
发槛,fa'kan
发笼,fa'long
法师,fa'shi
法杖,fa'zhang
防御火,fang'yu'huo
防御结界,fang'yu'jie'jie
飞来骨,fei'lai'gu
飞轮,fei'lun
飞刃血爪,fei'ren'xue'zhao
飞天,fei'tian
飞行,fei'xing
分身,fen'shen
风的使者,feng'de'shi'zhe
枫姥姥,feng'lao'lao
风使神乐,feng'shi'shen'le
风穴,feng'xue
封印术,feng'yin'shu
封印之矢,feng'yin'zhi'shi
风之伤,feng'zhi'shang
复活的死人,fu'huo'de'si'ren
钢牙,gang'ya
攻击反弹,gong'ji'fan'tan
攻击衰退,gong'ji'shuai'tui
弓箭,gong'jian
雇佣兵,gu'yong'bing
怪灵魂,guai'ling'hun
光鞭,guang'bian
光之移动,guang'zhi'yi'dong
鬼火发,gui'huo'fa
鬼蜘蛛,gui'zhi'zhu
和魂全满,he'hun'quan'man
红霞短刀,hong'xia'duan'dao
红衣带,hong'yi'dai
琥珀,hu'po
狐妖,hu'yao
狐妖术,hu'yao'shu
幻术,huan'shu
幻影无效化,huan'ying'wu'xiao'hua
荒魂全满,huang'hun'quan'man
灰刃坊,hui'ren'fang
火球,huo'qiu
火鼠裘,huo'shu'qiu
火药,huo'yao
急救箱,ji'jiu'xiang
技术屋,ji'shu'wu
剑压,jian'ya
桔梗,jie'geng
结界,jie'jie
结界无效化,jie'jie'wu'xiao'hua
结罗,jie'luo
金刚枪破,jin'gang'qiang'po
净化,jing'hua
净化妖,jing'hua'yao
净化之矢,jing'hua'zhi'shi
镜子,jing'zi
聚灵术,ju'ling'shu
巨犬化,ju'quan'hua
砍杀队长,kan'sha'dui'zhang
傀儡之术,kui'lei'zhi'shu
狼野干,lang'ye'gan
乐之舞,le'zhi'wu
雷击刃,lei'ji'ren
雷兽兄弟,lei'shou'xiong'di
雷兽一族,lei'shou'yi'zu
里陶,li'tao
镰刀,lian'dao
炼骨,lian'gu
炼狱鬼,lian'yu'gui
灵魂,ling'hun
灵力反弹,ling'li'fan'tan
凌月仙姬,ling'yue'xian'ji
龙骨精,long'gu'jing
玛瑙丸,ma'nao'wan
蛮骨,man'gu
蛮龙大矛,man'long'da'mao
满天,man'tian
猫王,mao'wang
梦幻之白夜,meng'huan'zhi'bai'ye
弥勒,mi'le
弥勒法师,mi'le'fa'shi
冥道残月破,ming'dao'can'yue'po
冥加,ming'jia
冥加奶奶,ming'jia'nai'nai
冥加爷爷,ming'jia'ye'ye
明镜封印,ming'jing'feng'yin
