八进制,ba'jin'zhi
保险丝,bao'xian'si
被试品,bei'shi'pin
备用容量,bei'yong'rong'liang
避雷器,bi'lei'qi
避雷线,bi'lei'xian
变比,bian'bi
变电站,bian'dian'zhan
表面击穿,biao'mian'ji'chuan
并联电抗器,bing'lian'dian'kang'qi
玻璃绝缘子,bo'li'jue'yuan'zi
波头尾,bo'tou'wei
波头尾电阻,bo'tou'wei'dian'zu
波阻抗,bo'zu'kang
不间断电源,bu'jian'duan'dian'yuan
不均匀场,bu'jun'yun'chang
残余电容,can'yu'dian'rong
操动机构,cao'dong'ji'gou
操作过电压,cao'zuo'guo'dian'ya
测量互感器,ce'liang'hu'gan'qi
差动保护,cha'dong'bao'hu
常规试验,chang'gui'shi'yan
场畸变,chang'ji'bian
场强,chang'qiang
场梯度,chang'ti'du
场致发射,chang'zhi'fa'she
超高压,chao'gao'ya
潮流,chao'liu
潮湿,chao'shi
充电阻尼电阻,chong'dian'zu'ni'dian'zu
重合闸,chong'he'zha
冲击电流,chong'ji'dian'liu
冲击闪络,chong'ji'shan'luo
充油电力电缆,chong'you'dian'li'dian'lan
抽水蓄能电站,chou'shui'xu'neng'dian'zhan
触发电极,chu'fa'dian'ji
出线,chu'xian
串并联补偿,chuan'bing'lian'bu'chang
串级变压器,chuan'ji'bian'ya'qi
传输线,chuan'shu'xian
磁场,ci'chang
伺服系统,ci'fu'xi'tong
单母线,dan'mu'xian
单母线带旁路,dan'mu'xian'dai'pang'lu
导线,dao'xian
倒闸操作,dao'zha'cao'zuo
第三绕组,di'san'rao'zu
地下电缆,di'xia'dian'lan
电场,dian'chang
电场力,dian'chang'li
电场强度,dian'chang'qiang'du
电磁兼容,dian'ci'jian'rong
电动机,dian'dong'ji
电负性气体,dian'fu'xing'qi'ti
电感,dian'gan
电工理论,dian'gong'li'lun
电弧重燃,dian'hu'chong'ran
电弧放电,dian'hu'fang'dian
电化学腐蚀,dian'hua'xue'fu'shi
电机,dian'ji
电击穿,dian'ji'chuan
电介质绝缘体,dian'jie'zhi'jue'yuan'ti
电抗,dian'kang
电抗的无功的,dian'kang'de'wu'gong'de
电抗器,dian'kang'qi
电力,dian'li
电力变压器,dian'li'bian'ya'qi
电力电容,dian'li'dian'rong
电力电子,dian'li'dian'zi
电力网络,dian'li'wang'luo
电力系统,dian'li'xi'tong
电力系统仿真,dian'li'xi'tong'fang'zhen
电力系统稳态分析,dian'li'xi'tong'wen'tai'fen'xi
电力系统暂态分析,dian'li'xi'tong'zan'tai'fen'xi
电力线载波,dian'li'xian'zai'bo
电流,dian'liu
电流表,dian'liu'biao
电流互感器,dian'liu'hu'gan'qi
电路原理,dian'lu'yuan'li
电气工程师学会,dian'qi'gong'cheng'shi'xue'hui
电容,dian'rong
电容器组,dian'rong'qi'zu
电枢,dian'shu
电刷,dian'shua
电压,dian'ya
电压并列,dian'ya'bing'lie
电压互感器,dian'ya'hu'gan'qi
电晕,dian'yun
电子崩,dian'zi'beng
调度员,diao'du'yuan
定子,ding'zi
动触头,dong'chu'tou
动势能,dong'shi'neng
动态稳定性,dong'tai'wen'ding'xing
断电,duan'dian
短路比,duan'lu'bi
短路故障,duan'lu'gu'zhang
断路器,duan'lu'qi
短路试验,duan'lu'shi'yan
对地电容,dui'di'dian'rong
多级变压器,duo'ji'bian'ya'qi
多油断路器,duo'you'duan'lu'qi
额定,e'ding
二进制,er'jin'zhi
发电机,fa'dian'ji
发光二极管,fa'guang'er'ji'guan
反电势,fan'dian'shi
反向峰值电压,fan'xiang'feng'zhi'dian'ya
放电,fang'dian
非破坏性试验,fei'po'huai'xing'shi'yan
分接头,fen'jie'tou
分时电价,fen'shi'dian'jia
分相操作,fen'xiang'cao'zuo
分压器,fen'ya'qi
分压器分压比,fen'ya'qi'fen'ya'bi
峰荷,feng'he
峰值电压表,feng'zhi'dian'ya'biao
负离子,fu'li'zi
复压过流保护,fu'ya'guo'liu'bao'hu
附着系数,fu'zhuo'xi'shu
感应,gan'ying
钢芯铝绞线,gang'xin'lv'jiao'xian
高电压工程,gao'dian'ya'gong'cheng
高电压试验技术,gao'dian'ya'shi'yan'ji'shu
隔离开关,ge'li'kai'guan
功率,gong'lv
功率因数,gong'lv'yin'shu
工频突变量保护,gong'pin'tu'bian'liang'bao'hu
工频续流,gong'pin'xu'liu
固定可动叶片,gu'ding'ke'dong'ye'pian
光电发射,guang'dian'fa'she
光纤纵差,guang'xian'zong'cha
光子,guang'zi
硅橡胶,gui'xiang'jiao
过电压,guo'dian'ya
国际标准化组织,guo'ji'biao'zhun'hua'zu'zhi
过激磁保护,guo'ji'ci'bao'hu
国际电工技术委员会,guo'ji'dian'gong'ji'shu'wei'yuan'hui
过励磁保护,guo'li'ci'bao'hu
过流保护,guo'liu'bao'hu
锅炉,guo'lu
过热器,guo're'qi
合成绝缘子,he'cheng'jue'yuan'zi
核电站,he'dian'zhan
护环,hu'huan
滑环,hua'huan
换流器,huan'liu'qi
换流站,huan'liu'zhan
环网系统,huan'wang'xi'tong
