保卫处,bao'wei'chu
北区,bei'qu
北校区综合管理中心,bei'xiao'qu'zong'he'guan'li'zhong'xin
毕业生就业指导中心,bi'ye'sheng'jiu'ye'zhi'dao'zhong'xin
博雅湖,bo'ya'hu
材料工程学院,cai'liao'gong'cheng'xue'yuan
材料科学与工程学院,cai'liao'ke'xue'yu'gong'cheng'xue'yuan
材料学院,cai'liao'xue'yuan
财务处,cai'wu'chu
成人教育学院,cheng'ren'jiao'yu'xue'yuan
城市学院,cheng'shi'xue'yuan
第二临床学院,di'er'lin'chuang'xue'yuan
第三临床学院,di'san'lin'chuang'xue'yuan
第一临床学院,di'yi'lin'chuang'xue'yuan
电气工程学院,dian'qi'gong'cheng'xue'yuan
电气学院,dian'qi'xue'yuan
东校区综合管理中心,dong'xiao'qu'zong'he'guan'li'zhong'xin
笃信仁厚,du'xin'ren'hou
笃信仁厚慎思勤勉,du'xin'ren'hou'shen'si'qin'mian
二期生活区,er'qi'sheng'huo'qu
二期生活园区,er'qi'sheng'huo'yuan'qu
二区,er'qu
法学院,fa'xue'yuan
佛罗里达国际学院,fo'luo'li'da'guo'ji'xue'yuan
佛罗里达学院,fo'luo'li'da'xue'yuan
高等教育研究所,gao'deng'jiao'yu'yan'jiu'suo
工程力学系,gong'cheng'li'xue'xi
工大,gong'da
公共管理学院,gong'gong'guan'li'xue'yuan
公共卫生学院,gong'gong'wei'sheng'xue'yuan
公管院,gong'guan'yuan
工力,gong'li
工学院,gong'xue'yuan
管工系,guan'gong'xi
管理工程,guan'li'gong'cheng
管理工程系,guan'li'gong'cheng'xi
管理系,guan'li'xi
国际交流与合作处,guo'ji'jiao'liu'yu'he'zuo'chu
国际教育学院,guo'ji'jiao'yu'xue'yuan
国有资产管理处,guo'you'zi'chan'guan'li'chu
河南医科大学,he'nan'yi'ke'da'xue
核心教学区,he'xin'jiao'xue'qu
核心区,he'xin'qu
河医,he'yi
河医大,he'yi'da
荷园,he'yuan
后备军官选培办,hou'bei'jun'guan'xuan'pei'ban
后勤管理处,hou'qin'guan'li'chu
护理学院,hu'li'xue'yuan
化工学院,hua'gong'xue'yuan
化学工程学院,hua'xue'gong'cheng'xue'yuan
化学系,hua'xue'xi
环境与水利学院,huan'jing'yu'shui'li'xue'yuan
环水学院,huan'shui'xue'yuan
基础医学院,ji'chu'yi'xue'yuan
计划生育办公室,ji'hua'sheng'yu'ban'gong'shi
基建处,ji'jian'chu
机械工程学院,ji'xie'gong'cheng'xue'yuan
机械学院,ji'xie'xue'yuan
建筑学院,jian'zhu'xue'yuan
教材供应中心,jiao'cai'gong'ying'zhong'xin
教务处,jiao'wu'chu
教学评估办公室,jiao'xue'ping'gu'ban'gong'shi
教育技术中心,jiao'yu'ji'shu'zhong'xin
教育学院,jiao'yu'xue'yuan
菊园,ju'yuan
科研处,ke'yan'chu
口腔医学院,kou'qiang'yi'xue'yuan
老工大,lao'gong'da
老医大,lao'yi'da
理工教学区,li'gong'jiao'xue'qu
理工区,li'gong'qu
历史学院,li'shi'xue'yuan
离退休职工工作处,li'tui'xiu'zhi'gong'gong'zuo'chu
临床医学系,lin'chuang'yi'xue'xi
柳园,liu'yuan
旅管院,lv'guan'yuan
旅游管理学院,lv'you'guan'li'xue'yuan
眉湖,mei'hu
美术系,mei'shu'xi
南门广场,nan'men'guang'chang
南区,nan'qu
南校区综合管理中心,nan'xiao'qu'zong'he'guan'li'zhong'xin
女性维权中心,nv'xing'wei'quan'zhong'xin
人才交流中心,ren'cai'jiao'liu'zhong'xin
人事处,ren'shi'chu
人文区,ren'wen'qu
人文社科区,ren'wen'she'ke'qu
软件技术学院,ruan'jian'ji'shu'xue'yuan
三期生活区,san'qi'sheng'huo'qu
三期生活园区,san'qi'sheng'huo'yuan'qu
三区,san'qu
商学院,shang'xue'yuan
社科区,she'ke'qu
审计处,shen'ji'chu
升达,sheng'da
