阿尔法系数,a'er'fa'xi'shu
保本对冲基金,bao'ben'dui'chong'ji'jin
被动式管理,bei'dong'shi'guan'li
贝他系数,bei'ta'xi'shu
毕苏期权定价模式,bi'su'qi'quan'ding'jia'mo'shi
表现费,biao'xian'fei
标准差,biao'zhun'cha
濒临破产的,bin'lin'po'chan'de
波幅,bo'fu
长,chang
长仓,chang'cang
承受风险能力,cheng'shou'feng'xian'neng'li
持货,chi'huo
揣测最佳时机,chuai'ce'zui'jia'shi'ji
传统基金,chuan'tong'ji'jin
单位,dan'wei
单位信托基金,dan'wei'xin'tuo'ji'jin
单一对冲基金,dan'yi'dui'chong'ji'jin
地区基金,di'qu'ji'jin
跌势差,die'shi'cha
定息工具套戥,ding'xi'gong'ju'tao'deng
定息基金,ding'xi'ji'jin
短仓,duan'cang
短仓持股,duan'cang'chi'gu
对冲,dui'chong
对冲基金,dui'chong'ji'jin
对冲基金的基金,dui'chong'ji'jin'de'ji'jin
对冲基金指引,dui'chong'ji'jin'zhi'yin
非认可基金,fei'ren'ke'ji'jin
分散投资,fen'san'tou'zi
封闭式基金,feng'bi'shi'ji'jin
杠杆,gang'gan
杠杆借贷比率,gang'gan'jie'dai'bi'lv
高收益,gao'shou'yi
公积金计划,gong'ji'jin'ji'hua
供款,gong'kuan
股份,gu'fen
沽空,gu'kong
股票基金,gu'piao'ji'jin
股息分派,gu'xi'fen'pai
雇员供款,gu'yuan'gong'kuan
雇主供款,gu'zhu'gong'kuan
管理费,guan'li'fei
好仓,hao'cang
合并套戥,he'bing'tao'deng
互惠基金,hu'hui'ji'jin
环球宏观,huan'qiu'hong'guan
环球基金,huan'qiu'ji'jin
基金公会,ji'jin'gong'hui
基金经理,ji'jin'jing'li
基金销售文件,ji'jin'xiao'shou'wen'jian
基准,ji'zhun
奖励费,jiang'li'fei
界定供款计划,jie'ding'gong'kuan'ji'hua
界定利益计划,jie'ding'li'yi'ji'hua
进取型的投资管理,jin'qu'xing'de'tou'zi'guan'li
进取型增长基金,jin'qu'xing'zeng'zhang'ji'jin
绝对回报,jue'dui'hui'bao
均衡基金,jun'heng'ji'jin
开放式基金,kai'fang'shi'ji'jin
可换股,ke'huan'gu
离岸基金,li'an'ji'jin
另类投资,ling'lei'tou'zi
卖出价,mai'chu'jia
买卖差价,mai'mai'cha'jia
买入费,mai'ru'fei
买入价,mai'ru'jia
每年回报,mei'nian'hui'bao
每日估值,mei'ri'gu'zhi
平均成本效益,ping'jun'cheng'ben'xiao'yi
期货管理型基金,qi'huo'guan'li'xing'ji'jin
强积金,qiang'ji'jin
强制性供款,qiang'zhi'xing'gong'kuan
认购期权,ren'gou'qi'quan
认沽期权,ren'gu'qi'quan
认股权证基金,ren'gu'quan'zheng'ji'jin
认可基金,ren'ke'ji'jin
如计划为伞子基金,ru'ji'hua'wei'san'zi'ji'jin
入息基金,ru'xi'ji'jin
市场中立,shi'chang'zhong'li
首次认购费,shou'ci'ren'gou'fei
受压,shou'ya
赎回,shu'hui
赎回费,shu'hui'fei
赎回通知期,shu'hui'tong'zhi'qi
套戥,tao'deng
投资顾问,tou'zi'gu'wen
投资年期,tou'zi'nian'qi
投资组合,tou'zi'zu'he
相关系数,xiang'guan'xi'shu
效率前缘,xiao'lv'qian'yuan
新高价,xin'gao'jia
信托人,xin'tuo'ren
新兴市场,xin'xing'shi'chang
新兴市场基金,xin'xing'shi'chang'ji'jin
严格评估,yan'ge'ping'gu
已调整风险回报,yi'tiao'zheng'feng'xian'hui'bao
有限责任,you'xian'ze'ren
预设回报率,yu'she'hui'bao'lv
再投资,zai'tou'zi
增长和收入基金,zeng'zhang'he'shou'ru'ji'jin
债券,zhai'quan
债券基金,zhai'quan'ji'jin
证券,zheng'quan
证券借出,zheng'quan'jie'chu
重大事件主导的投资,zhong'da'shi'jian'zhu'dao'de'tou'zi
注册地,zhu'ce'di
主动式管理,zhu'dong'shi'guan'li
主要经纪,zhu'yao'jing'ji
资产分配,zi'chan'fen'pei
资产净值,zi'chan'jing'zhi
子基金,zi'ji'jin
自愿性供款,zi'yuan'xing'gong'kuan
总回报,zong'hui'bao
最大跌幅,zui'da'die'fu
