斑顶须蚶,ban'ding'xu'han
半扭蚶,ban'niu'han
杯石蛏,bei'shi'cheng
不等壳毛蚶,bu'deng'ke'mao'han
布氏蚶,bu'shi'han
布纹蚶,bu'wen'han
长偏顶蛤,chang'pian'ding'ge
纯毛蚶,chun'mao'han
锉石蛏,cuo'shi'cheng
大杏蛤,da'xing'ge
带偏顶蛤,dai'pian'ding'ge
短壳肠蛤,duan'ke'chang'ge
短偏顶蛤,duan'pian'ding'ge
短石蛏,duan'shi'cheng
对称泥蚶,dui'chen'ni'han
舵手蚶,duo'shou'han
翡翠贻贝,fei'cui'yi'bei
菲律宾偏顶蛤,fei'lv'bin'pian'ding'ge
隔贻贝,ge'yi'bei
古蚶,gu'han
光石蛏,guang'shi'cheng
蚶蜊科,han'li'ke
寒氏毛蚶,han'shi'mao'han
韩式石蛏,han'shi'shi'cheng
褐蚶,he'han
黑荞麦蛤,hei'qiao'mai'ge
花杏蛤,hua'xing'ge
夹毛蚶,jia'mao'han
角毛蚶,jiao'mao'han
结蚶,jie'han
金石蛏,jin'shi'cheng
肯氏隔贻贝,ken'shi'ge'yi'bei
魁蚶,kui'han
粒致纹蚶,li'zhi'wen'han
联珠蚶,lian'zhu'han
鳞片扭蚶,lin'pian'niu'han
隆起隔贻贝,long'qi'ge'yi'bei
马掌螺科,ma'zhang'luo'ke
马掌螺总科,ma'zhang'luo'zong'ke
麦氏偏顶蛤,mai'shi'pian'ding'ge
毛蚶,mao'han
毛肌蛤,mao'ji'ge
毛贻贝,mao'yi'bei
密勒粗饰蚶,mi'le'cu'shi'han
泥锉蚶科,ni'cuo'han'ke
泥锉蚶总科,ni'cuo'han'zong'ke
泥蚶,ni'han
扭蚶,niu'han
青蚶,qing'han
球蚶,qiu'han
曲线索贻贝,qu'xian'suo'yi'bei
日本格拟锉蚶,ri'ben'ge'ni'cuo'han
日本肌蛤,ri'ben'ji'ge
日本毛蚶,ri'ben'mao'han
珊瑚绒贻贝,shan'hu'rong'yi'bei
双纹须蚶,shuang'wen'xu'han
条纹隔贻贝,tiao'wen'ge'yi'bei
托氏毛蚶,tuo'shi'mao'han
细尖石蛏,xi'jian'shi'cheng
细勒肌蛤,xi'le'ji'ge
锈粗饰蚶,xiu'cu'shi'han
寻氏肌蛤,xun'shi'ji'ge
雅致弧蛤,ya'zhi'hu'ge
贻贝科,yi'bei'ke
贻贝目,yi'bei'mu
贻贝总科,yi'bei'zong'ke
衣蚶科,yi'han'ke
异毛蚶,yi'mao'han
印度毛蚶,yin'du'mao'han
羽膜石蛏,yu'mo'shi'cheng
云石肌蛤,yun'shi'ji'ge
杂色短齿蛤,za'se'duan'chi'ge
胀毛蚶,zhang'mao'han
褶白蚶,zhe'bai'han
褶偏顶蛤,zhe'pian'ding'ge
榛蚶,zhen'han
致纹蚶科,zhi'wen'han'ke
舟蚶,zhou'han
棕蚶,zong'han
