阿波罗格拉斯,a'bo'luo'ge'la'si
阿部丰,a'bu'feng
阿雷斯阿修莱,a'lei'si'a'xiu'lai
阿笠博士,a'li'bo'shi
阿笠定子,a'li'ding'zi
阿真,a'zhen
爱德华克洛,ai'de'hua'ke'luo
爱内里菜,ai'nei'li'cai
安德雷卡迈尔,an'de'lei'ka'mai'er
岸井,an'jing
安室透,an'shi'tou
安西明日香,an'xi'ming'ri'xiang
暗夜公爵,an'ye'gong'jue
暗夜男爵夫人,an'ye'nan'jue'fu'ren
八重子,ba'zhong'zi
柏达马,bai'da'ma
白马探,bai'ma'tan
白鸟任三郎,bai'niao'ren'san'lang
白鸟沙罗,bai'niao'sha'luo
板仓卓,ban'cang'zhuo
坂井泉水,ban'jing'quan'shui
贝尔茉,bei'er'mo
贝尔摩得,bei'er'mo'de
贝尔摩德,bei'er'mo'de
北条初穗,bei'tiao'chu'sui
贝冢,bei'zhong
本浦圭一郎,ben'pu'gui'yi'lang
本浦知史,ben'pu'zhi'shi
本堂瑛海,ben'tang'ying'hai
本堂瑛佑,ben'tang'ying'you
本堂瑛祐,ben'tang'ying'you
本梓,ben'zi
比护隆佑,bi'hu'long'you
冰川尚吾,bing'chuan'shang'wu
仓木麻衣,cang'mu'ma'yi
草野薰,cao'ye'xun
茶风林,cha'feng'lin
茶木神太郎,cha'mu'shen'tai'lang
长岛茂雄,chang'dao'mao'xiong
常磐美绪,chang'pan'mei'xu
朝仓优一郎,chao'cang'you'yi'lang
辰巳樱子,chen'si'ying'zi
池波静华,chi'bo'jing'hua
赤井秀一,chi'jing'xiu'yi
赤木量子,chi'mu'liang'zi
尺木叶子,chi'mu'ye'zi
赤木英雄,chi'mu'ying'xiong
池田秀一,chi'tian'xiu'yi
池泽友子,chi'ze'you'zi
冲矢昴,chong'shi'mao
冲田一,chong'tian'yi
冲田縂司,chong'tian'zong'si
冲野洋子,chong'ye'yang'zi
船本透司,chuan'ben'tou'si
川口聪,chuan'kou'cong
川口茂,chuan'kou'mao
床前小百合,chuang'qian'xiao'bai'he
大村淳,da'cun'chun
大谷育江,da'gu'yu'jiang
