阿飞和他的那个女人,a'fei'he'ta'de'na'ge'nv'ren
爱,ai
把情感收藏起来,ba'qing'gan'shou'cang'qi'lai
摆渡,bai'du
避风港,bi'feng'gang
表情,biao'qing
别哭我最爱的人,bie'ku'wo'zui'ai'de'ren
不能告诉你,bu'neng'gao'su'ni
补习街,bu'xi'jie
不要说黎明,bu'yao'shuo'li'ming
裁缝,cai'feng
尘埃,chen'ai
沉默的羔羊,chen'mo'de'gao'yang
成熟,cheng'shu
宠物,chong'wu
此生为了美,ci'sheng'wei'le'mei
大国民,da'guo'min
达奇达奇嘟,da'qi'da'qi'du
大同世界,da'tong'shi'jie
单身逃亡,dan'shen'tao'wang
淡水河边的烟火,dan'shui'he'bian'de'yan'huo
淡呀淡的光,dan'ya'dan'de'guang
等待一世人,deng'dai'yi'shi'ren
冬季,dong'ji
斗室,dou'shi
堕落天使,duo'luo'tian'shi
凤凰花,feng'huang'hua
风在唱着一首歌,feng'zai'chang'zhe'yi'shou'ge
风筝,feng'zheng
港边惜别,gang'bian'xi'bie
告诉我,gao'su'wo
给开心女孩,gei'kai'xin'nv'hai
化哥,hua'ge
画中梦,hua'zhong'meng
幻灭的女神,huan'mie'de'nv'shen
挥别你的眼泪,hui'bie'ni'de'yan'lei
悔过书,hui'guo'shu
火伊去,huo'yi'qu
就这样流浪,jiu'zhe'yang'liu'lang
拉客,la'ke
老么的故事,lao'me'de'gu'shi
蕾丝花边,lei'si'hua'bian
离开吧,li'kai'ba
露水,lu'shui
落泪的戏子,luo'lei'de'xi'zi
绿岛小夜曲,lv'dao'xiao'ye'qu
麻花辫子,ma'hua'bian'zi
麻将,ma'jiang
猫,mao
面子问题,mian'zi'wen'ti
南台湾,nan'tai'wan
你的灵魂,ni'de'ling'hun
你的生日,ni'de'sheng'ri
年轻时代,nian'qing'shi'dai
朋友天堂好吗,peng'you'tian'tang'hao'ma
青春祭坛,qing'chun'ji'tan
青春启示录,qing'chun'qi'shi'lu
让风吹,rang'feng'chui
让我拥抱你入梦,rang'wo'yong'bao'ni'ru'meng
日月人的目屎,ri'yue'ren'de'mu'shi
入侵,ru'qin
三十三块,san'shi'san'kuai
上海滩,shang'hai'tan
水手,shui'shou
私房歌,si'fang'ge
未婚爸爸,wei'hun'ba'ba
我的,wo'de
我的明天,wo'de'ming'tian
我好累,wo'hao'lei
蜗牛的家,wo'niu'de'jia
我亲爱的宝贝,wo'qin'ai'de'bao'bei
我是风筝,wo'shi'feng'zheng
我愿意,wo'yuan'yi
我这样的男人,wo'zhe'yang'de'nan'ren
陷阱,xian'jing
小草,xiao'cao
卸了妆的女人,xie'le'zhuang'de'nv'ren
星星点灯,xing'xing'dian'deng
烟斗阿兄,yan'dou'a'xiong
烟花江畔,yan'hua'jiang'pan
颜色,yan'se
野花,ye'hua
夜未眠,ye'wei'mian
一封信,yi'feng'xin
一个人卡快活,yi'ge'ren'ka'kuai'huo
驿站,yi'zhan
用我一辈子去忘记,yong'wo'yi'bei'zi'qu'wang'ji
有关于承诺,you'guan'yu'cheng'nuo
游戏人间,you'xi'ren'jian
雨,yu
原来的样子,yuan'lai'de'yang'zi
远离这个城市,yuan'li'zhe'ge'cheng'shi
约束,yue'shu
再会吧我无缘的人,zai'hui'ba'wo'wu'yuan'de'ren
找路的人,zhao'lu'de'ren
郑式影响,zheng'shi'ying'xiang
郑智化歌迷联盟,zheng'zhi'hua'ge'mi'lian'meng
中产阶级,zhong'chan'jie'ji
坠落黑暗的江湖,zhui'luo'hei'an'de'jiang'hu
罪恶感,zui'e'gan
最后的谈判,zui'hou'de'tan'pan
最后的夜都市,zui'hou'de'ye'du'shi
