按察官,an'cha'guan
安府,an'fu
安抚,an'fu
安抚大使,an'fu'da'shi
安抚大使司,an'fu'da'shi'si
安抚大使司参谋官,an'fu'da'shi'si'can'mou'guan
安抚大使司参议官,an'fu'da'shi'si'can'yi'guan
安抚大使司干办公事,an'fu'da'shi'si'gan'ban'gong'shi
安抚大使司勾当公事,an'fu'da'shi'si'gou'dang'gong'shi
安抚大使司管勾机宜文字,an'fu'da'shi'si'guan'gou'ji'yi'wen'zi
安抚大使司管勾书写机宜文字,an'fu'da'shi'si'guan'gou'shu'xie'ji'yi'wen'zi
安抚大使司主管机宜文字,an'fu'da'shi'si'zhu'guan'ji'yi'wen'zi
安抚大使司主管书写机宜文字,an'fu'da'shi'si'zhu'guan'shu'xie'ji'yi'wen'zi
安抚大使司准备差遣,an'fu'da'shi'si'zhun'bei'chai'qian
安抚都监,an'fu'dou'jian
安抚副使,an'fu'fu'shi
安抚使,an'fu'shi
安抚使司,an'fu'shi'si
安抚使司参议官,an'fu'shi'si'can'yi'guan
安抚使司管勾机宜文字,an'fu'shi'si'guan'gou'ji'yi'wen'zi
安抚使司管勾书写机宜文字,an'fu'shi'si'guan'gou'shu'xie'ji'yi'wen'zi
安抚使司幕属官厅,an'fu'shi'si'mu'shu'guan'ting
安抚使司佥厅,an'fu'shi'si'qian'ting
安抚使司主管机宜文字,an'fu'shi'si'zhu'guan'ji'yi'wen'zi
安抚使司主管书写机宜文字,an'fu'shi'si'zhu'guan'shu'xie'ji'yi'wen'zi
安抚使司准备差遣,an'fu'shi'si'zhun'bei'chai'qian
安抚司,an'fu'si
安抚司抚僚,an'fu'si'fu'liao
安抚司干办公事,an'fu'si'gan'ban'gong'shi
安抚司勾当公事,an'fu'si'gou'dang'gong'shi
安抚司管勾官,an'fu'si'guan'gou'guan
安抚司机宜,an'fu'si'ji'yi
安抚司幕官,an'fu'si'mu'guan
安抚司帅属,an'fu'si'shuai'shu
安提转,an'ti'zhuan
按刑,an'xing
白波发运使,bai'bo'fa'yun'shi
宝货司,bao'huo'si
保甲司,bao'jia'si
拨发,bo'fa
拨发官,bo'fa'guan
拨发司,bo'fa'si
舶干,bo'gan
舶监,bo'jian
舶司,bo'si
舶司干官,bo'si'gan'guan
舶务,bo'wu
部刺史,bu'ci'shi
部使,bu'shi
部使臣,bu'shi'chen
部使者,bu'shi'zhe
仓使,cang'shi
仓司,cang'si
仓台,cang'tai
漕臣,cao'chen
漕计,cao'ji
漕节,cao'jie
漕吏,cao'li
漕幕,cao'mu
漕使,cao'shi
漕司,cao'si
漕台,cao'tai
茶场司,cha'chang'si
察访,cha'fang
察访官,cha'fang'guan
察访某路常平农田水利等事,cha'fang'mou'lu'chang'ping'nong'tian'shui'li'deng'shi
察访司,cha'fang'si
茶马官,cha'ma'guan
茶马司,cha'ma'si
茶使,cha'shi
茶司,cha'si
茶盐干,cha'yan'gan
茶盐官,cha'yan'guan
茶盐司,cha'yan'si
