奥亚膨胀度,ao'ya'peng'zhang'du
半球温度,ban'qiu'wen'du
苯萃取物,ben'cui'qu'wu
变形温度,bian'xing'wen'du
标准煤,biao'zhun'mei
标准煤样,biao'zhun'mei'yang
丙酮,bing'tong
不粘煤,bu'zhan'mei
采样,cai'yang
采样单元,cai'yang'dan'yuan
长焰煤,chang'yan'mei
沉煤样,chen'mei'yang
次生矿物质,ci'sheng'kuang'wu'zhi
大块煤,da'kuai'mei
低位发热量,di'wei'fa're'liang
堵仓,du'cang
堆锥四分法,dui'zhui'si'fen'fa
多份采样,duo'fen'cai'yang
二分器,er'fen'qi
发火温度,fa'huo'wen'du
方差,fang'cha
肥煤,fei'mei
分层煤样,fen'ceng'mei'yang
粉煤,fen'mei
分析基高位发热量,fen'xi'ji'gao'wei'fa're'liang
风化煤,feng'hua'mei
浮煤样,fu'mei'yang
腐植酸,fu'zhi'suan
坩埚膨胀序数,gan'guo'peng'zhang'xu'shu
干基,gan'ji
矸石,gan'shi
干燥基,gan'zao'ji
干燥无灰基,gan'zao'wu'hui'ji
高龄土,gao'ling'tu
高位发热量,gao'wei'fa're'liang
葛金干馏试验,ge'jin'gan'liu'shi'yan
个体,ge'ti
工业分析,gong'ye'fen'xi
工艺特性,gong'yi'te'xing
固定硫,gu'ding'liu
固定碳,gu'ding'tan
观测值,guan'ce'zhi
哈氏可磨性指数,ha'shi'ke'mo'xing'zhi'shu
含矸率,han'gan'lv
褐煤,he'mei
黑腐植酸,hei'fu'zhi'suan
恒容低位发热量,heng'rong'di'wei'fa're'liang
恒容高位发热量,heng'rong'gao'wei'fa're'liang
恒湿无灰基,heng'shi'wu'hui'ji
恒湿无矿物质基,heng'shi'wu'kuang'wu'zhi'ji
糊精,hu'jing
化合水,hua'he'shui
黄腐植酸,huang'fu'zhi'suan
黄铁矿,huang'tie'kuang
灰的碱度,hui'de'jian'du
灰的酸度,hui'de'suan'du
挥发分,hui'fa'fen
挥发分产率,hui'fa'fen'chan'lv
灰分,hui'fen
灰粘度,hui'nian'du
灰熔点,hui'rong'dian
灰渣融性,hui'zha'rong'xing
混块,hun'kuai
混煤,hun'mei
混中块,hun'zhong'kuai
极差,ji'cha
基氏流动度,ji'shi'liu'dong'du
夹矸,jia'gan
焦煤,jiao'mei
焦渣特征,jiao'zha'te'zheng
胶质层指数,jiao'zhi'ceng'zhi'shu
结焦性,jie'jiao'xing
结晶水,jie'jing'shui
结渣性,jie'zha'xing
精煤,jing'mei
抗碎强度,kang'sui'qiang'du
可采煤样,ke'cai'mei'yang
可磨性,ke'mo'xing
空干基,kong'gan'ji
空气干燥基,kong'qi'gan'zao'ji
空气干燥煤样,kong'qi'gan'zao'mei'yang
空气干燥煤样水分,kong'qi'gan'zao'mei'yang'shui'fen
孔隙率,kong'xi'lv
块密度,kuai'mi'du
矿物质,kuang'wu'zhi
矿物质硫,kuang'wu'zhi'liu
粒度,li'du
粒级煤,li'ji'mei
粒煤,li'mei
临界温度,lin'jie'wen'du
硫醇类,liu'chun'lei
流动温度,liu'dong'wen'du
硫化物硫,liu'hua'wu'liu
硫酸钙,liu'suan'gai
硫酸盐硫,liu'suan'yan'liu
硫铁矿硫,liu'tie'kuang'liu
罗加指数,luo'jia'zhi'shu
毛煤,mao'mei
煤层煤样,mei'ceng'mei'yang
煤对二氧化碳的反应性,mei'dui'er'yang'hua'tan'de'fan'ying'xing
煤粉,mei'fen
煤灰熔融性,mei'hui'rong'rong'xing
煤蜡,mei'la
煤泥,mei'ni
煤样,mei'yang
煤样混合,mei'yang'hun'he
煤样破碎,mei'yang'po'sui
煤样缩分,mei'yang'suo'fen
煤样制备,mei'yang'zhi'bei
煤中微量元素锗镓铀钍铍镉铬铜锰镍铅,mei'zhong'wei'liang'yuan'su'zhe'jia'you'tu'pi'ge'ge'tong'meng'nie'qian
煤中有害元素砷氟氯磷硫镉汞硌铍砣铅,mei'zhong'you'hai'yuan'su'shen'fu'lv'lin'liu'ge'gong'ge'pi'tuo'qian
末煤,mo'mei
磨损性,mo'sun'xing
内在灰分,nei'zai'hui'fen
内在水分,nei'zai'shui'fen
粘结性,nian'jie'xing
粘结指数,nian'jie'zhi'shu
粘土,nian'tu
膨胀性,peng'zhang'xing
偏差,pian'cha
贫煤,pin'mei
贫瘦煤,pin'shou'mei
平均偏差,ping'jun'pian'cha
气肥煤,qi'fei'mei
气煤,qi'mei
铅甄干馏试验,qian'zhen'gan'liu'shi'yan
全硫,quan'liu
全水分,quan'shui'fen
燃点,ran'dian
燃料比,ran'liao'bi
热量,re'liang
热稳定性,re'wen'ding'xing
软化温度,ruan'hua'wen'du
弱粘煤,ruo'zhan'mei
散密度,san'mi'du
筛孔,shai'kong
筛选煤,shai'xuan'mei
商品煤,shang'pin'mei
商品煤样,shang'pin'mei'yang
生产煤样,sheng'chan'mei'yang
石膏,shi'gao
视相对密度,shi'xiang'dui'mi'du
实验室煤样,shi'yan'shi'mei'yang
收到基,shou'dao'ji
收到基低位发热量,shou'dao'ji'di'wei'fa're'liang
收到基高位发热量,shou'dao'ji'gao'wei'fa're'liang
瘦煤,shou'mei
塑性,su'xing
酸性基,suan'xing'ji
碳酸盐二氧化碳,tan'suan'yan'er'yang'hua'tan
弹筒发热量,tan'tong'fa're'liang
天然煤,tian'ran'mei
透光率,tou'guang'lv
外来灰分,wai'lai'hui'fen
外在水分,wai'zai'shui'fen
无机硫,wu'ji'liu
无烟煤,wu'yan'mei
洗矸,xi'gan
系统采样,xi'tong'cai'yang
洗选煤,xi'xuan'mei
限上率,xian'shang'lv
限下率,xian'xia'lv
小块煤,xiao'kuai'mei
烟煤,yan'mei
硬煤,ying'mei
有机硫,you'ji'liu
游离腐植酸,you'li'fu'zhi'suan
原煤,yuan'mei
原生矿物质,yuan'sheng'kuang'wu'zhi
元素分析,yuan'su'fen'xi
元素硫,yuan'su'liu
燥无矿物质基,zao'wu'kuang'wu'zhi'ji
粘仓,zhan'cang
着火点,zhao'huo'dian
真相对密度,zhen'xiang'dui'mi'du
制样,zhi'yang
中块煤,zhong'kuai'mei
中煤,zhong'mei
子样,zi'yang
总腐植酸,zong'fu'zhi'suan
综腐植酸,zong'fu'zhi'suan
总体,zong'ti
总体平均值,zong'ti'ping'jun'zhi
总样,zong'yang
最高内在水分,zui'gao'nei'zai'shui'fen
