阿尔卡赖,a'er'ka'lai
阿吉拉,a'ji'la
阿里叶,a'li'ye
阿耶哈,a'ye'ha
艾哈瓦勒舍赫绥耶,ai'ha'wa'le'she'he'sui'ye
安拉的法度,an'la'de'fa'du
保留休妻,bao'liu'xiu'qi
被告,bei'gao
比达阿,bi'da'a
比论,bi'lun
鞭刑,bian'xing
标新立异,biao'xin'li'yi
不可分割财产,bu'ke'fen'ge'cai'chan
不可靠的圣训,bu'ke'kao'de'sheng'xun
不正常的休妻,bu'zheng'chang'de'xiu'qi
不正常婚姻,bu'zheng'chang'hun'yin
财产监护,cai'chan'jian'hu
常住,chang'zhu
传述世系,chuan'shu'shi'xi
传述线索,chuan'shu'xian'suo
传统主义注释,chuan'tong'zhu'yi'zhu'shi
传闻注释,chuan'wen'zhu'shi
创制,chuang'zhi
创制之门关闭说,chuang'zhi'zhi'men'guan'bi'shuo
大象之家判例,da'xiang'zhi'jia'pan'li
大藏,da'zang
待婚期,dai'hun'qi
代位继承,dai'wei'ji'cheng
担保契约,dan'bao'qi'yue
单传圣训,dan'chuan'sheng'xun
抵押契约,di'ya'qi'yue
独立判断,du'li'pan'duan
断肢刑,duan'zhi'xing
法谛哈,fa'di'ha
法定继承,fa'ding'ji'cheng
法理学,fa'li'xue
法律拟制,fa'lv'ni'zhi
法斯赫,fa'si'he
法特瓦,fa'te'wa
斐格海,fei'ge'hai
非连续的圣训,fei'lian'xu'de'sheng'xun
非约定聘礼,fei'yue'ding'pin'li
非赞许的休妻,fei'zan'xu'de'xiu'qi
份额继承人,fen'e'ji'cheng'ren
福尔刚,fu'er'gang
福鲁阿,fu'lu'a
父系继承人,fu'xi'ji'cheng'ren
格亚斯,ge'ya'si
公议,gong'yi
公益,gong'yi
公益瓦克夫,gong'yi'wa'ke'fu
共有财产,gong'you'cai'chan
固定刑,gu'ding'xing
古兰经继承人,gu'lan'jing'ji'cheng'ren
古兰经律例,gu'lan'jing'lv'li
雇佣或租赁契约,gu'yong'huo'zu'lin'qi'yue
寡妇留置权,gua'fu'liu'zhi'quan
光节,guang'jie
归还,gui'huan
国家继承人,guo'jia'ji'cheng'ren
哈伯斯,ha'bo'si
哈底斯,ha'di'si
哈拉姆,ha'la'mu
哈里发学说,ha'li'fa'xue'shuo
合法子女,he'fa'zi'nv
合伙契约,he'huo'qi'yue
侯杜德,hou'du'de
胡尔,hu'er
婚姻对等,hun'yin'dui'deng
婚姻监护,hun'yin'jian'hu
婚姻障碍,hun'yin'zhang'ai
婚约,hun'yue
继承法,ji'cheng'fa
继承顺序,ji'cheng'shun'xu
继承障碍,ji'cheng'zhang'ai
基督教式注释,ji'du'jiao'shi'zhu'shi
吉哈尔,ji'ha'er
基沙斯,ji'sha'si
家庭法,jia'ting'fa
家庭瓦克夫,jia'ting'wa'ke'fu
家语,jia'yu
检查官法庭,jian'cha'guan'fa'ting
教法根源学,jiao'fa'gen'yuan'xue
教法学,jiao'fa'xue
教法渊源学,jiao'fa'yuan'yuan'xue
教律学,jiao'lv'xue
绞刑,jiao'xing
经训不悖说,jing'xun'bu'bei'shuo
经注学,jing'zhu'xue
净资产,jing'zi'chan
卡迪法庭,ka'di'fa'ting
卡农,ka'nong
可分割财产,ke'fen'ge'cai'chan
库德西圣训,ku'de'xi'sheng'xun
类比,lei'bi
里安,li'an
利息禁令,li'xi'jin'ling
离仪,li'yi
连续的圣训,lian'xu'de'sheng'xun
连续性,lian'xu'xing
良好的圣训,liang'hao'de'sheng'xun
临时婚姻,lin'shi'hun'yin
六大圣训集,liu'da'sheng'xun'ji
六奴隶判例,liu'nu'li'pan'li
律例,lv'li
驴判例,lv'pan'li
麦地那篇章,mai'di'na'pian'zhang
麦加篇章,mai'jia'pian'zhang
麦克鲁海,mai'ke'lu'hai
卖空权,mai'kong'quan
买卖契约,mai'mai'qi'yue
曼杜伯,man'du'bo
曼吉尔,man'ji'er
明意,ming'yi
穆阿麦俩特,mu'a'mai'liang'te
穆巴哈,mu'ba'ha
穆巴拉,mu'ba'la
穆罕默德法,mu'han'mo'de'fa
穆罕默德言行录,mu'han'mo'de'yan'xing'lu
穆合凯姆,mu'he'kai'mu
穆斯林法,mu'si'lin'fa
穆塔尔,mu'ta'er
穆太沙比哈,mu'tai'sha'bi'ha
穆札巴纳,mu'zha'ba'na
尼札米亚法庭,ni'zha'mi'ya'fa'ting
欧杜尔,ou'du'er
欧古巴特,ou'gu'ba'te
排除原则,pai'chu'yuan'ze
叛教罪,pan'jiao'zui
拼凑法,pin'cou'fa
聘礼,pin'li
契约继承人,qi'yue'ji'cheng'ren
佥议,qian'yi
抢劫罪,qiang'jie'zui
青春期选择,qing'chun'qi'xuan'ze
清真寺判例,qing'zhen'si'pan'li
认亲继承人,ren'qin'ji'cheng'ren
人身监护,ren'shen'jian'hu
赛阿德判例,sai'a'de'pan'li
沙里亚,sha'li'ya
沙里亚法,sha'li'ya'fa
沙里亚法庭,sha'li'ya'fa'ting
商法,shang'fa
舍里阿,she'li'a
涉嫌,she'xian
神秘主义注释,shen'mi'zhu'yi'zhu'shi
生前处分财产,sheng'qian'chu'fen'cai'chan
圣训,sheng'xun
圣训废止说,sheng'xun'fei'zhi'shuo
圣训集,sheng'xun'ji
圣训经,sheng'xun'jing
圣训律例,sheng'xun'lv'li
圣训实录,sheng'xun'shi'lu
圣训学,sheng'xun'xue
誓言保证,shi'yan'bao'zheng
十叶派继承法,shi'ye'pai'ji'cheng'fa
受赠人,shou'zeng'ren
双重买卖,shuang'chong'mai'mai
死后处分财产,si'hou'chu'fen'cai'chan
私人身份法,si'ren'shen'fen'fa
私人瓦克夫,si'ren'wa'ke'fu
四圣书,si'sheng'shu
私通罪,si'tong'zui
苏拉,su'la
塔格利德,ta'ge'li'de
塔拉格,ta'la'ge
太甫绥鲁,tai'fu'sui'lu
太兹伊尔,tai'zi'yi'er
停经,ting'jing
听诉法庭,ting'su'fa'ting
同态复仇,tong'tai'fu'chou
偷盗罪,tou'dao'zui
推定守寡,tui'ding'shou'gua
推定死亡,tui'ding'si'wang
瓦吉布,wa'ji'bu
瓦克夫,wa'ke'fu
瓦克夫法,wa'ke'fu'fa
瓦克夫期限,wa'ke'fu'qi'xian
瓦克夫受益人,wa'ke'fu'shou'yi'ren
未接触证据,wei'jie'chu'zheng'ju
唯美,wei'mei
委托休妻,wei'tuo'xiu'qi
伪训,wei'xun
卧各夫,wo'ge'fu
五圣书,wu'sheng'shu
乌苏尔,wu'su'er
乌苏勒,wu'su'le
诬陷私通罪,wu'xian'si'tong'zui
无效婚姻,wu'xiao'hun'yin
五种行为规范,wu'zhong'xing'wei'gui'fan
希巴拉,xi'ba'la
希白,xi'bai
析产,xi'chan
西哈胡西塔,xi'ha'hu'xi'ta
希亚沙沙里亚,xi'ya'sha'sha'li'ya
希兹布,xi'zi'bu
现代主义注释,xian'dai'zhu'yi'zhu'shi
先买权,xian'mai'quan
先知的逊奈,xian'zhi'de'xun'nai
协议离婚,xie'yi'li'hun
信实的圣训,xin'shi'de'sheng'xun
信托契约,xin'tuo'qi'yue
刑法,xing'fa
休妻,xiu'qi
酗酒罪,xu'jiu'zui
选择法,xuan'ze'fa
选择期,xuan'ze'qi
血金,xue'jin
血亲复仇,xue'qin'fu'chou
逊奈,xun'nai
逊尼派继承法,xun'ni'pai'ji'cheng'fa
伊巴达特,yi'ba'da'te
伊达,yi'da
意见,yi'jian
意见注释,yi'jian'zhu'shi
伊拉,yi'la
以石击毙刑,yi'shi'ji'bi'xing
伊斯兰法庭,yi'si'lan'fa'ting
伊斯兰教法,yi'si'lan'jiao'fa
伊斯兰宪法,yi'si'lan'xian'fa
伊斯纳德,yi'si'na'de
伊斯提哈桑,yi'si'ti'ha'sang
伊斯提斯哈伯,yi'si'ti'si'ha'bo
伊斯提斯拉赫,yi'si'ti'si'la'he
义务遗嘱,yi'wu'yi'zhu
遗赠,yi'zeng
遗赠继承人,yi'zeng'ji'cheng'ren
伊制玛尔,yi'zhi'ma'er
伊智提哈德,yi'zhi'ti'ha'de
遗嘱,yi'zhu
遗嘱继承,yi'zhu'ji'cheng
遗嘱执行人,yi'zhu'zhi'xing'ren
隐意,yin'yi
犹太教式注释,you'tai'jiao'shi'zhu'shi
有效婚姻,you'xiao'hun'yin
优选,you'xuan
余产,yu'chan
原告,yuan'gao
远亲继承人,yuan'qin'ji'cheng'ren
约定聘礼,yue'ding'pin'li
赞许的休妻,zan'xu'de'xiu'qi
赠与,zeng'yu
赠与人,zeng'yu'ren
斩首刑,zhan'shou'xing
证据,zheng'ju
证人,zheng'ren
证人信誉,zheng'ren'xin'yu
治安法庭,zhi'an'fa'ting
朱兹,zhu'zi
转化制,zhuan'hua'zhi
酌定刑,zhuo'ding'xing
祖母外祖母遗产判例,zu'mu'wai'zu'mu'yi'chan'pan'li
最长妊娠期,zui'chang'ren'shen'qi
最短妊娠期,zui'duan'ren'shen'qi
