按电钮点焊,an'dian'niu'dian'han
氨弧焊,an'hu'han
安全技术规范,an'quan'ji'shu'gui'fan
安全系数,an'quan'xi'shu
鞍形焊,an'xing'han
安装焊,an'zhuang'han
安装焊接,an'zhuang'han'jie
安装基准圆,an'zhuang'ji'zhun'yuan
凹槽焊,ao'cao'han
凹焊缝,ao'han'feng
凹角焊,ao'jiao'han
凹角焊缝,ao'jiao'han'feng
凹角焊喉,ao'jiao'han'hou
凹坑,ao'keng
凹面焊,ao'mian'han
凹面焊缝,ao'mian'han'feng
凹面填角焊,ao'mian'tian'jiao'han
奥氏体,ao'shi'ti
奥矢体,ao'shi'ti
奥氏体钢裂纹试验,ao'shi'ti'gang'lie'wen'shi'yan
奥氏体焊条,ao'shi'ti'han'tiao
凹形焊缝,ao'xing'han'feng
凹形角焊缝,ao'xing'jiao'han'feng
拔管模,ba'guan'mo
八焊接结构与生产,ba'han'jie'jie'gou'yu'sheng'chan
巴特尔焊道下裂纹试验,ba'te'er'han'dao'xia'lie'wen'shi'yan
摆动焊,bai'dong'han
摆动焊道,bai'dong'han'dao
百叶窗分离器,bai'ye'chuang'fen'li'qi
板边预弯,ban'bian'yu'wan
斑点压力,ban'dian'ya'li
板极电渣焊,ban'ji'dian'zha'han
板极堆焊试验,ban'ji'dui'han'shi'yan
板卷焊,ban'juan'han
半球形封头,ban'qiu'xing'feng'tou
半熔化区,ban'rong'hua'qu
板式空气预热器,ban'shi'kong'qi'yu're'qi
板条马氏体,ban'tiao'ma'shi'ti
办圆柱试验法,ban'yuan'zhu'shi'yan'fa
半圆柱试验法,ban'yuan'zhu'shi'yan'fa
半自动电弧焊,ban'zi'dong'dian'hu'han
半自动电弧焊机,ban'zi'dong'dian'hu'han'ji
半自动焊,ban'zi'dong'han
半自动焊接,ban'zi'dong'han'jie
半自动焊接机,ban'zi'dong'han'jie'ji
半自动弧焊,ban'zi'dong'hu'han
半自动弧焊机,ban'zi'dong'hu'han'ji
半自动金属电弧焊,ban'zi'dong'jin'shu'dian'hu'han
半自动埋弧焊,ban'zi'dong'mai'hu'han
薄板焊接,bao'ban'han'jie
薄板焊接裂纹试验,bao'ban'han'jie'lie'wen'shi'yan
爆轰速度,bao'hong'su'du
保护层,bao'hu'ceng
保护电弧焊,bao'hu'dian'hu'han
保护气氛钎焊,bao'hu'qi'fen'qian'han
保护气体,bao'hu'qi'ti
保护气体流量,bao'hu'qi'ti'liu'liang
保护式电弧焊,bao'hu'shi'dian'hu'han
保留衬垫,bao'liu'chen'dian
保留垫板,bao'liu'dian'ban
爆破焊接,bao'po'han'jie
爆破焊接厂,bao'po'han'jie'chang
包墙管过热器,bao'qiang'guan'guo're'qi
包铜钢丝,bao'tong'gang'si
包芯焊条焊接,bao'xin'han'tiao'han'jie
刨削,bao'xue
包扎式多层圆筒,bao'za'shi'duo'ceng'yuan'tong
包扎式圆筒,bao'za'shi'yuan'tong
爆炸成型,bao'zha'cheng'xing
爆炸点焊,bao'zha'dian'han
爆炸过渡,bao'zha'guo'du
爆炸焊,bao'zha'han
爆炸焊参数,bao'zha'han'can'shu
爆炸焊接,bao'zha'han'jie
爆炸速度,bao'zha'su'du
爆炸线焊,bao'zha'xian'han
保证效率,bao'zheng'xiao'lv
被覆熔接,bei'fu'rong'jie
背面刨削,bei'mian'bao'xue
背面焊,bei'mian'han
背面焊缝,bei'mian'han'feng
背面熔接,bei'mian'rong'jie
背面余高,bei'mian'yu'gao
背弯试验,bei'wan'shi'yan
臂间距离,bi'jian'ju'li
闭式加压气焊,bi'shi'jia'ya'qi'han
闭室熔焊,bi'shi'rong'han
边焊,bian'han
边界效应,bian'jie'xiao'ying
变速送丝方式,bian'su'song'si'fang'shi
变速送丝机构,bian'su'song'si'ji'gou
便携式弧焊机,bian'xie'shi'hu'han'ji
变压运行,bian'ya'yun'xing
边缘焊,bian'yuan'han
边缘焊缝,bian'yuan'han'feng
边缘焊接,bian'yuan'han'jie
边缘加工,bian'yuan'jia'gong
边缘角,bian'yuan'jiao
边缘角角状结构,bian'yuan'jiao'jiao'zhuang'jie'gou
编织焊条,bian'zhi'han'tiao
标定卫生空气需要量,biao'ding'wei'sheng'kong'qi'xu'yao'liang
表面粗糙化处理,biao'mian'cu'cao'hua'chu'li
表面割炬,biao'mian'ge'ju
表面焊,biao'mian'han
表面焊缝,biao'mian'han'feng
表面焊缝金属的形成,biao'mian'han'feng'jin'shu'de'xing'cheng
表面焊接,biao'mian'han'jie
表面加硬电弧焊,biao'mian'jia'ying'dian'hu'han
表面裂纹,biao'mian'lie'wen
表面清理,biao'mian'qing'li
表面式减温器,biao'mian'shi'jian'wen'qi
表面弯曲试验,biao'mian'wan'qu'shi'yan
表面锈蚀浓度,biao'mian'xiu'shi'nong'du
表盘焊钉机,biao'pan'han'ding'ji
标准焊接符号,biao'zhun'han'jie'fu'hao
标准加强角焊缝,biao'zhun'jia'qiang'jiao'han'feng
并联焊丝,bing'lian'han'si
并联烟道,bing'lian'yan'dao
并列断续角焊缝,bing'lie'duan'xu'jiao'han'feng
并列焊接,bing'lie'han'jie
并列弧焊,bing'lie'hu'han
并列间断角焊缝,bing'lie'jian'duan'jiao'han'feng
并汽,bing'qi
丙酮,bing'tong
丙烷气切割,bing'wan'qi'qie'ge
波程,bo'cheng
波道距离,bo'dao'ju'li
波峰焊,bo'feng'han
波峰钎焊,bo'feng'qian'han
波峰钎焊机,bo'feng'qian'han'ji
波幅高度判废值,bo'fu'gao'du'pan'fei'zhi
波节,bo'jie
波浪变形,bo'lang'bian'xing
玻璃水位计,bo'li'shui'wei'ji
玻璃状焊渣,bo'li'zhuang'han'zha
玻璃状熔渣,bo'li'zhuang'rong'zha
波束距离,bo'shu'ju'li
波纹状凸焊,bo'wen'zhuang'tu'han
波形炉胆,bo'xing'lu'dan
波状结合,bo'zhuang'jie'he
不等间隙钎焊,bu'deng'jian'xi'qian'han
不对称双,bu'dui'chen'shuang
不对称双形坡口,bu'dui'chen'shuang'xing'po'kou
不对称形坡口,bu'dui'chen'xing'po'kou
不规则顺序,bu'gui'ze'shun'xu
不合格的不密实,bu'he'ge'de'bu'mi'shi
补给水,bu'ji'shui
不加压焊接,bu'jia'ya'han'jie
不加压热剂焊缝,bu'jia'ya're'ji'han'feng
步进缝焊,bu'jin'feng'han
步进焊缝,bu'jin'han'feng
步进脉冲焊,bu'jin'mai'chong'han
步进式缝焊,bu'jin'shi'feng'han
步进式滚点焊,bu'jin'shi'gun'dian'han
不均匀性,bu'jun'yun'xing
不可焊接的,bu'ke'han'jie'de
不可焊接的钢,bu'ke'han'jie'de'gang
不可焊接性,bu'ke'han'jie'xing
补孔焊缝,bu'kong'han'feng
不连续性,bu'lian'xu'xing
补炉,bu'lu
不密实,bu'mi'shi
补强板,bu'qiang'ban
补强的对接焊缝,bu'qiang'de'dui'jie'han'feng
补强垫,bu'qiang'dian
不强固焊缝,bu'qiang'gu'han'feng
补强焊料,bu'qiang'han'liao
