爆破组,bao'po'zu
包围,bao'wei
背水攻击,bei'shui'gong'ji
奔袭,ben'xi
边打边插,bian'da'bian'cha
并肩突击,bing'jian'tu'ji
步步为营,bu'bu'wei'ying
残存火力点,can'cun'huo'li'dian
残敌,can'di
侧击,ce'ji
长驱直入,chang'qu'zhi'ru
乘车战斗,cheng'che'zhan'dou
冲击,chong'ji
冲击出发阵地,chong'ji'chu'fa'zhen'di
冲击火力准备,chong'ji'huo'li'zhun'bei
冲击基准时间,chong'ji'ji'zhun'shi'jian
冲击开始时间,chong'ji'kai'shi'shi'jian
冲击路线,chong'ji'lu'xian
冲击目标,chong'ji'mu'biao
冲击准备,chong'ji'zhun'bei
穿插,chuan'cha
垂直包围,chui'zhi'bao'wei
垂直登陆,chui'zhi'deng'lu
垂直突击,chui'zhi'tu'ji
从行进间发起进攻,cong'xing'jin'jian'fa'qi'jin'gong
从行进间强渡江河,cong'xing'jin'jian'qiang'du'jiang'he
打反冲击,da'fan'chong'ji
待机地域,dai'ji'di'yu
当前任务,dang'qian'ren'wu
当日任务,dang'ri'ren'wu
岛屿进攻,dao'yu'jin'gong
岛屿进攻战役,dao'yu'jin'gong'zhan'yi
登陆,deng'lu
登陆兵,deng'lu'bing
登陆场,deng'lu'chang
登陆冲击,deng'lu'chong'ji
登陆冲击出发线,deng'lu'chong'ji'chu'fa'xian
登陆地段,deng'lu'di'duan
登陆地域,deng'lu'di'yu
登陆点,deng'lu'dian
登陆队形,deng'lu'dui'xing
登陆工具,deng'lu'gong'ju
登陆基地,deng'lu'ji'di
登陆阶段,deng'lu'jie'duan
登陆时机,deng'lu'shi'ji
登陆顺序,deng'lu'shun'xu
登陆突击,deng'lu'tu'ji
登陆先遣支队,deng'lu'xian'qian'zhi'dui
登陆战役,deng'lu'zhan'yi
登陆作战,deng'lu'zuo'zhan
敌火下,di'huo'xia
敌火下运动,di'huo'xia'yun'dong
敌前登陆,di'qian'deng'lu
渡河点,du'he'dian
渡江河进攻,du'jiang'he'jin'gong
断敌退路,duan'di'tui'lu
对孤立薄弱据点之敌的进攻战斗,dui'gu'li'bo'ruo'ju'dian'zhi'di'de'jin'gong'zhan'dou
对坚固阵地防御之敌的进攻战斗,dui'jian'gu'zhen'di'fang'yu'zhi'di'de'jin'gong'zhan'dou
对进突击,dui'jin'tu'ji
对立足未稳的进攻战斗,dui'li'zu'wei'wen'de'jin'gong'zhan'dou
对野战防御之敌的进攻战斗,dui'ye'zhan'fang'yu'zhi'di'de'jin'gong'zhan'dou
对运动之敌的进攻战斗,dui'yun'dong'zhi'di'de'jin'gong'zhan'dou
对阵地防御之敌的进攻战役,dui'zhen'di'fang'yu'zhi'di'de'jin'gong'zhan'yi
夺占,duo'zhan
尔后行动方向,er'hou'xing'dong'fang'xiang
二路队形,er'lu'dui'xing
发起冲击,fa'qi'chong'ji
发起进攻,fa'qi'jin'gong
反空降,fan'kong'jiang
反空降战役,fan'kong'jiang'zhan'yi
反伞降,fan'san'jiang
分割,fen'ge
分割包围,fen'ge'bao'wei
分进合击,fen'jin'he'ji
伏击,fu'ji
伏击地区,fu'ji'di'qu
伏击战斗,fu'ji'zhan'dou
改造工事,gai'zao'gong'shi
隔而不围,ge'er'bu'wei
割裂,ge'lie
跟踪追击,gen'zong'zhui'ji
攻城打援,gong'cheng'da'yuan
攻城战役,gong'cheng'zhan'yi
攻敌必救,gong'di'bi'jiu
巩固突破口,gong'gu'tu'po'kou
巩固阵地,gong'gu'zhen'di
攻击,gong'ji
攻击前进,gong'ji'qian'jin
攻歼,gong'jian
