安床,an'chuang
暗建煞,an'jian'sha
安门作灶,an'men'zuo'zao
案山,an'shan
暗五黄,an'wu'huang
凹风穴,ao'feng'xue
八宫星,ba'gong'xing
八卦,ba'gua
八卦图,ba'gua'tu
白虎,bai'hu
白虎开口,bai'hu'kai'kou
白虎抬头,bai'hu'tai'tou
丙辰,bing'chen
丙申,bing'shen
丙午,bing'wu
丙戌,bing'xu
丙寅,bing'yin
丙子,bing'zi
剥换,bo'huan
布局,bu'ju
藏风聚气,cang'feng'ju'qi
插翅房,cha'chi'fang
朝案,chao'an
乘气,cheng'qi
赤脚房,chi'jiao'fang
蚩尤煞,chi'you'sha
冲合,chong'he
冲破,chong'po
冲煞,chong'sha
出卦,chu'gua
出线,chu'xian
穿山五黄,chuan'shan'wu'huang
穿心煞,chuan'xin'sha
穿杖,chuan'zhang
川字屋,chuan'zi'wu
槌胸屋,chui'xiong'wu
大运,da'yun
单耳房,dan'er'fang
当令星,dang'ling'xing
刀刃煞,dao'ren'sha
倒杖,dao'zhang
地户,di'hu
地盘,di'pan
地盘太岁,di'pan'tai'sui
地元龙,di'yuan'long
地支,di'zhi
点穴,dian'xue
丁丑,ding'chou
丁亥,ding'hai
丁卯,ding'mao
丁巳,ding'si
丁未,ding'wei
定向,ding'xiang
顶心煞,ding'xin'sha
丁酉,ding'you
丁字屋,ding'zi'wu
东北,dong'bei
东南,dong'nan
动土下基,dong'tu'xia'ji
斗牛煞,dou'niu'sha
杜门,du'men
对杖,dui'zhang
顿杖,dun'zhang
鹅头射门,e'tou'she'men
二十四山,er'shi'si'shan
返背,fan'bei
反弓煞,fan'gong'sha
反光煞,fan'guang'sha
反曲尺屋,fan'qu'chi'wu
反吟,fan'yin
犯杖,fan'zhang
飞泊,fei'bo
飞星太岁,fei'xing'tai'sui
风水宝地,feng'shui'bao'di
父母三般卦,fu'mu'san'ban'gua
父母山,fu'mu'shan
伏位,fu'wei
伏吟,fu'yin
福元,fu'yuan
符镇,fu'zhen
干龙,gan'long
割脚穴,ge'jiao'xue
庚辰,geng'chen
庚申,geng'shen
庚午,geng'wu
庚戌,geng'xu
庚寅,geng'yin
庚子,geng'zi
工字屋,gong'zi'wu
孤峰煞,gu'feng'sha
孤阳煞,gu'yang'sha
孤阴煞,gu'yin'sha
卦爻,gua'yao
关拦,guan'lan
官星,guan'xing
癸丑,gui'chou
癸亥,gui'hai
癸卯,gui'mao
癸巳,gui'si
龟头屋,gui'tou'wu
癸未,gui'wei
鬼星,gui'xing
癸酉,gui'you
过峡,guo'xia
合十,he'shi
河图,he'tu
后天,hou'tian
后天八卦,hou'tian'ba'gua
黄道,huang'dao
黄帝,huang'di
黄泉,huang'quan
黄泉煞,huang'quan'sha
火城,huo'cheng
祸害,huo'hai
火煞,huo'sha
火星,huo'xing
己丑,ji'chou
己亥,ji'hai
己卯,ji'mao
己巳,ji'si
祭祀,ji'si
己未,ji'wei
己酉,ji'you
甲辰,jia'chen
假龙,jia'long
嫁娶,jia'qu
甲申,jia'shen
甲午,jia'wu
甲戌,jia'xu
甲寅,jia'yin
甲子,jia'zi
剑锋煞,jian'feng'sha
兼卦,jian'gua
兼山,jian'shan
尖射煞,jian'she'sha
兼线,jian'xian
兼向,jian'xiang
交剑煞,jiao'jian'sha
劫龙,jie'long
截杖,jie'zhang
金城,jin'cheng
进火,jin'huo
进龙,jin'long
金盆穴,jin'pen'xue
金星,jin'xing
金鱼水,jin'yu'shui
惊门,jing'men
景门,jing'men
九星,jiu'xing
巨门,ju'men
绝命,jue'ming
开仓,kai'cang
开口煞,kai'kou'sha
开门,kai'men
开渠穿井,kai'qu'chuan'jing
开市,kai'shi
开杖,kai'zhang
开账,kai'zhang
堪舆,kan'yu
扛轿屋,kang'jiao'wu
客厅,ke'ting
空亡,kong'wang
空向,kong'xiang
哭池,ku'chi
昆仑山,kun'lun'shan
困字屋,kun'zi'wu
来龙,lai'long
来龙去脉,lai'long'qu'mai
立极,li'ji
理气,li'qi
力士,li'shi
立向,li'xiang
离杖,li'zhang
镰刀煞,lian'dao'sha
廉贞,lian'zhen
廉贞煞,lian'zhen'sha
连珠三般卦,lian'zhu'san'ban'gua
两仪,liang'yi
零神,ling'shen
令星入囚,ling'xing'ru'qiu
流年,liu'nian
流年太岁,liu'nian'tai'sui
六亲,liu'qin
六煞,liu'sha
六爻,liu'yao
流月,liu'yue
垄龙,long'long
龙楼宝殿,long'lou'bao'dian
龙脉,long'mai
龙穴,long'xue
漏星房,lou'xing'fang
鲁班尺,lu'ban'chi
禄存,lu'cun
六合,lu'he
露脊房,lu'ji'fang
路煞,lu'sha
峦头,luan'tou
罗盘,luo'pan
洛书,luo'shu
没杖,mei'zhang
门窗,men'chuang
门户,men'hu
门厅,men'ting
命卦,ming'gua
命前五神,ming'qian'wu'shen
明堂,ming'tang
木城,mu'cheng
木星,mu'xing
纳气,na'qi
逆飞,ni'fei
逆龙,ni'long
逆杖,ni'zhang
排龙,pai'long
偏身房,pian'shen'fang
平洋,ping'yang
破军,po'jun
破屋相邻,po'wu'xiang'lin
祈福,qi'fu
气口,qi'kou
七煞,qi'sha
乾坤,qian'kun
前面破碎,qian'mian'po'sui
钳穴,qian'xue
强龙,qiang'long
枪煞,qiang'sha
禽星,qin'xing
青龙,qing'long
青囊,qing'nang
曲尺屋,qu'chi'wu
壬辰,ren'chen
壬申,ren'shen
壬午,ren'wu
壬戌,ren'xu
壬寅,ren'yin
人元龙,ren'yuan'long
壬子,ren'zi
入首,ru'shou
乳穴,ru'xue
弱龙,ruo'long
塞胸屋,sai'xiong'wu
三般卦,san'ban'gua
三合,san'he
三吉六秀,san'ji'liu'xiu
三煞,san'sha
三曜煞,san'yao'sha
三元,san'yuan
三元九运,san'yuan'jiu'yun
三元龙,san'yuan'long
扫舍,sao'she
杀龙,sha'long
煞气,sha'qi
砂水,sha'shui
山环水抱,shan'huan'shui'bao
山龙,shan'long
山煞,shan'sha
山水,shan'shui
山星,shan'xing
伤门,shang'men
上山下水,shang'shan'xia'shui
上元,shang'yuan
少祖山,shao'zu'shan
射肋屋,she'lei'wu
生克,sheng'ke
生龙,sheng'long
生门,sheng'men
生气,sheng'qi
声煞,sheng'sha
石山,shi'shan
十字,shi'zi
收放水,shou'fang'shui
收山出煞,shou'shan'chu'sha
树煞,shu'sha
竖柱上梁,shu'zhu'shang'liang
衰气,shuai'qi
双耳房,shuang'er'fang
双口屋,shuang'kou'wu
双星会向,shuang'xing'hui'xiang
双星会坐,shuang'xing'hui'zuo
双星加会,shuang'xing'jia'hui
水城,shui'cheng
水井,shui'jing
水口,shui'kou
水口砂,shui'kou'sha
水流,shui'liu
水龙,shui'long
水煞,shui'sha
水星,shui'xing
水质,shui'zhi
顺飞,shun'fei
顺龙,shun'long
顺杖,shun'zhang
四灵,si'ling
死龙,si'long
四路黄泉,si'lu'huang'quan
死门,si'men
死气,si'qi
四时,si'shi
四水归堂,si'shui'gui'tang
四象,si'xiang
缩杖,suo'zhang
太极,tai'ji
太极图,tai'ji'tu
太岁,tai'sui
胎息,tai'xi
太祖山,tai'zu'shan
贪狼,tan'lang
探头煞,tan'tou'sha
替卦,ti'gua
天池,tian'chi
天干,tian'gan
天井,tian'jing
