阿莱贾德罗,a'lai'jia'de'luo
艾里克,ai'li'ke
巴力斯塔,ba'li'si'ta
巴辛,ba'xin
百年鲁能,bai'nian'lu'neng
板凳深度,ban'deng'shen'du
鲍里斯,bao'li'si
鲍利斯,bao'li'si
逼平,bi'ping
裁判,cai'pan
察可军,cha'ke'jun
长传冲吊,chang'chuan'chong'diao
常务副总经理,chang'wu'fu'zong'jing'li
陈灏,chen'hao
崔法强,cui'fa'qiang
崔鹏,cui'peng
大巴,da'ba
大羽,da'yu
大羽时代,da'yu'shi'dai
丹尼尔,dan'ni'er
邓小飞,deng'xiao'fei
第四外援,di'si'wai'yuan
董大姐,dong'da'jie
董罡,dong'gang
董事长,dong'shi'zhang
多格比,duo'ge'bi
范学伟,fan'xue'wei
弗兰多,fu'lan'duo
高迪,gao'di
高树群,gao'shu'qun
高尧,gao'yao
个人一等功,ge'ren'yi'deng'gong
耿晓峰,geng'xiao'feng
攻攻象风雷电闪,gong'gong'xiang'feng'lei'dian'shan
功勋教练,gong'xun'jiao'lian
关震,guan'zhen
国字号前锋,guo'zi'hao'qian'feng
韩公政,han'gong'zheng
韩国,han'guo
悍将,han'jiang
韩鹏,han'peng
韩熔泽,han'rong'ze
火火的足球,huo'huo'de'zu'qiu
吉达惨案,ji'da'can'an
济南泰山,ji'nan'tai'shan
济南泰山将军,ji'nan'tai'shan'jiang'jun
济南泰山将军足球俱乐部,ji'nan'tai'shan'jiang'jun'zu'qiu'ju'le'bu
激情少年,ji'qing'shao'nian
集体一等功,ji'ti'yi'deng'gong
技战术风格,ji'zhan'shu'feng'ge
加里奇,jia'li'qi
建设百年鲁能俱乐部,jian'she'bai'nian'lu'neng'ju'le'bu
教练,jiao'lian
教练组,jiao'lian'zu
矫哲,jiao'zhe
金靴奖,jin'xue'jiang
金正男,jin'zheng'nan
净胜球,jing'sheng'qiu
经营管理,jing'ying'guan'li
桔红色的火焰,ju'hong'se'de'huo'yan
橘红色的火焰,ju'hong'se'de'huo'yan
俱乐部,ju'le'bu
俱乐部高层,ju'le'bu'gao'ceng
俱乐部工作人员,ju'le'bu'gong'zuo'ren'yuan
俱乐部主席,ju'le'bu'zhu'xi
卡西亚诺,ka'xi'ya'nuo
康梦君,kang'meng'jun
客场,ke'chang
可可维奇,ke'ke'wei'qi
空霸,kong'ba
快马,kuai'ma
李斌,li'bin
李刚,li'gang
李金羽,li'jin'yu
李雷雷,li'lei'lei
李微,li'wei
李霄鹏,li'xiao'peng
李小鹏,li'xiao'peng
领导层,ling'dao'ceng
领队,ling'dui
刘广迎,liu'guang'ying
刘金东,liu'jin'dong
刘鹏,liu'peng
刘尚昆,liu'shang'kun
刘伟国,liu'wei'guo
刘羽中,liu'yu'zhong
刘钊,liu'zhao
刘振亚,liu'zhen'ya
鲁阿西诺,lu'a'xi'nuo
鲁能队员,lu'neng'dui'yuan
鲁能二线队,lu'neng'er'xian'dui
鲁能风格,lu'neng'feng'ge
鲁能攻击群,lu'neng'gong'ji'qun
鲁能集团,lu'neng'ji'tuan
鲁能精神,lu'neng'jing'shen
鲁能俱乐部,lu'neng'ju'le'bu
鲁能模式,lu'neng'mo'shi
鲁能品牌,lu'neng'pin'pai
鲁能三叉戟,lu'neng'san'cha'ji
鲁能三线队,lu'neng'san'xian'dui
鲁能四线队,lu'neng'si'xian'dui
鲁能泰山,lu'neng'tai'shan
鲁能泰山二线队,lu'neng'tai'shan'er'xian'dui
鲁能泰山广场,lu'neng'tai'shan'guang'chang
鲁能泰山俱乐部,lu'neng'tai'shan'ju'le'bu
鲁能泰山三线队,lu'neng'tai'shan'san'xian'dui
鲁能泰山四线队,lu'neng'tai'shan'si'xian'dui
鲁能泰山一线队,lu'neng'tai'shan'yi'xian'dui
鲁能王朝,lu'neng'wang'chao
鲁能文化,lu'neng'wen'hua
鲁能星工厂,lu'neng'xing'gong'chang
鲁能一线队,lu'neng'yi'xian'dui
鲁能足校,lu'neng'zu'xiao
鲁斯塞维奇,lu'si'sai'wei'qi
卢西亚诺,lu'xi'ya'nuo
罗迈多,luo'mai'duo
吕征,lv'zheng
马龙,ma'long
马兴煜,ma'xing'yu
媒体,mei'ti
米利安,mi'li'an
莫雷诺,mo'lei'nuo
姆达科维奇,mu'da'ke'wei'qi
奶胖小子,nai'pang'xiao'zi
南斯拉夫人,nan'si'la'fu'ren
尼古拉斯,ni'gu'la'si
逆转,ni'zhuan
涅波,nie'bo
涅波姆尼亚奇,nie'bo'mu'ni'ya'qi
胖子,pang'zi
鹏羽组合,peng'yu'zu'he
齐鲁球迷,qi'lu'qiu'mi
强盾,qiang'dun
强矛,qiang'mao
青少年队,qing'shao'nian'dui
球队的管理,qiu'dui'de'guan'li
球队管理者,qiu'dui'guan'li'zhe
球队老板,qiu'dui'lao'ban
球迷董大姐,qiu'mi'dong'da'jie
球员,qiu'yuan
全国甲联赛,quan'guo'a'lian'sai
全国五一劳动奖状,quan'guo'wu'yi'lao'dong'jiang'zhuang
全国足球甲级队组联赛,quan'guo'zu'qiu'jia'ji'a'zu'lian'sai
全运会冠军,quan'yun'hui'guan'jun
日夫科,ri'fu'ke
日夫科维奇,ri'fu'ke'wei'qi
萨沙,sa'sha
塞尔维亚人,sai'er'wei'ya'ren
桑尼,sang'ni
桑特拉奇,sang'te'la'qi
山东电力,shan'dong'dian'li
山东电力集团公司,shan'dong'dian'li'ji'tuan'gong'si
山东济南泰山,shan'dong'ji'nan'tai'shan
山东济南泰山足球俱乐部,shan'dong'ji'nan'tai'shan'zu'qiu'ju'le'bu
山东鲁能,shan'dong'lu'neng
山东鲁能电力燃料有限公司,shan'dong'lu'neng'dian'li'ran'liao'you'xian'gong'si
山东鲁能集团,shan'dong'lu'neng'ji'tuan
山东鲁能俱乐部,shan'dong'lu'neng'ju'le'bu
山东鲁能泰山,shan'dong'lu'neng'tai'shan
山东鲁能泰山足球俱乐部股份有限公司,shan'dong'lu'neng'tai'shan'zu'qiu'ju'le'bu'gu'fen'you'xian'gong'si
山东省体委,shan'dong'sheng'ti'wei
山东省体育中心,shan'dong'sheng'ti'yu'zhong'xin
山东省足球队,shan'dong'sheng'zu'qiu'dui
山东泰山,shan'dong'tai'shan
山东泰山足球俱乐部,shan'dong'tai'shan'zu'qiu'ju'le'bu
邵克难,shao'ke'nan
邵镤亮,shao'pu'liang
邵延杰,shao'yan'jie
邵智勇,shao'zhi'yong
射手王,she'shou'wang
守守就稳如泰山,shou'shou'jiu'wen'ru'tai'shan
首席执行官,shou'xi'zhi'xing'guan
舒畅,shu'chang
双杯王,shuang'bei'wang
双冠王,shuang'guan'wang
宋黎辉,song'li'hui
宿茂臻,su'mao'zhen
孙冬,sun'dong
泰山,tai'shan
体测,ti'ce
投资方面,tou'zi'fang'mian
图巴,tu'ba
图拔,tu'ba
图巴科维奇,tu'ba'ke'wei'qi
图拔科维奇,tu'ba'ke'wei'qi
图家军,tu'jia'jun
退役,tui'yi
外援,wai'yuan
万程,wan'cheng
弯弓射大雕,wan'gong'she'da'diao
王超,wang'chao
望加锡惨案,wang'jia'xi'can'an
王军,wang'jun
王亮,wang'liang
王牌射手,wang'pai'she'shou
王伟龙,wang'wei'long
王晓龙,wang'xiao'long
王永珀,wang'yong'po
潍坊杯,wei'fang'bei
潍坊足校杯,wei'fang'zu'xiao'bei
吴昊,wu'hao
五一劳动奖状,wu'yi'lao'dong'jiang'zhuang
西切罗,xi'qie'luo
夏宁宁,xia'ning'ning
肖辉,xiao'hui
小李明,xiao'li'ming
小胖,xiao'pang
