不对篇,bu'dui'pian
菜虫吃菜菜脚死,cai'chong'chi'cai'cai'jiao'si
吃饭皇帝大民以食为天,chi'fan'huang'di'da'min'yi'shi'wei'tian
吃饭用碗公做事闪西风,chi'fan'yong'wan'gong'zuo'shi'shan'xi'feng
吃呼肥肥装呼槌槌,chi'hu'fei'fei'zhuang'hu'chui'chui
吃紧弄破碗欲速则不达,chi'jin'nong'po'wan'yu'su'ze'bu'da
吃篇,chi'pian
吃人一口还人一斗,chi'ren'yi'kou'hai'ren'yi'dou
吃少有滋味吃济多没趣味,chi'shao'you'zi'wei'chi'ji'duo'mei'qu'wei
好酒沉瓮底好戏在后尾,hao'jiu'chen'weng'di'hao'xi'zai'hou'wei
喝酒篇,he'jiu'pian
酒醉心头定酒疯没性命,jiu'zui'xin'tou'ding'jiu'feng'mei'xing'ming
客人走了再泡茶没有诚意,ke'ren'zou'le'zai'pao'cha'mei'you'cheng'yi
理想安你是谁,li'xiang'an'ni'shi'shui
恋爱篇,lian'ai'pian
闽南熟语完整篇,min'nan'shu'yu'wan'zheng'pian
乞丐赶庙公鸠占雀巢,qi'gai'gan'miao'gong'jiu'zhan'que'chao
请鬼拿药单稳死无疑,qing'gui'na'yao'dan'wen'si'wu'yi
穷篇,qiong'pian
娶某篇娶老婆,qu'mou'pian'qu'lao'po
娶某无闲一天娶细姨无,qu'mou'wu'xian'yi'tian'qu'xi'yi'wu
却斤斤餐餐计较,que'jin'jin'can'can'ji'jiao
塞艹,sai'ao
赛尼姆艹你妈,sai'ni'mu'ao'ni'ma
手抱孩儿时才知父母恩,shou'bao'hai'er'shi'cai'zhi'fu'mu'en
天公生在迎妈祖,tian'gong'sheng'zai'ying'ma'zu
孝道篇,xiao'dao'pian
小诶疯子,xiao'ei'feng'zi
辛金碧神经病,xin'jin'bi'shen'jing'bing
一丈差九尺一丈尺误差了九尺,yi'zhang'cha'jiu'chi'yi'zhang'chi'wu'cha'le'jiu'chi
赚钱篇,zhuan'qian'pian
赚钱有数性命要顾,zhuan'qian'you'shu'xing'ming'yao'gu
追女朋友的各项方法,zhui'nv'peng'you'de'ge'xiang'fang'fa
